Category,Manufacturer,Plant,Product,Description,"Declared 
Unit",gwp.a1a2a3_mean,"GWP 
Uncertainty","Comparison 
GWP","EPD 
Link",Expiry,PCR,"PCR 
Link",source,geography,e.open_xpd_uuid,label
Masonry >> Concrete Unit Masonry,Midwest Block & Brick,"Bridgeton, MO",Solid Concrete Interlocking Paving Unit,"The Midwest Block & Brick Solid Concrete Interlocking Paving Unit represented by this cradle-to-gate EPD is produced at 201 Rock Industrial Park Drive, Bridgeton, MO 63044 under the ASTM C-936/C936M or CSA A231.2 specifications for solid concrete pavers. The interlocking paving units have an average compressive strength of 8,000 psi and an average absorption no greater than 5%. The product is used in various patio, walkway and driveway application.",1 m3,319,0.288790582,394.2136249,cqd.io/e/ec3c8npbxb,6/7/2023,ASTM International: Segmental Concrete Paving Products,cqd.io/p/ec3afmzxdt,Product EPDs,US,,"Midwest Block & Brick | Bridgeton, MO | Solid Concrete Interlocking Paving Unit"
Masonry >> Concrete Unit Masonry,ORCO BLOCK & HARDSCAPE,Oceanside,CMU: NW,"Normal Weight: A CMU with normal weight aggregate. Configurations for site walls, architectural masonry with structural and veneer applications. This product is manufactured with post consumer recycled concrete. Minimum compressive strength: 2000 PSI. Dimensional properties as defined in ASTM C90.",1 m3,236.8,0.210475652,277.5980284,cqd.io/e/ec3szfd3ba,8/26/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,ORCO BLOCK & HARDSCAPE | Oceanside | CMU: NW
Masonry >> Concrete Unit Masonry,ORCO BLOCK & HARDSCAPE,Indio,CMU: NW,"Normal Weight: A CMU with normal weight aggregate. Configurations for site walls, architectural masonry with structural and veneer applications. This product is manufactured with post consumer recycled concrete. Minimum compressive strength: 2000 PSI. Dimensional properties as defined in ASTM C90.",1 m3,229.21,0.210475652,268.7003551,cqd.io/e/ec356wswyw,8/26/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,ORCO BLOCK & HARDSCAPE | Indio | CMU: NW
Masonry >> Concrete Unit Masonry,ORCO BLOCK & HARDSCAPE,Stanton,CMU: NW-HS,"Normal Weight High Stress: A CMU with normal weight aggregate. Configurations for site walls, architectural masonry with structural and veneer applications. This product is manufactured with post consumer recycled concrete. Minimum compressive strength: 3250 PSI. Dimensional properties as defined in ASTM C90.",1 m3,297,0.210475652,348.1698244,cqd.io/e/ec3xex02du,8/26/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,ORCO BLOCK & HARDSCAPE | Stanton | CMU: NW-HS
Masonry >> Concrete Unit Masonry,ORCO BLOCK & HARDSCAPE,Stanton,Normal Weight,"Normal Weight - A CMU manufactured with heavyweight aggregates.  
Configurations for site walls, and architectural masonry with structural and veneer applications. 
Minimum compressive strength 2000 PSI. 
Dimensional properties as defined in ASTM C90
Acidification Potential (kg SO2-eq)                                     0.85
Eutrophication Potential (kg N-eq)                                     0.32
Smog Creation Potential (kg O3-eq)                                   17.9
Ozone Depletion Potential (kg CFC-11-eq)                        6.13E-6",1 m3,224,0.288790582,276.814583,cqd.io/e/ec3tm3c3yz,8/2/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,ORCO BLOCK & HARDSCAPE | Stanton | Normal Weight
Masonry >> Concrete Unit Masonry,Glenwood Masonry Supply,Unspecified Glenwood Masonry Supply Plant(s),Glenwood Green Normal Weight 2000,"Glenwood Green Normal Weight 2000:
made with CO2 sequestered from New York City. These blocks
are also produced with a reduced cement content; a portion of
the cement from our conventional mix design is replaced with
Pozzotive... a post-consumer recycled glass powder. Primarily
used when an added emphasis is placed on sustaibability.
Available in various sizes. Dimensional properties as defined in
ASTM C90.",1 m3,233.1,0.290344623,288.3565335,cqd.io/e/ec31u51ttz,7/3/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,Glenwood Masonry Supply | Unspecified Glenwood Masonry Supply Plant(s) | Glenwood Green Normal Weight 2000
Masonry >> Concrete Unit Masonry,Jandris Block,Gardner,Normal Weight CMU,"Normal Weight CMU:Normal Weight Density CMU. Applications include generalconstruction, firewalls and structural configurations.Global Warming Potential (kg CO-eq)211
This Environmental Product Declaration (EPD) reports theimpacts for 1 m of concrete formed into manufactured concreteand masonry products meeting the following specifications:ASTM C90, Concrete Masonry Unit, Load-BearingASTM C129, Concrete Masonry Unit, Non-Loadbearing",1 m3,211,0.208326667,246.9872136,cqd.io/e/ec3ewpd78a,3/2/2027,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,Jandris Block | Gardner | Normal Weight CMU
Masonry >> Concrete Unit Masonry,Saint-Gobain Leca Portugal SA,Saint-Gobain Leca Portugal SA Plants,Bloque Arliblock® Macizo,"The Arliblock® Macizo product it’s a solid block, with cameras on the outside used in enclosures, cladding, partitions of rooms and dividing walls.",1 m3,423.495765,0.290344623,523.8857605,cqd.io/e/ec3ckbytgg,8/22/2026,"EPD International AB: Sub-PCR-D Bricks, blocks, tiles, flagstone of clay and siliceous earths",cqd.io/p/ec357fu40q,Product EPDs,US,,Saint-Gobain Leca Portugal SA | Saint-Gobain Leca Portugal SA Plants | Bloque Arliblock® Macizo
Masonry >> Concrete Unit Masonry,Angelus Block,Angelus Block Tuxford Plant,Normal Weight Concrete Masonry Units,"Normal Weight Concrete Masonry Units:                             Declared Unit: 1 m3 of concrete formed into
  Angelus Normal Weight CMU are made with ASTM C33                  manufactured concrete masonry product (CMU)
  aggregates. Typically used in site work where 8-inch high in 6-
  inch and 8-inch widths are common. Other sizes available.          Global Warming Potential (kg CO2-eq)                                 185
  Dimensional properties as defined in ASTM C90.                     Acidification Potential (kg SO2-eq)                                  0.58
                                                                     Eutrophication Potential (kg N-eq)                                   0.18
                                                                     Smog Creation Potential (kg O3-eq)                                   11.5
                                                                     Ozone Depletion Potential (kg CFC-11-eq)                      2.96E-6",1 m3,185,0.208326667,216.5527702,cqd.io/e/ec319pzj78,12/21/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,Angelus Block | Angelus Block Tuxford Plant | Normal Weight Concrete Masonry Units
Masonry >> Concrete Unit Masonry,Angelus Block,Angelus Block Oxnard Plant,Normal Weight Concrete Masonry Units,"Normal Weight Concrete Masonry Units:                             Declared Unit: 1 m3 of concrete formed into
  Angelus Normal Weight CMU are made with ASTM C33                  manufactured concrete masonry product (CMU)
  aggregates. Typically used in site work where 8-inch high in 6-
  inch and 8-inch widths are common. Other sizes available.          Global Warming Potential (kg CO2-eq)                                 168
  Dimensional properties as defined in ASTM C90.                     Acidification Potential (kg SO2-eq)                                  0.53
                                                                     Eutrophication Potential (kg N-eq)                                   0.14
                                                                     Smog Creation Potential (kg O3-eq)                                   12.0
                                                                     Ozone Depletion Potential (kg CFC-11-eq)                      2.28E-6",1 m3,168,0.208326667,196.6533265,cqd.io/e/ec3yz5nym0,12/21/2026,UL: Part B: Concrete Masonry and Segmental Concrete Paving Product EPD Requirements,cqd.io/p/ec3gmw51rc,Product EPDs,US,,Angelus Block | Angelus Block Oxnard Plant | Normal Weight Concrete Masonry Units
