providers_electricity_120V,providers_naturalgas,providers_trans_truck,"concrete, 41.4 Mpa - national avg, A1-A3 q_PC","concrete, 41.4 Mpa - national avg, A1-A3 msw",market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km","A5, construction d_vol","C2, transportation  dist",gwp,ap,ep,odp,pocp
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Permian,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",411.05188509001476,0.0,0.10521986072101466,0.05521775057875108,0.06084459833820001,0.0,112.50822990769205,402.4364,0.7959328847103094,0.3871507102840549,2.1678918660566592e-05,15.688182926211917
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Fort Worth,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",384.7781921561238,0.0,0.10856883009038994,0.0617062237289893,0.0680393378282662,0.0,128.40935733149144,380.5611,0.7587863612419674,0.36770987251267984,2.1232204979378536e-05,14.97960470390118
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Green River,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",308.65987851520424,0.0,0.11010330922490366,0.06346251798945295,0.06013971625766011,0.0,105.0576504990523,311.0072,0.6292184774330021,0.3037016562014178,1.8355589679607572e-05,12.32387279438792
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Arkla,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",429.11172476761527,0.0,0.10539310204689736,0.06275450941577347,0.06156193621714455,0.0,115.7438987204728,427.7746,0.8829137971273587,0.41577671295231594,2.4256686855543124e-05,17.837561851343114
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - San Juan,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",339.81856709848984,0.0,0.11709063653557734,0.06549026529745064,0.06773779946624454,0.0,120.78075673416369,349.2426,0.705693904677426,0.3418433081255253,2.1588865707749336e-05,13.720860702901218
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - South Oklahoma,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",388.8853782953066,0.0,0.11119670198425245,0.06593593629970053,0.06511659500209034,0.0,93.45649074982524,391.5883,0.7813885169419234,0.3818285434661425,2.31097028165305e-05,15.32614204772265
Electricity; at user; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - Arkoma,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",337.9607799402656,0.0,0.11300290132354403,0.06057876634597478,0.06678054474195441,0.0,111.68946805682091,344.1793,0.6923354583149115,0.3385979153833875,2.1150715661937666e-05,13.48430336439924
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Arkla,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",327.06928898418766,0.0,0.10643748686914259,0.062327681254771,0.075371990228771,0.0,107.11601988811609,337.8799,0.7212136065194019,0.3337505326573858,2.1185410169687374e-05,14.58506032272783
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Appalachian,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",277.012468265061,0.0,0.11258648340664092,0.07600878664360991,0.061954916362592725,0.0,107.51886340082133,284.8596,0.6117753772680351,0.28165535640566286,1.7836980567262933e-05,12.39563433072486
Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Permian,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",402.31013078681394,0.0,0.11701091325980188,0.06285821702739067,0.06102951300079518,0.0,118.70879956434194,395.1504,0.7814177535954783,0.3816187863245739,2.1760914856882753e-05,15.437477071761466
