Category,e.open_xpd_uuid,label,Plant,Manufacturer,gwp.a1a2a3_mean,gwp.a1a2a3_unit,ap.a1a2a3_mean,ap.a1a2a3_unit,ep_marine.a1a2a3_mean,ep_marine.a1a2a3_unit,odp.a1a2a3_mean,odp.a1a2a3_unit,pocp.a1a2a3_mean,pocp.a1a2a3_unit,rgwp.method,source,geography
Concrete>>ReadyMix,EC34UJZ7,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,500,kgCO2,4.08,kgSO2,0.63,kgN,0.000016,kgCFC11,94.6,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3AUPKN,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,548,kgCO2,1.78,kgSO2,0.66,kgN,0.000014,kgCFC11,38.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3UF499,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,491,kgCO2,1.55,kgSO2,0.61,kgN,0.000012,kgCFC11,34.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3ZK3D0,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,496,kgCO2,1.68,kgSO2,0.59,kgN,0.000013,kgCFC11,36.6,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3WG83A,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,479,kgCO2,1.91,kgSO2,0.58,kgN,0.000013,kgCFC11,41.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3WMUWF,"Central Concrete, Stockton (wet)",Stockton (wet),Central Concrete,491,kgCO2,1.54,kgSO2,0.61,kgN,0.000012,kgCFC11,34.4,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3W5HSP,"Central Concrete, Bode C",Bode C,Central Concrete,538,kgCO2,1.74,kgSO2,0.66,kgN,0.000014,kgCFC11,36.5,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3KS5BT,"CEMEX, Pier 92 Amador",Pier 92 Amador,CEMEX,420,kgCO2,1.83,kgSO2,0.49,kgN,0.000013,kgCFC11,37.7,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3H3T97,"Cadman Inc, Port of Portland",Port of Portland,Cadman Inc,359,kgCO2,1.08,kgSO2,0.42,kgN,0.0000085,kgCFC11,24.3,kgO3,TRACI 2.1,Product EPDs,US
Concrete>>ReadyMix,EC3ARY7W,"Cadman Inc, Port of Portland",Port of Portland,Cadman Inc,441,kgCO2,1.21,kgSO2,0.51,kgN,0.00001,kgCFC11,26.4,kgO3,TRACI 2.1,Product EPDs,US
