Category,e.open_xpd_uuid,label,Manufacturer,Plant,product,description,declared_unit,gwp.a1a2a3_mean,gwp.a1a2a3_unit,ap.a1a2a3_mean,ap.a1a2a3_unit,ep_marine.a1a2a3_mean,ep_marine.a1a2a3_unit,odp.a1a2a3_mean,odp.a1a2a3_unit,pocp.a1a2a3_mean,pocp.a1a2a3_unit,rgwp.method,source,geography,expiry
Steel >> Structural Steel >> Hollow Sections,ec3r99xh5h,"Smederna Sverige AB, Hollow section, Unspecified Smederna Sverige AB Plant(s), 2026, ec3r99xh5h",Smederna Sverige AB,Unspecified Smederna Sverige AB Plant(s),Hollow section,"Hollow sections, especially those with square or rectangular section, are used as a complement to beam profiles in building construction and civil engineering. The hollow sections are manufactured at Smederna’s workshop located at Tumba, Sweden and they are transported and assembled on construction sites to form the primary framework of the buildings.",1 kg,2.64,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Sweden,2026
Steel >> Structural Steel >> Hollow Sections,ec3wpdk78f,"BE Group, Cold formed structural hollow sections, Unspecified BE Group Plant(s), 2026, ec3wpdk78f",BE Group,Unspecified BE Group Plant(s),Cold formed structural hollow sections,"Cold formed structural hollow sections are tubular products produced from steel coils. The coil is slitted to strips with appropriate width and then formed by rolling into the shape of the tubular product. The two strip edges, now lying next to each other, are welded together using a high frequency induction process. Further sets of rolling give the final shape and size of the cold formed hollow section. After trimming of the external weld bead and non-destructive testing, the tubes are cut to length and then sent to despatch.",1 kg,3.08,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Sweden,2026
Steel >> Structural Steel >> Hollow Sections,ec32f0mr1s,"BE Group, Hot finished structural hollow sections, Unspecified BE Group Plant(s), 2026, ec32f0mr1s",BE Group,Unspecified BE Group Plant(s),Hot finished structural hollow sections,"Hot finished structural hollow sections are tubular products produced from steel coils. The coil is slitted to strips with appropriate width and then formed by rolling into the shape of the tubular product. The two strip edges, now lying next to each other, are welded together using a high frequency induction process. Further sets of rolling gives the final shape and size of the cold formed hollow section, and after trimming of the external weld bead and non-destructive testing, the tubes are cut to length prior to hot finishing. The subsequent hot finishing process comprises a reheating operation, and with the section at a normalising temperature of approximately 900 degrees Celsius, a further shaping and sizing operation imparts the product’s final dimensions and properties before despatch.",1 kg,3.39,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Sweden,2026
Steel >> Structural Steel >> Hollow Sections,ec31974xc4,"SSAB, Precision Tubes PRT HP, Unspecified SSAB Europe Oy Plant(s), 2025, ec31974xc4",SSAB,Unspecified SSAB Europe Oy Plant(s),Precision Tubes PRT HP,DOCOL® TUBE – High strength precision tubes for auto- motive applications. SSAB FORM TUBE – Wide range of extremely formable precision tubes for demanding applications in light engineering. SSAB BORON TUBE - Advanced hardenable precision tubes for applications requiring good formability in delivery condition and ultra-high strength by quenching after work shop fabrications.,1 kg,2.74,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Finland,2025
Steel >> Structural Steel >> Hollow Sections,ec3mcpjgxs,"SSAB, Precision Tubes PRT Z, Unspecified SSAB Europe Oy Plant(s), 2025, ec3mcpjgxs",SSAB,Unspecified SSAB Europe Oy Plant(s),Precision Tubes PRT Z,DOCOL® TUBE – High strength precision tubes for auto- motive applications. SSAB FORM TUBE – Wide range of extremely formable precision tubes for demanding applications in light engineering. SSAB BORON TUBE - Advanced hardenable precision tubes for applications requiring good formability in delivery condition and ultra-high strength by quenching after work shop fabrications.,1 kg,2.79,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Finland,2025
Steel >> Structural Steel >> Hollow Sections,ec3pghw7bd,"SSAB, Structural hollow sections, Unspecified SSAB Europe Oy Plant(s), 2025, ec3pghw7bd",SSAB,Unspecified SSAB Europe Oy Plant(s),Structural hollow sections,"STRENX® TUBE - Structural hollow sections for stronger, lighter, safer, more competitive and more sustainable structures. SSAB DOMEX®TUBE - A wide range of structural hollow sections that deliver excellent forming, machining and welding performance. SSAB WEATHERING TUBE AND COR-TEN® TUBE - Corrosionresistant hollow sections to minimize total lifecycle costs thanks to low or zero maintenance needs. COR-TEN® - Is a licensed brand and a part of the SSAB Weathering steel family. EN 10225-4 – Welded hollow sections for fixed offshore structures",1 kg,0.26,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Finland,2025
Steel >> Structural Steel >> Hollow Sections,ec3f6jacfc,"SSAB, Precision Tubes PRT C, Unspecified SSAB Europe Oy Plant(s), 2025, ec3f6jacfc",SSAB,Unspecified SSAB Europe Oy Plant(s),Precision Tubes PRT C,DOCOL® TUBE – High strength precision tubes for auto- motive applications. SSAB FORM TUBE – Wide range of extremely formable precision tubes for demanding applications in light engineering. SSAB BORON TUBE - Advanced hardenable precision tubes for applications requiring good formability in delivery condition and ultra-high strength by quenching after work shop fabrications.,1 kg,2.73,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Finland,2025
Steel >> Structural Steel >> Hollow Sections,ec3z96gxs1,"GP Manufacturas Del Acero S.A., Structural Tubes: Cold Formed Welded Structural Hollow Section, Unspecified GP Manufacturas Del Acero S.A. Plant(s), 2025, ec3z96gxs1",GP Manufacturas Del Acero S.A.,Unspecified GP Manufacturas Del Acero S.A. Plant(s),Structural Tubes: Cold Formed Welded Structural Hollow Section,"Structural tubes are manufactured in different geometries: square, round, rectangular. These tubes are generally used for structural and maintenance purposes, such as the construction of buildings, railings and sign posts. Carbon steel has many interesting properties, it is especially valued for its use in heavy structures and / or that require resistance to corrosion and extreme temperatures, such as the construction of both houses and large structures, such as bridges, roads or oil plants. It is easy to weld, and to cut, square or rectangular tubes are easier to mold and moderate machining can be done, since it is a very dense material. GP Manufacturas del Acero S.A. produces hollow structural tubes with cold formed steel (quality S275JOH), according to the European standard EN 10219.",1 kg,4.29,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Spain,2025
Steel >> Structural Steel >> Hollow Sections,ec39sysehm,"GP Manufacturas Del Acero S.A., Steel Tubes: Pickled tubes, Galvanized tubes, and Special tubes, DOS HERMANAS, 2025, ec39sysehm",GP Manufacturas Del Acero S.A.,DOS HERMANAS,"Steel Tubes: Pickled tubes, Galvanized tubes, and Special tubes","Steel tubes are produced in three main formats: Pickled tubes: The pickled steel tubes are characterized by their great surface finish, allowing its use in works that require aesthetics values, as can be the manufacture of furniture. Galvanized tubes: The galvanized steel tubes are resistant to weather and humidity, which favors its use in plumbing and exterior constructions. Special tubes: The special tubes are characterized by having different geometric shapes. They are used in precision works as can be the metallic carpentry. GP produces special tubes (quality DD11 / S275OH) according to the European Standard EN 10305.",1 kg,4.29,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,Spain,2025
Steel >> Structural Steel >> Hollow Sections,ec3bfpg7y7,"Tata Steel, Structural Hollow Sections, UK and Netherlands Plants, 2025, ec3bfpg7y7",Tata Steel,UK and Netherlands Plants,Structural Hollow Sections,"Hybox® cold formed and Celsius® hot finished structural hollow sections (sometimes referred to as ‘tubes’), are manufactured in a range of circular, square, rectangular and elliptical shaped tubes. They are manufactured to standard grades in a range of sizes from 21.3 to 508mm, with wall thicknesses from 2 to 16mm.",1 kg,2.5,kgCO2e,,kgSO2,,kgN,,kgCFC11,,kgO3,TRACI 2.1,Product EPDs,EU,2025
