elec120V_cmu_plant,natgas_cmu_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,elec_medV_forExClay,heat,"CMU, light-weight, A1-A3 q_cement",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Underground","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from natural gas, in industrial boiler",185.0044867693908,0.0964656710296311,0.20538854758196198,0.10776223987181496,0.07040360056920537,0.06346145623686719,0.09886061173783159,0.0,325.4847,0.8743198255092044,0.581492635976663,1.0317567724833226e-05,13.87009778440912,331.6447,339.9101,330.3451
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Underground","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from natural gas, in industrial boiler",197.0029082173506,0.17626971323089177,0.1409157377504065,0.1059372297175702,0.06949937529234186,0.06604020343052898,0.09797426489043559,0.0,344.0458,0.914765984620656,0.5842508229761425,1.050949874366933e-05,14.824510675876079,350.3063,358.8536,348.9869
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Underground","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from natural gas, in industrial boiler",174.07906208216636,0.12636938985083207,0.14411634442165064,0.11315128152403978,0.0645164223607038,0.065089193839456,0.08566860604206585,0.0,311.7808,0.806526569174337,0.5795395818021501,1.0096162927351411e-05,13.429907355075326,317.951,326.1838,316.6757
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Underground","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from natural gas, in industrial boiler",200.9687767347195,0.11848367818345616,0.14610848818989666,0.1375463955886311,0.07117413551345847,0.06631459917171906,0.09884579884781554,0.0,343.4691,0.9218869741288134,0.5858377905773137,1.0882425123005352e-05,14.576928887383424,349.6865,358.0998,348.3588
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Underground","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from natural gas, in industrial boiler",186.7360899519381,0.1944459195005443,0.141650011944187,0.11475205750866238,0.07211194205767459,0.06680737905249143,0.11119523479595547,0.0,344.1399,0.9446730921225116,0.5841283489733209,1.0588952059125546e-05,15.119748992963288,350.4059,359.0096,349.0777
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Underground","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from natural gas, in industrial boiler",170.0871465997593,0.15224179394327847,0.14632257353377173,0.1124907121055528,0.06315755670662805,0.07213404691516014,0.10405040197288201,0.0,320.2226,0.8666322471848421,0.5804223073604479,1.0240673447151901e-05,14.061036826204242,326.4152,334.775,325.12
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Underground","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from natural gas, in industrial boiler",182.80512239980467,0.061717684496222586,0.11648912181772234,0.09374943785877066,0.06195548330112214,0.060047986751096696,0.08046424720993586,0.0,309.1552,0.7910560169116352,0.5786493933059464,9.904863041548073e-06,12.905922672623241,315.2672,323.3371,314.0006
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Underground","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from natural gas, in industrial boiler",192.61878875490936,0.13954258925060237,0.08991032211521184,0.11211203403640788,0.06541079888042775,0.06631741966591968,0.06407288704664946,0.0,316.8585,0.7645444891568507,0.5812936256822633,1.0183042079580548e-05,13.306104158166779,323.067,331.3189,321.7983
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Underground","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from natural gas, in industrial boiler",189.23992231762017,0.16367801511996413,0.09452821823473913,0.09749936808801127,0.07308666722074479,0.07146906234437343,0.10647189486576102,0.0,340.3513,0.926126538927121,0.5833727219208317,1.0466215443966577e-05,14.76675936525523,346.5867,355.0952,345.2667
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Underground","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from natural gas, in industrial boiler",198.86452067860156,0.06952562201069945,0.12581396831327993,0.11505633831062255,0.06517982752065092,0.06006453098651952,0.09903336905659538,0.0,335.0659,0.9032408289407217,0.5833014072413779,1.0502832229721215e-05,14.006143567025855,341.2173,349.4695,339.9045
Electricity; at user; consumption mix - Southwest Power Pool - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"heat, from natural gas, in industrial boiler",206.2768590710793,0.11092313895883649,0.17131905960695826,0.11126604134111627,0.06371257972125226,0.06318666217751788,0.09421429529882677,0.0,345.0649,0.904680607388393,0.584954760853767,1.0878485497924833e-05,13.795668188518315,351.0439,358.7794,349.7294
