elec120V_cmu_plant,natgas_cmu_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,elec_medV_forExClay,heat_forExClay,"CMU, light-weight, A1-A3 q_cement",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,expanded clay production q_elec,expanded clay production kiln_temp,expanded clay production kiln_e_base,expanded clay production kiln_e_internals,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - Public Utility District No. 1 of Chelan County - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - East Texas,"coal extraction and processing - Central Appalachia, BIT, Processing",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",186.47054048603988,0.18267118839969082,0.12946186680107566,0.10377667889786557,0.06640560389109934,0.056636819402665003,0.10169826918608772,0.03033937281489696,1067.8032051932203,0.8105924258067869,0.026283519571632524,719.2285,4.093338639002819,1.6740946668431518,1.546951621898352e-05,39.909942568145006,732.8868,746.9912,725.5388
Electricity; at user; consumption mix - Public Utility District No. 1 of Chelan County - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - East Texas,"coal extraction and processing - Central Appalachia, BIT, Processing",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",180.21871332903982,0.14792466005891433,0.15182067297513507,0.11165023847445438,0.0626823285608594,0.07042702122834196,0.0864959376078779,0.022505464226410803,1246.4722433614672,0.8462118842344737,0.023894691515608364,747.7832,4.405040883259518,1.804252841892859,1.6072168690322075e-05,42.25935672823991,762.2186,777.0264,754.4752
Electricity; at user; consumption mix - Public Utility District No. 1 of Chelan County - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - East Texas,"coal extraction and processing - Central Appalachia, BIT, Processing",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",205.06760348657986,0.1639401597452763,0.10136379392018843,0.11432307246224328,0.06353564966081571,0.06306102387703755,0.07705226074811397,0.019387585606895186,1178.883362746011,0.8376442598642715,0.03385644323667775,740.747,4.2241932792069585,1.7411103478038386,1.5954644154148028e-05,40.92101356655467,754.7965,769.2314,747.2579
Electricity; at user; consumption mix - Public Utility District No. 1 of Chelan County - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - East Texas,"coal extraction and processing - Central Appalachia, BIT, Processing",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",195.3385263142818,0.15622924494676638,0.09389610936928937,0.10425467781893948,0.0650219751198359,0.08183272094377424,0.08409886147585877,0.02095912031613684,1195.9363626454926,0.7081827542436404,0.03263755572450497,823.8995,4.931582972109461,1.9740013942566248,1.722002829685909e-05,46.77102503683207,839.4763,855.4076,831.1033
Electricity; at user; consumption mix - Public Utility District No. 1 of Chelan County - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - East Texas,"coal extraction and processing - Central Appalachia, BIT, Processing",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",197.7515256732937,0.13811660395216596,0.12442385413069355,0.09336679163754788,0.07123629163550846,0.06708704942646941,0.11401692705957214,0.031820517022938435,1150.4927720175588,0.7161122299399221,0.03144421473457969,819.354,4.859691332174579,1.9095787389768206,1.6971879875429993e-05,46.202305987577596,834.5389,850.1738,826.3281
Electricity; at user; consumption mix - Public Utility District No. 1 of Chelan County - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - East Texas,"coal extraction and processing - Central Appalachia, BIT, Processing",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",209.8675195673641,0.11927424482418247,0.1380487325520515,0.11469092156961279,0.049252752914817795,0.07041355571098089,0.10455968324753623,0.03102492797388426,1107.3155243870958,0.6946703427772241,0.025637779985939343,821.4748,4.841073996561395,1.9085467808845875,1.709387688517799e-05,46.03446338847533,836.6351,852.2329,828.4397
Electricity; at user; consumption mix - Public Utility District No. 1 of Chelan County - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - East Texas,"coal extraction and processing - Central Appalachia, BIT, Processing",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",182.24029198421377,0.15939495261102252,0.09910175364015153,0.09689320215130093,0.058281552711194624,0.06439325946743897,0.08035693176804741,0.03334720921082014,1196.3558749784097,0.956171271957844,0.028390638113306825,679.8459,3.8288459657939615,1.6147216959031103,1.4869919507134831e-05,37.63596699701897,693.086,706.7204,686.0026
Electricity; at user; consumption mix - Public Utility District No. 1 of Chelan County - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - East Texas,"coal extraction and processing - Central Appalachia, BIT, Processing",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",195.03822882175115,0.14659491752599074,0.11151992674219596,0.10527365381706168,0.0747775003548222,0.06733534795648673,0.11297127696392509,0.01944096933908107,1069.046457308026,0.45370320907859424,0.02078888021572811,1054.5292,6.760633092152219,2.550101618453067,2.0510415443533343e-05,61.949818295871964,1073.9041,1093.6139,1063.4206
Electricity; at user; consumption mix - Public Utility District No. 1 of Chelan County - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - East Texas,"coal extraction and processing - Central Appalachia, BIT, Processing",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",193.933884183044,0.12587599986945966,0.13874289332836123,0.11360884304198825,0.07466920692303695,0.06273627421369982,0.11388448331203758,0.03410324943740848,1089.9747657542202,0.8884195531467407,0.020957365943579134,701.1554,3.9426479845585556,1.6065804202721088,1.5404616290438475e-05,38.527491459779405,714.3286,727.9942,707.2131
Electricity; at user; consumption mix - Public Utility District No. 1 of Chelan County - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Duke Energy Florida, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - East Texas,"coal extraction and processing - Central Appalachia, BIT, Processing",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"heat production, at hard coal industrial furnace 1-10MW | heat, district or industrial, other than natural gas | Cutoff, U",202.83845078850362,0.12383820697083622,0.1292316881436918,0.12012579479683605,0.058919353078759465,0.06411421942479079,0.0789275281104812,0.026997212640453273,1083.878067646138,0.711575866277097,0.015929957294236657,781.4584,4.578306362068586,1.8596170049017793,1.6567669311287535e-05,43.80131891217237,796.2699,811.4454,788.315
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Public Utility District No. 1 of Chelan County - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Rocky Mountain, BIT, Underground","Electricity; at grid; consumption mix - Public Utility District No. 2 of Grant County, Washington - BA","heat production, heavy fuel oil, at industrial furnace 1MW | heat, district or industrial, other than natural gas | Cutoff, U",198.90835953323347,0.15929816114528816,0.15086790610957287,0.1070908568378718,0.062422309271597747,0.07097623561884131,0.0855213799798141,0.01718676060724146,1188.4350429530236,0.6938084283967313,0.024473355418877983,671.9643,3.197513452220078,0.7932147919111543,0.00010147249365762858,26.29300231928123,679.523,688.1075,675.4185
