elec120V_cmu_plant,natgas_cmu_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,elec_medV_forExClay,heat_forExClay,"CMU, light-weight, A1-A3 q_cement",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,expanded clay production q_elec,expanded clay production kiln_temp,expanded clay production kiln_e_base,expanded clay production kiln_e_internals,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Gulf Lignite, LIG, Surface","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | Cutoff, U",140.1689435600432,0.17452444126380934,0.15108303493295155,0.1091615137814658,0.06537059729769874,0.07639775178187637,0.10461867450211745,0.03273999500367883,1076.1449230025087,0.660668166822791,0.11198675794746467,545.3663,1.0193860086875532,0.6015406697371352,1.2485047779653218e-05,19.047287165729998,552.1008,560.2263,550.0404
Electricity; at user; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Gulf Lignite, LIG, Surface","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | Cutoff, U",200.60684844120655,0.16326475215005767,0.12613846346262045,0.10526909160739602,0.06807816505948866,0.0666114942953224,0.09118772364423436,0.025179701311595096,1133.4812831547283,0.8697818597035636,0.10033195323669601,536.8815,1.0538968928561792,0.6038283616341091,1.254865424673938e-05,18.645209084476075,543.5185,551.7056,541.5702
Electricity; at user; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Gulf Lignite, LIG, Surface","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | Cutoff, U",194.68055031024846,0.12171500510274458,0.1702392493101971,0.1157034282157057,0.0629360300359279,0.0686498572347568,0.09093501532658067,0.024314444698676062,1067.8376950982379,0.593039958408464,0.12666251020058572,598.256,1.1060317070894476,0.6101923724418211,1.328108858530508e-05,19.99460646068721,605.0579,613.1932,602.8861
Electricity; at user; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Gulf Lignite, LIG, Surface","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | Cutoff, U",175.46143523148896,0.12476277952835482,0.14659743878632034,0.11564252324453111,0.06043162428349878,0.06637766130925833,0.09677015481629875,0.017987007902242787,1235.586543292121,0.8118224003274105,0.11561277882213758,539.4609,1.0327235761428168,0.6026651817068747,1.2517657420602229e-05,18.567372871796728,546.1095,554.1111,544.0849
Electricity; at user; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Gulf Lignite, LIG, Surface","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | Cutoff, U",193.54762741654423,0.15663515006104592,0.11281183828793376,0.09706929340297538,0.06312709127884487,0.06464988385284562,0.10369737258959849,0.026349423402088835,1153.7153437545226,0.5017201943242215,0.10386308912903067,693.51,1.2458045484936682,0.6190969344941376,1.4155726684835975e-05,22.455087654793456,700.5542,708.8287,698.0896
Electricity; at user; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Gulf Lignite, LIG, Surface","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | Cutoff, U",188.8177836196269,0.16686113337782343,0.17263092916218248,0.11511069803983953,0.07064569697683055,0.060874451902834664,0.08413385911959807,0.030068542192512808,1082.1997209133565,0.5234812329866938,0.11435699387062451,642.7583,1.12695319005907,0.6143880757497521,1.370596543174512e-05,21.019350763635305,649.7119,657.9257,647.403
Electricity; at user; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Gulf Lignite, LIG, Surface","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | Cutoff, U",199.37676651172853,0.1311520717416982,0.17108985824721368,0.1183070182410521,0.0551966787618947,0.06195745872915153,0.08621751349049739,0.018243674435549414,1132.1509978798426,0.8126548206697065,0.08017041196545498,543.3758,1.0349517648993725,0.6043354407229619,1.2604441729897401e-05,18.519308076451594,550.0207,558.0649,548.0219
Electricity; at user; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Gulf Lignite, LIG, Surface","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | Cutoff, U",198.48983426623764,0.150183086160143,0.11251285324095214,0.09456029365257035,0.07077877883860527,0.06012533054431646,0.0895834776162928,0.031574697113433664,1090.4752835772997,0.49573584061760206,0.1936129134422368,643.5174,1.1568686173636666,0.6141332573381416,1.3564955053349801e-05,21.136181144547887,650.4501,658.7179,648.1621
Electricity; at user; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Gulf Lignite, LIG, Surface","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | Cutoff, U",167.06993143708004,0.11785455529250972,0.2039000015786638,0.10558425143983366,0.06687552229225233,0.07237902151249262,0.09977724454661335,0.026509597712300728,1098.2396469445102,0.9102470817287005,0.0957893624586242,496.1685,0.9910009651057716,0.5977571598713359,1.2002632715444072e-05,17.766491881536545,502.7233,510.792,500.8475
Electricity; at user; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Gulf Lignite, LIG, Surface","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","heat and power co-generation, wood chips, 6667 kW, state-of-the-art 2014 | heat, district or industrial, other than natural gas | Cutoff, U",172.7408800165267,0.18486710660526365,0.1565927982111329,0.10914444809202119,0.06815580900524548,0.06886386779913531,0.10917307065376824,0.019792070016176583,1138.7409513912094,0.7890727364859198,0.0732823460929277,547.464,1.0783415771746732,0.6034865968934308,1.26445753898189e-05,19.05159999327512,554.1342,562.2551,552.0997
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Tampa Electric Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Surface","Electricity; at grid; consumption mix - Homestead, City of - BA","heat production, heavy fuel oil, at industrial furnace 1MW | heat, district or industrial, other than natural gas | Cutoff, U",186.22091298928862,0.1463818856749682,0.14653067448394308,0.11375058068529321,0.0577835649269846,0.06595382682343097,0.09945259681626122,0.019967307113037267,1180.3982870109378,0.9634940571654178,0.10902958436619929,588.0976,2.859936536847465,0.7529689681501627,7.03713775681083e-05,38.335282913010424,595.1261,604.8422,593.5433
