elec120V_cmu_plant,natgas_cmu_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,elec_medV_forExClay,heat_forExClay,"CMU, light-weight, A1-A3 q_cement",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,expanded clay production q_elec,expanded clay production kiln_temp,expanded clay production kiln_e_base,expanded clay production kiln_e_internals,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Processing","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","heat production, heavy fuel oil, at industrial furnace 1MW | heat, district or industrial, other than natural gas | Cutoff, U",184.7075426869938,0.151395629227661,0.15006553187846788,0.11740330647901268,0.0650953431713718,0.06206972644358333,0.11335076922189899,0.028175627233491103,1164.9519169299895,0.4747713969455981,0.1133339712992976,839.4649,4.117694092857228,0.8597046626775274,0.00013004938056611484,34.009673410778916,846.9678,857.0904,845.1045
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Processing","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","heat production, heavy fuel oil, at industrial furnace 1MW | heat, district or industrial, other than natural gas | Cutoff, U",210.28070584284143,0.13293141673407632,0.1080798570485501,0.12228013343317022,0.061085280727011984,0.06193107852118385,0.10433707819344426,0.029561176155999725,1225.7901486093663,0.9758839373323708,0.035678303699213425,639.5219,2.742586189706059,0.7396310038404861,7.73855453166628e-05,25.766800012234903,646.4356,655.7711,644.7959
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Processing","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","heat production, heavy fuel oil, at industrial furnace 1MW | heat, district or industrial, other than natural gas | Cutoff, U",207.3517747460592,0.11894794083293148,0.12374692233384813,0.12227154383140856,0.06726181378821593,0.06455575951833617,0.07533173280784652,0.021056116748747186,1094.5820171731677,0.6427026569471516,0.1964469150120645,645.6741,2.8193639352422655,0.756498832603389,8.567018803399708e-05,25.572790547878036,652.5931,661.6697,650.9671
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Processing","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","heat production, heavy fuel oil, at industrial furnace 1MW | heat, district or industrial, other than natural gas | Cutoff, U",183.81387014248207,0.12772797604787656,0.10943670303784267,0.13177419923819716,0.06223758521771762,0.06901940231119748,0.08488889248650251,0.020178277178977445,1134.9044174854312,0.6879793267033979,0.0513120174684604,676.195,3.096544779982092,0.7791547892844569,9.630767148094893e-05,27.153807412296477,683.2163,692.4319,681.5504
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Processing","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","heat production, heavy fuel oil, at industrial furnace 1MW | heat, district or industrial, other than natural gas | Cutoff, U",197.87773857904455,0.11560175996886084,0.14280782486976717,0.1243982782973178,0.07103915336458476,0.06639995466849913,0.09595944742363084,0.029729465327038254,1122.0599088974595,0.7934069510877279,0.035021825424466545,655.8169,2.8981395195411475,0.7571005724237003,8.564515587449614e-05,26.46962056389937,662.7919,672.0975,661.1365
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Processing","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","heat production, heavy fuel oil, at industrial furnace 1MW | heat, district or industrial, other than natural gas | Cutoff, U",202.7418947546544,0.11425403013377322,0.055759020211335025,0.11522044808952088,0.05895486328394929,0.07297165726145288,0.1201746761189326,0.033184157871928285,1112.8036091746403,0.6888804164178404,0.20794809722977026,658.1898,2.8925582022707284,0.7484319113478703,8.118919034734452e-05,26.80634127225505,665.1624,674.6594,663.4896
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Processing","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","heat production, heavy fuel oil, at industrial furnace 1MW | heat, district or industrial, other than natural gas | Cutoff, U",222.01580576407736,0.10796346728538606,0.12705602034306057,0.1042203162440927,0.06422760071733226,0.07178938289481208,0.09406980417959986,0.016087613232586676,1243.9300686922068,0.8331277352882402,0.12448877363101175,651.2135,2.829285559362656,0.7508024917559193,8.249887045639042e-05,25.694784431190783,658.0997,667.2683,656.4604
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Processing","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","heat production, heavy fuel oil, at industrial furnace 1MW | heat, district or industrial, other than natural gas | Cutoff, U",205.01151049556555,0.12349742352532082,0.19382066908593212,0.1250895652882633,0.060570086346639435,0.06250770299749082,0.08817839894839147,0.018535954611726666,1123.7961701562451,0.5149935243303314,0.1497281709706429,760.3691,3.574178620924241,0.8189654180344024,0.00011244889985932648,30.214943675509026,767.6015,777.183,765.8427
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Processing","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","heat production, heavy fuel oil, at industrial furnace 1MW | heat, district or industrial, other than natural gas | Cutoff, U",215.2999051550691,0.12298032123185106,0.1620904282271246,0.10558540133426828,0.06113480214543206,0.06316587863868613,0.0876096701259255,0.02864861640385611,1099.1775682086097,0.7714848352806805,0.11917998013490579,640.4623,2.73870143438058,0.744023705340587,7.954025049693065e-05,25.524476633780363,647.3764,656.6015,645.7481
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Processing","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","heat production, heavy fuel oil, at industrial furnace 1MW | heat, district or industrial, other than natural gas | Cutoff, U",190.24174606596804,0.12626133394308642,0.16547495040112847,0.12022930951131834,0.06137065662805566,0.06706590097160735,0.10292834792094865,0.020155463633955366,1177.6904562266034,0.8050362447027125,0.20174813592877625,602.0228,2.6001025095010815,0.7298383921618532,7.462605558026423e-05,24.299448280314582,608.8136,617.8404,607.2221
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Arkoma,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Powder River Basin, BIT, Surface","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas | heat, district or industrial, other than natural gas | Cutoff, U",198.44246297152347,0.11883315340605956,0.1596199705678762,0.12017304401761558,0.07231345382801485,0.06513867944545954,0.10464110602700792,0.01597979106487031,1233.880055521757,0.8068906736270698,0.16621844401175825,319.4845,0.8527218967172182,0.5811812399729716,1.0401681143876033e-05,12.883821994985256,325.6994,334.3816,324.4548
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Arkoma,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Powder River Basin, BIT, Surface","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas | heat, district or industrial, other than natural gas | Cutoff, U",190.10788633159726,0.11732399056965813,0.15523207692940205,0.09942675137759531,0.06699725053758568,0.0668010839298147,0.08822532290539194,0.029304771407614744,1241.3610862740602,0.7216574378401204,0.15803761777205866,310.4698,0.784294571211308,0.5788089422032358,1.0036121769536672e-05,12.436578072337358,316.7337,325.5032,315.5193
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Arkoma,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Powder River Basin, BIT, Surface","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas | heat, district or industrial, other than natural gas | Cutoff, U",190.7924926988906,0.14697019869581338,0.12334932902626028,0.11869848275819554,0.06334829542191596,0.07043712143288572,0.08880569979679753,0.0269066048520837,1125.9858405721695,0.8913138334244647,0.09794732306704615,312.6814,0.7901399069625439,0.5799091409842557,1.0250699086250614e-05,12.51687673577799,318.9494,327.7212,317.7293
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Arkoma,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Powder River Basin, BIT, Surface","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas | heat, district or industrial, other than natural gas | Cutoff, U",169.10039616989087,0.16883853824890618,0.1602815452578997,0.1011925982203565,0.07022205505919152,0.05087167511223914,0.09897548022514803,0.02432618549703223,1137.8516651248128,0.8938178332590294,0.17829117771973652,297.4536,0.773667021390664,0.5757936570395055,9.712203628261269e-06,12.291746924941611,303.6828,312.387,302.4792
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Arkoma,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Powder River Basin, BIT, Surface","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","heat, from municipal waste incineration to generic market for heat district or industrial, other than natural gas | heat, district or industrial, other than natural gas | Cutoff, U",184.934571041946,0.1634586136437631,0.1735721287528162,0.11278955243933993,0.06308030021759052,0.05907170270861824,0.0953344515073927,0.01560033421273124,1220.0985625354444,0.7753481552730059,0.17351624962362894,304.1087,0.78659870890181,0.57798761102085,9.96403239588865e-06,12.34841056988083,310.3125,318.9253,309.0965
