elec120V_cmu_plant,natgas_cmu_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"CMU, normal-weight, A1-A3 q_cement",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",163.16693466125358,0.15641473677298645,0.10784664881953174,0.10636338799974207,0.06863177797908922,0.07282186788751402,0.10253888428880115,0.0,305.7317,0.7581806621572398,1.386440917112481,1.2273489474880742e-05,11.459508061181904,314.2036,337.4526,313.3681
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",169.6410437658242,0.11112540782155578,0.15785088926455534,0.10548707052896493,0.06570914895745009,0.06660109028530012,0.12454344508937258,0.0,315.9291,0.8334225550630969,1.3865445426893344,1.2061125890901875e-05,11.937738541582341,324.3829,347.675,323.5242
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",158.06838956744534,0.12189631265456535,0.10579522483925347,0.10436168358573104,0.058535557092357804,0.06737302991970824,0.08895532855589905,0.0,287.6328,0.6837972259925611,1.3816869147946875,1.1352540565817382e-05,10.66464803325345,296.0312,319.1611,295.264
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",158.2370714778548,0.18179815269374194,0.12036725058565617,0.11883553906132024,0.04994500121219016,0.059755881807376864,0.07968189755218044,0.0,288.1124,0.6667659621805827,1.379748596395901,1.0873644101658234e-05,10.675909779627482,296.5513,319.6915,295.7751
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",180.6037431757177,0.14447951889955507,0.13694129397853663,0.1202837611556874,0.07013475744545591,0.057551499333107964,0.11054575433797076,0.0,323.7476,0.8266359976428637,1.3881827485899099,1.2212532509820606e-05,12.050602488555011,332.2472,355.5697,331.3707
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",169.68407247731756,0.1642886655760103,0.10875589877207531,0.1316028547588981,0.060293502985191684,0.0689865553536281,0.10843241665536765,0.0,314.5576,0.7951370126695625,1.3865462492484668,1.2093705296752783e-05,11.802784711920843,323.0523,346.3444,322.1916
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",161.39629496457118,0.17073028567967086,0.1545068463648211,0.10799130620116236,0.061110891231925014,0.06392345896521648,0.10173798482249002,0.0,302.7106,0.7488671216883851,1.383639947235941,1.1635046481400613e-05,11.375925879061116,311.1796,334.4122,310.3517
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",177.99268976013155,0.1619029604370434,0.14769526111753628,0.12327138630590048,0.06349407392096006,0.05883938848985702,0.08551463855522554,0.0,309.2241,0.7320158403600954,1.3856521427588133,1.178712679241386e-05,11.302240669971173,317.7047,340.937,316.8791
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",177.33058579943543,0.10004634745037114,0.12410639981605946,0.12737194469357802,0.06584783589752122,0.062123344718174926,0.08187550533488394,0.0,299.5737,0.6988429908308886,1.3854176289078524,1.1826127471284786e-05,10.822715608452445,307.9834,331.141,307.2037
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, BIT, Underground",166.50395485615266,0.1435737759715212,0.12662712623288047,0.11854593794025535,0.06721368018593961,0.05652734647870104,0.0724609420296671,0.0,290.1567,0.655508670722339,1.383018618746421,1.152436285468581e-05,10.55047258643006,298.5798,321.7087,297.8134
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Surface",170.25305419088627,0.12068646200853533,0.12564577566411061,0.11100659320589186,0.06985694378726016,0.06498300358228319,0.09306338382076308,0.0,303.6154,0.7475198552180029,1.3878995926983484,1.2206834847717827e-05,11.938375586120493,311.6462,334.3656,311.0107
