elec120V_cmu_plant,natgas_cmu_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"CMU, normal-weight, A1-A3 q_cement",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Strawn,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Arkla,"coal extraction and processing - West/Northwest, BIT, Underground",168.5127747495384,0.13723145660836814,0.1178817005688147,0.10543831088941215,0.060401960787532516,0.06181890086087346,0.13056972346402584,0.0,317.6244,0.8469622488182542,1.3848697249945747,1.1748159569274278e-05,11.975100163411735,325.7941,348.7689,325.0588
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Strawn,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Arkla,"coal extraction and processing - West/Northwest, BIT, Underground",168.2909092874052,0.1744892608078072,0.13928573827233923,0.1023215015903137,0.0753379899738334,0.06011864098064793,0.09011831016059564,0.0,304.2393,0.7254216181093567,1.3858036141631673,1.2149866134217069e-05,11.137117877479206,312.4177,335.3108,311.7294
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Strawn,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Arkla,"coal extraction and processing - West/Northwest, BIT, Underground",188.52281619626012,0.108096600558355,0.14857826806432817,0.13826142155341384,0.06879897240134655,0.05980765720853177,0.09053869544211066,0.0,313.9967,0.7524131621989614,1.3879607352734693,1.22198206349335e-05,11.222810886988139,322.1412,345.0348,321.4571
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Strawn,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Arkla,"coal extraction and processing - West/Northwest, BIT, Underground",165.2197961050569,0.13364910859532128,0.10736097462260022,0.10382686976307691,0.06150345861629695,0.05762461456991558,0.11067450360134089,0.0,303.548,0.7672126571924371,1.3827914244417085,1.1436257273987213e-05,11.281713132730665,311.6833,334.5695,310.9989
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Strawn,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Arkla,"coal extraction and processing - West/Northwest, BIT, Underground",160.63046061905266,0.13122179585582325,0.13335220523030736,0.11502639931864515,0.06079254328358617,0.07287853396614541,0.06296832532855823,0.0,278.2918,0.6030344688534629,1.3819826516048406,1.1592430123549982e-05,9.935037243423878,286.3775,309.1051,285.7853
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Strawn,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Arkla,"coal extraction and processing - West/Northwest, BIT, Underground",179.3078456129034,0.15422165353536943,0.13374564311433912,0.09109577902898744,0.059380303425401265,0.06765972381229271,0.09611409763689771,0.0,312.8371,0.7620538651271914,1.3854043503860887,1.1760183489349121e-05,11.39297097929464,321.0135,343.9304,320.3123
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Strawn,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Arkla,"coal extraction and processing - West/Northwest, BIT, Underground",173.4930904985951,0.1419595571093449,0.1452247238690253,0.11773615840613008,0.0630131135487074,0.06125907527094178,0.08903531125124435,0.0,302.6454,0.7194556330615465,1.384392886082613,1.1713317666656083e-05,10.976705548767175,310.7901,333.6508,310.1214
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Strawn,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Arkla,"coal extraction and processing - West/Northwest, BIT, Underground",168.8780986505669,0.14188888877879755,0.1543363497982076,0.11232410309367717,0.07102719817321135,0.0710815032061274,0.09412133854801007,0.0,303.7447,0.7326008057366535,1.3866593954473774,1.2350770192995966e-05,11.10661410982563,311.8984,334.782,311.2174
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Strawn,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Arkla,"coal extraction and processing - West/Northwest, BIT, Underground",161.95780210719363,0.11504536808374168,0.12841721966418262,0.10058192936419413,0.0619463101448414,0.06749005467630774,0.10050615902153183,0.0,294.6426,0.722144815123592,1.3828814620064074,1.1608213515466319e-05,10.856733822041742,302.7478,325.5801,302.0955
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Strawn,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Arkla,"coal extraction and processing - West/Northwest, BIT, Underground",159.3115744083192,0.13107921916446671,0.13648966981396476,0.10827646778688317,0.0677172042434463,0.06763740270251756,0.10222784924028008,0.0,296.2149,0.7289871222980941,1.3840623582301557,1.1938311059648173e-05,10.973595219545297,304.3393,327.1935,303.6741
Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Gulf,"coal extraction and processing - Gulf Lignite, LIG, Surface",177.38135259025765,0.1453667896898777,0.1753018719286711,0.09670574773405927,0.0628024126571294,0.0744288370579645,0.08263945052492644,0.0,282.5317,0.633290178386312,1.3829210397819418,1.1660527236154715e-05,9.486558936987862,290.4863,313.2078,289.9477
Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Gulf,"coal extraction and processing - Gulf Lignite, LIG, Surface",185.8704704845459,0.1514307196143682,0.1336170057482154,0.11432145164330315,0.068182236987891,0.06083677266663774,0.11042431093021605,0.0,304.5158,0.7558027141149395,1.3854603728029478,1.1895224438266102e-05,10.52650276519089,312.5095,335.3528,311.9002
Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Gulf,"coal extraction and processing - Gulf Lignite, LIG, Surface",167.5337151566374,0.16972397946209228,0.1057161204289891,0.1087122926759175,0.06752659270102293,0.07594299851872041,0.09133954719076831,0.0,280.8917,0.647872372912652,1.383390276861271,1.1960509154700408e-05,9.62119738938686,288.8541,311.5939,288.3041
Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Gulf,"coal extraction and processing - Gulf Lignite, LIG, Surface",174.7394184312228,0.15470444221516513,0.12121019123322835,0.1208443531269369,0.06589240671334592,0.06350667287559679,0.09152830966456653,0.0,284.9461,0.6595722929817214,1.382736445360569,1.1627833181500105e-05,9.699728854850045,292.9066,315.651,292.3541
Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Arkla,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Gulf,"coal extraction and processing - Gulf Lignite, LIG, Surface",172.3937840050232,0.12188140331856405,0.14237865650697795,0.10754157205311163,0.05503540608580565,0.06000015890011962,0.08614168531897465,0.0,276.6071,0.6267462300385874,1.3790087581116157,1.0834069899050024e-05,9.346894599845001,284.538,307.2276,284.0159
