elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 17.2 Mpa - national avg, A1-A3 q_PC","concrete, 17.2 Mpa - national avg, A1-A3 q_electricity","concrete, 17.2 Mpa - national avg, A1-A3 q_NG","concrete, 17.2 Mpa - national avg, A1-A3 msw",market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Underground",200.99755646542894,3.867740507561343,1.1932993216500833,0.0,0.09562654934090842,0.07156292578168277,0.07190418007662733,0.09593394654830707,242.8632,0.7827144901426972,0.11471969586361237,9.642461891488588e-06,12.345819771868891,244.4778,247.7035,243.7825
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Underground",193.1808805480081,3.827192461833641,0.7929074782635755,0.0,0.11205905980554465,0.07318110745573742,0.07173422117708439,0.09726591713281682,232.1231,0.7236819097601483,0.11150099601210128,9.6977817912239e-06,10.627839445328236,233.63,236.7165,232.9991
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Underground",209.49982049033952,3.1568851572859438,0.586545155104317,0.0,0.10887451758799688,0.07686908570030151,0.06740103958457558,0.09036805741143379,239.6505,0.7095396810542377,0.1117464979483059,9.769817224761884e-06,9.975682779286625,241.1359,244.2334,240.529
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Underground",203.72858916078502,4.6694954151244445,-0.30692507812543146,0.0,0.10424709654297269,0.0653896004135146,0.06395173562946255,0.09852864802775448,227.2438,0.6221510014837345,0.10280463343689164,9.160535385303177e-06,6.525354976799385,228.5465,231.6053,228.0855
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Underground",185.33700300100207,4.637281167755242,0.07855533708615403,0.0,0.12635987177326094,0.06581062364719076,0.06751516358703251,0.09413363655385548,213.1434,0.6067315442172463,0.10380348785953546,9.21434255209799e-06,7.4664612813004405,214.4379,217.2259,213.9324
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Underground",201.6029165340551,3.795273709574291,0.7854691983335907,0.0,0.1215457116861052,0.07183615467704249,0.06073921709881101,0.09263684067502666,235.2786,0.720816090111378,0.11078194089894833,9.372293493343812e-06,10.602291733702444,236.7815,239.8619,236.1553
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Underground",203.11922317148608,3.8779680361213607,0.122751932317813,0.0,0.08026465108703947,0.07195986143628941,0.061154997284044596,0.10401210086778098,234.8728,0.6918476465571631,0.10574966273726705,9.14484378910019e-06,8.371001371056007,236.2948,239.5409,235.7653
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Underground",220.8972019354961,4.19660258024023,0.10701977768663473,0.0,0.11268061196748619,0.05472416707634968,0.06150211337561992,0.08227508691336448,235.0485,0.6357998125853533,0.10561720315585803,8.874486201081291e-06,7.941815167779431,236.4,239.3356,235.8815
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Underground",217.7806794321543,3.902461596056361,1.3833589248194513,0.0,0.09901195491901714,0.07245460626621728,0.059710531217173936,0.09796751231040003,260.7176,0.8514455101360054,0.11698658590108249,9.477154606841609e-06,13.549605611348206,262.4445,265.9674,261.7105
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Permian,"coal extraction and processing - Northern Appalachia, WC, Underground",208.08119183235203,4.0209937372396665,0.9210613284533999,0.0,0.10485030178372991,0.066359292864076,0.07028044898401582,0.11289083274026566,257.1271,0.8396032969557623,0.11426861521183669,9.710144671788547e-06,12.034050690374412,258.8083,262.4867,258.1366
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",210.29948669330346,3.7051647833099843,0.5095787052068107,0.0,0.1079758788419125,0.06863467713832914,0.05807054850013919,0.11025412330824615,247.1489,0.7808328698228617,0.10963394778909889,9.529202640471678e-06,10.11640437109744,248.0713,249.5317,247.4197
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",205.06128440554772,3.8344021482081736,0.5789845333818382,0.0,0.12186921754826373,0.05191680174486624,0.0664761520224726,0.10932434861957843,241.9205,0.7694268428504989,0.10875207141409801,9.321107871783349e-06,10.19938126810846,242.847,244.2862,242.1948
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",216.34942715473287,4.577956619847058,0.18252050880629722,0.0,0.10766384845009275,0.0680648024055164,0.07049982416460562,0.13914875853372866,270.1144,0.8925059676913303,0.11212996924937506,1.0341514119354256e-05,10.13522414210571,271.0005,272.6277,270.3419
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",221.81102764250085,3.680632063317044,-0.12463558808530684,0.0,0.1253088051542342,0.06432321134090158,0.07088261522194846,0.09646166709817863,243.4259,0.6815049207165398,0.10805976745581103,1.0035540390769248e-05,7.487089449308763,244.2344,245.5702,243.6768
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",215.59446081140018,4.394041630622276,0.6556836298822375,0.0,0.10559420160271688,0.0645336608358864,0.06632306582101831,0.10961677495910563,254.7742,0.8120994001719127,0.11217135671661327,9.78158700561749e-06,10.860274237411598,255.7425,257.2606,255.0595
