elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 17.2 Mpa - national avg, A1-A3 q_PC","concrete, 17.2 Mpa - national avg, A1-A3 q_electricity","concrete, 17.2 Mpa - national avg, A1-A3 q_NG","concrete, 17.2 Mpa - national avg, A1-A3 plc_boolean","concrete, 17.2 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,Portland limestone cement production q_electricity,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",208.83537731889425,4.481486096091687,-0.26776724216386427,0.0,0.0,0.12591214720067456,0.08103751265822454,0.06567461405636281,0.06991040137977331,0.07833946571267555,0.17285317304185882,210.3127,0.5575620802669295,0.11237487203758179,1.0529214477084124e-05,6.4803439007377355,211.0368,211.9748,210.5021
Electricity; at user; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",221.06082088841575,4.367663068242982,0.026708615353085663,0.0,0.0,0.1528102263195174,0.10501851642411084,0.07608240748584143,0.05891401294509018,0.12427233929075904,0.13108723957202484,256.8004,0.8262417543625492,0.12018328553172945,1.1333485803954691e-05,9.665064349462662,257.6132,258.889,256.9494
Electricity; at user; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",222.2926306009577,3.7811714570188135,1.4401251429986386,0.0,0.0,0.11668155407610076,0.09663800078221571,0.05710778846421717,0.061775850604778464,0.09932569533509193,0.1106940331500132,252.7136,0.8660475689011435,0.12469515133664155,1.0391773836382081e-05,14.02899792932742,253.7982,255.1413,252.9727
Electricity; at user; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",204.10925739571127,4.29744952715095,1.551227209694995,0.0,0.0,0.1090069693566133,0.1194202295690074,0.06556161413482631,0.07083562654442493,0.09401006928063474,0.14357261800799054,238.874,0.8289025606949274,0.12754038313293148,1.1143943143534172e-05,14.189069606294675,239.9981,241.2961,239.1571
Electricity; at user; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",195.89285943847165,4.612962624374774,0.5358361277890027,0.0,0.0,0.12377989113487947,0.11173559287279156,0.060680495796860114,0.07465789394327767,0.09506565863244616,0.11382666534053515,220.5725,0.6966727596575191,0.1188011773746276,1.0886480090795247e-05,10.038680489705312,221.4688,222.5825,220.793
Electricity; at user; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",211.44799967436026,3.2393073390923,0.03343309726639354,0.0,0.0,0.13695330527159863,0.11634490947826978,0.06995206632445476,0.0652615680221675,0.09222937171201896,0.169787537475221,226.93,0.6628088383711539,0.11739776462522541,1.1043061381564146e-05,8.324486116053261,227.7355,228.8143,227.1244
Electricity; at user; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",206.40099941107934,4.546428144794877,0.1258203664155665,0.0,0.0,0.1336996069893655,0.09559049846454747,0.06058078762301878,0.07236202474292987,0.08176230042015228,0.160830064812311,216.0833,0.6146851388852635,0.11536593307823632,1.0616587738601497e-05,8.14257522231195,216.8956,217.919,216.2963
Electricity; at user; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",203.00577014716777,3.786512767200804,0.04959645376884658,0.0,0.0,0.13494337448203692,0.10999017180687146,0.07184669725094348,0.061692307954258785,0.06984517612936736,0.1934328000949119,205.5981,0.5516285261616878,0.1141170728512147,1.0562374189211041e-05,7.408154423029433,206.3944,207.3456,205.8237
Electricity; at user; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",215.71257136474648,4.310498832748037,1.2098994450693348,0.0,0.0,0.15178081313386804,0.09719486287884603,0.06297190023271637,0.06532400549249676,0.1025786674254324,0.17132713562189233,250.872,0.8490791513563709,0.12474927357050174,1.0791808871457368e-05,13.32427791203502,251.9281,253.2764,251.1282
Electricity; at user; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",191.27428833325888,3.703280393337506,0.17043663902143247,0.0,0.0,0.20094264863883596,0.1033694179714765,0.0687011931929541,0.07386852552724732,0.10210777972849078,0.1097727716377821,222.2922,0.6828109807875119,0.11761075154315936,1.1152982759447281e-05,8.970897178807762,223.1368,224.2827,222.5048
Electricity; at user; consumption mix - Western Area Power Administration - Upper Great Plains West - BA,natural gas extraction and processing - Fort Worth,"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - San Juan,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Surface",210.17186592910193,3.909577689474463,0.5545797316679544,1.0,0.0,0.1642676852969234,0.11633706916640212,0.06376587549460834,0.06769934267985807,0.10154838966487757,0.19382495566058874,438.4817,1.3396933685045314,0.1547268614439812,1.4013725410903803e-05,17.842382292786652,440.0389,443.0754,439.0608
