elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 17.2 MPa - national avg, A1-A3 total_cementitious","concrete, 17.2 MPa - national avg, A1-A3 pct_scm","concrete, 17.2 MPa - national avg, A1-A3 pct_scm_flyash","concrete, 17.2 MPa - national avg, A1-A3 q_electricity","concrete, 17.2 MPa - national avg, A1-A3 q_NG","concrete, 17.2 MPa - national avg, A1-A3 plc_boolean","concrete, 17.2 MPa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",248.7295078422176,0.2,0.0,4.587430757457208,0.9466797134577439,0.0,0.0,0.12685872357972958,0.1685803341531924,0.10624988708170315,0.062163149087829835,0.06102630111710278,0.07260688805393342,230.3535,0.6765129630652524,0.12412215403624177,1.1993417845499236e-05,10.72520677964073,231.4635,232.9174,230.7494
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",259.20469209699723,0.4,0.5,3.7155113219052227,0.5496991457677489,0.0,0.0,0.17768737442921806,0.18194118872843879,0.09525602069674899,0.06750906591253211,0.060917915090542445,0.10255113607945684,208.6315,0.6548506508600119,0.11790420052096524,1.1888059993562866e-05,9.313275882285849,209.6395,211.067,208.9874
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",264.96384920505903,0.5,0.0,3.771852178176964,1.8482272389191152,0.0,0.0,0.10675196564167622,0.1274655369297624,0.13147826883663152,0.06681375600188783,0.06914959152029906,0.10499629825454107,213.1107,0.7922870353547002,0.14063436403750432,1.5466118760219643e-05,14.8167654145063,214.459,216.0187,213.5495
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",266.35922441133766,0.2,0.5,4.3072375987110005,0.9974667068313626,0.0,0.0,0.11287947059494853,0.09344414359887937,0.11351735939991596,0.06227778945938961,0.06667350245621967,0.0847492105425792,246.2165,0.7472166302860983,0.12450748281709506,1.1667078077259337e-05,11.298349811566862,247.3426,248.9284,246.6088
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",255.35019627866416,0.0,0.5,4.024881928384713,0.10764640573298512,1.0,0.0,0.11332649553935789,0.1676328595985064,0.09546437896473296,0.07238515645747733,0.0654902388389103,0.07873948824027463,254.6572,0.672901858810951,0.11766403728380033,1.1190020726271937e-05,8.260159027118354,255.6316,257.1894,255.0284
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",260.4309771543674,0.3,0.0,4.081526565171674,1.613281473967492,0.0,0.0,0.10837643950895423,0.12769020293940103,0.0905957644768991,0.07480078013121527,0.05923453636214675,0.10652106458571634,246.7716,0.8621872159786487,0.13468729340648705,1.351435176697672e-05,14.391559483321343,248.0674,249.807,247.1971
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",260.67227097272354,0.3,1.0,4.3244390191643,1.4098593803111024,0.0,0.0,0.15407805310914666,0.14830050530714925,0.11086168854749456,0.06834314106244549,0.06134382783605407,0.10425203180321763,235.6737,0.7963691563255263,0.11941614362747174,1.0357753058301473e-05,12.707408104730343,236.8469,238.5201,236.0788
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",261.02672787968754,0.5,0.0,4.363101452233253,0.8224500262973636,0.0,0.0,0.17062653130419325,0.12078417021243837,0.09639958695101918,0.0612964612669541,0.07447888033367991,0.10503452414224644,203.5383,0.6787072380521735,0.1324022429980682,1.5209021084371665e-05,10.898977709087966,204.6769,206.1065,203.9262
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",253.4090270327802,0.5,1.0,4.018948465364245,0.8340505854858724,0.0,0.0,0.13681967102092843,0.1921651553009526,0.11033979081398858,0.07320412705061068,0.06808648168868073,0.11034753454669197,177.5388,0.5989313880859819,0.10897131410443955,9.943363065006917e-06,9.124968677967894,178.5013,179.7791,177.8736
Electricity; at user; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Arkla,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",257.51479840922383,0.1,1.0,4.684865280123309,1.2617772363587751,0.0,0.0,0.14324649570942824,0.13279347409145514,0.09842793596120325,0.06054735579767706,0.07123541533644369,0.10133334725491236,278.0141,0.8924075142226533,0.12591146853764815,1.1106418309463894e-05,13.233732296820161,279.2317,281.1241,278.4344
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Gulf,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Processing",259.07048020049,0.2,0.5,4.01870001966221,0.8413287960841486,0.0,0.0,0.14050982622339428,0.160596341740434,0.12208782943824621,0.06503589590240007,0.05936968063261054,0.11294184126575005,267.0405,0.8548397743648042,0.12432222152157206,1.1776880908691673e-05,11.910565103799472,268.7358,272.3843,268.0379
