elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 17.2 MPa - national avg, A1-A3 total_cementitious","concrete, 17.2 MPa - national avg, A1-A3 pct_scm","concrete, 17.2 MPa - national avg, A1-A3 pct_scm_flyash","concrete, 17.2 MPa - national avg, A1-A3 q_electricity","concrete, 17.2 MPa - national avg, A1-A3 q_NG","concrete, 17.2 MPa - national avg, A1-A3 plc_boolean","concrete, 17.2 MPa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Uinta,"coal extraction and processing - Import, BIT, Surface",269.64862446472296,0.1,0.0,4.356249917041712,-0.6362857142660548,0.0,0.0,0.1444208700141108,0.136307338082838,0.11676386335897691,0.06312283586924428,0.061984539057248544,0.11074995001956485,279.0684,0.7547158762707428,0.11878156114749293,1.2369418917294587e-05,6.8348775421581305,279.7907,281.1009,279.2291
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Uinta,"coal extraction and processing - Import, BIT, Surface",264.3623011904458,0.1,1.0,4.159755042537133,0.9908239871575932,0.0,0.0,0.12002579784745762,0.14515282205483798,0.1288452228766372,0.060590969828559924,0.06321115709310053,0.1096167064717751,284.2731,0.900413051845094,0.12452546486018205,1.124168624341994e-05,12.544535103181364,285.2962,286.7902,284.5207
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Uinta,"coal extraction and processing - Import, BIT, Surface",269.93145677453225,0.4,0.5,4.527417695439437,1.5820551512664465,0.0,0.0,0.1628353169180236,0.1606120606235944,0.09438268862245855,0.0828593975887251,0.06289319610189757,0.09089828833599777,226.7421,0.7553719092259382,0.1291479003628478,1.2869794172287882e-05,13.453400671647408,227.9216,229.281,227.0977
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Uinta,"coal extraction and processing - Import, BIT, Surface",275.88356462413213,0.2,0.0,4.243568856090883,0.818238705096288,0.0,0.0,0.08091312687405483,0.13050854746022367,0.12140364669086351,0.059151477364796055,0.0688662118761339,0.1102671093869639,268.5158,0.8582632849618417,0.1307458746923755,1.3219578661439847e-05,11.907450367728195,269.534,270.9273,268.7554
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Uinta,"coal extraction and processing - Import, BIT, Surface",278.973485864587,0.5,0.5,3.722467474752546,1.5364433246399396,0.0,0.0,0.13914472607126238,0.12637553900504336,0.10218408275559228,0.057846782310015665,0.05834121698311494,0.09806895578870531,202.0794,0.7080500021335857,0.12260505166646361,1.1902896898180212e-05,12.778342229463426,203.1937,204.427,202.4067
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Uinta,"coal extraction and processing - Import, BIT, Surface",245.50760433788616,0.0,0.0,3.3634182584879175,1.1305128160274482,0.0,0.0,0.07654019754785683,0.13116678962015244,0.1112055175087847,0.06758306147234298,0.06272065444674509,0.08252574993731274,264.5267,0.7856067678285461,0.12424668481767998,1.0956669601207931e-05,11.837939058986045,265.5597,266.8785,264.8043
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Uinta,"coal extraction and processing - Import, BIT, Surface",261.2751905005342,0.3,0.0,3.6169749878838164,1.7265749931493528,0.0,0.0,0.1490739585652112,0.14487883182779163,0.12074637600529183,0.06800834261996105,0.0560484200710175,0.09196819113932951,247.5284,0.82826145699614,0.13425765645920504,1.3448548878447903e-05,14.672429940448469,248.7639,250.2078,247.8864
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Uinta,"coal extraction and processing - Import, BIT, Surface",256.01445818545363,0.4,0.5,3.9230785488574247,-0.08727696728967127,0.0,0.0,0.1416018416919675,0.11712892167304614,0.11530490903991013,0.05624464104925242,0.0685848927361519,0.10875420724644486,199.8751,0.5819658017237631,0.11281210821817583,1.1869221895893686e-05,6.830335274617587,200.6434,201.6874,200.0863
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Uinta,"coal extraction and processing - Import, BIT, Surface",253.29209079486694,0.5,0.0,4.065569567010042,1.0428619188498316,0.0,0.0,0.14075452335495836,0.13973224039314158,0.11297664158364576,0.07577386793948433,0.07212551688470396,0.1122490445144518,205.6926,0.706164927962779,0.13519471392029037,1.565199528366219e-05,11.806866054199112,206.8046,208.0462,206.0108
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - PacifiCorp East - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Uinta,"coal extraction and processing - Import, BIT, Surface",239.5191672809602,0.4,0.5,4.11758474327824,0.3020093544329231,0.0,0.0,0.08726424414361145,0.08467612768735816,0.11599474813655393,0.05797581456881244,0.06716505131699411,0.09989739695512904,183.9779,0.5604212219437281,0.1124990470623221,1.1396689143474263e-05,7.598911097309343,184.7951,185.7782,184.2074
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Powder River Basin, SUB, Surface",260.65541709661966,0.1,0.0,3.965371417990013,0.5173049172122822,0.0,0.0,0.12354481090121341,0.21350340285298797,0.09572129135922527,0.06535825819000592,0.06707298575856033,0.09183207836170586,257.7879,0.7871399982569187,0.11689115311915182,1.0547688346805427e-05,10.939865507721299,258.7522,260.1446,258.0618
