elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 17.2 MPa - national avg, A1-A3 total_cementitious","concrete, 17.2 MPa - national avg, A1-A3 pct_scm","concrete, 17.2 MPa - national avg, A1-A3 pct_scm_flyash","concrete, 17.2 MPa - national avg, A1-A3 q_electricity","concrete, 17.2 MPa - national avg, A1-A3 q_NG","concrete, 17.2 MPa - national avg, A1-A3 plc_boolean","concrete, 17.2 MPa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Surface",239.2617860983556,0.1,0.0,4.256162856891668,0.8636038217338524,0.0,0.0,0.1406085251275807,0.11683834057322193,0.12179165940586428,0.06260661786204764,0.05391667065004065,0.08381226007803319,242.5795,0.7221167099995289,0.12059832296906613,1.0981678726192578e-05,10.575514591719369,243.5859,244.9349,242.8906
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Surface",260.04452976697155,0.3,1.0,4.439908872371813,0.07794546975702776,0.0,0.0,0.13107476778754296,0.09465927832087957,0.12068353272248163,0.0680464117150841,0.06896737337839741,0.09508668499120246,209.3227,0.5946611467070113,0.11059064813855227,1.0486675851850624e-05,6.914455775213958,210.1138,211.2452,209.5629
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Surface",250.13372990410613,0.2,0.5,4.432839532771218,0.43899202124389847,0.0,0.0,0.1461613079938375,0.1264854285297851,0.1256144533751049,0.07897288755844528,0.06931476337399448,0.08892840922018691,234.4887,0.6784659222728622,0.12279004038491387,1.2339113356655576e-05,9.012875393649987,235.4338,236.7291,234.7809
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Surface",256.17195341652575,0.5,0.5,3.417192707392042,-0.3043583054675666,0.0,0.0,0.16487268581412534,0.09861249002935182,0.11559001872052904,0.05882078881284958,0.06775658859771248,0.09910270960814825,168.0396,0.4706648091169531,0.1094325244090828,1.1861617001683247e-05,5.09539013040573,168.759,169.692,168.2681
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Surface",246.67205236406173,0.4,0.5,4.420814849363953,1.4705439182473854,0.0,0.0,0.1804043911859308,0.1165862349874128,0.10624516180508654,0.0725868559693566,0.06452897230711822,0.08865304255301168,204.8024,0.693962176500439,0.12381028966202269,1.200257940531166e-05,12.257944760425243,205.9325,207.2368,205.163
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Surface",262.4547970422767,0.4,0.0,4.179098738344655,0.7129497118229405,0.0,0.0,0.15497106294377938,0.1801436718075011,0.13407533397600216,0.07582445493913519,0.05711097411191801,0.10705655317443027,219.9122,0.7157058781652811,0.13074345828648093,1.4496474381362371e-05,10.627661334693736,220.9547,222.2692,220.2204
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Surface",269.6020769304232,0.5,1.0,4.16540506211908,0.869539095634364,1.0,0.0,0.12413501268527286,0.19084520214540296,0.12317741169954705,0.06248122507432416,0.06100147218921089,0.09654041702443444,167.2073,0.5539625209324482,0.10391651022509643,8.944491755493618e-06,8.872257348893713,168.0996,169.1697,167.5002
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Surface",261.3123796410227,0.4,0.5,4.232226864786286,0.4247033714150354,0.0,0.0,0.09607111822363637,0.15238059049465438,0.11693949484413013,0.06899733636140248,0.06737790022318944,0.09170596474766365,195.0362,0.5895827885383718,0.11805583631238091,1.2169066379910146e-05,8.207792374257576,195.9258,197.0136,195.3039
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Surface",262.9189457717791,0.1,0.5,3.9069075196274894,1.4039555909322687,0.0,0.0,0.16781106939660345,0.1461363438765138,0.08713828657012032,0.06620179799804131,0.0639127641895305,0.10512913964950957,285.0118,0.9358961053650037,0.12860901491659327,1.13906923935979e-05,14.001367440885488,286.1738,287.8627,285.3457
Electricity; at user; consumption mix - PacifiCorp East - BA,natural gas extraction and processing - Permian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Green River,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Surface",258.67428039031296,0.0,1.0,3.875966716474666,0.920829064323471,0.0,0.0,0.09989136846230573,0.12336095606222146,0.1331088661988165,0.07005251939550933,0.06619477954917113,0.11840180559021445,302.3037,0.9880932752749576,0.13027489614185017,1.2008566687329634e-05,12.852074603233458,303.3611,305.0463,302.5597
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",241.74469591780692,0.1,0.0,3.704644124643175,1.2944808158499574,0.0,0.0,0.14838017934317796,0.12680769732752933,0.10571604043405239,0.06501341110101143,0.06331056519330609,0.08920481384569715,263.1439,0.8663521054386645,0.12973164944006654,1.1734667688610094e-05,14.389447512882336,264.4194,266.2179,263.5843
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",254.79650679196587,0.3,0.5,3.8889869028576554,0.9511279392853684,0.0,0.0,0.0909932300522152,0.10038352957547134,0.12721598864866268,0.06441236616543222,0.06735013974484105,0.10197168425870451,226.0818,0.7736211068640887,0.1253419913402027,1.1995268238055111e-05,12.363377130165057,227.2172,228.7664,226.4526
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, WC, Surface",267.57287114903886,0.3,1.0,4.3051645553550175,0.39962758365230755,0.0,0.0,0.14048818059117443,0.17702893906301664,0.11139365085165448,0.057770913565981,0.08461109017160504,0.09971034943046932,228.6557,0.7250340420777777,0.11861294442317401,1.106470494320601e-05,10.313607215532524,229.684,231.2304,229.0129
