elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 17.2 MPa - national avg, A1-A3 total_cementitious","concrete, 17.2 MPa - national avg, A1-A3 pct_scm","concrete, 17.2 MPa - national avg, A1-A3 pct_scm_flyash","concrete, 17.2 MPa - national avg, A1-A3 q_electricity","concrete, 17.2 MPa - national avg, A1-A3 q_NG","concrete, 17.2 MPa - national avg, A1-A3 plc_boolean","concrete, 17.2 MPa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",258.6048402027692,0.3,0.0,3.752717639904486,0.728006479467084,0.0,0.0,0.10835482293784321,0.14675983077123325,0.11214145182024034,0.07282828905948477,0.07005902385810811,0.08070949118539328,218.1655,0.6895499141746162,0.13169673727930872,1.3618302607516082e-05,11.40569603759674,219.2516,220.5603,218.5073
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",253.6857867444189,0.5,1.0,4.170668872171962,0.7640613818407119,0.0,0.0,0.14580039941869583,0.15504303915464202,0.12242841659464697,0.06651501239261076,0.06270320031336855,0.09507772123139753,165.3649,0.5686171186792164,0.10761022708844169,9.171557850850626e-06,9.593459641865735,166.289,167.3972,165.668
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",264.2720169709568,0.4,1.0,3.9209186154279205,-0.5380756090804096,0.0,0.0,0.13554694267661743,0.1275248187172972,0.11431804450597921,0.06448659067422911,0.05651775410181506,0.09585788140321434,175.3567,0.48656131716682427,0.10107800228265063,9.088701209154425e-06,5.080943157454247,176.0209,177.0255,175.5762
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",257.12861274934704,0.4,0.5,3.6836841826685385,1.1975182165089187,0.0,0.0,0.11788475238111132,0.11650316546814202,0.11136643708026127,0.06909631603664625,0.07556832519859136,0.09727278878978478,205.8058,0.728304911440577,0.12759621335033278,1.2419526458168471e-05,12.829995455378095,206.9385,208.2833,206.1537
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",272.29312198112825,0.2,1.0,4.842517778208777,-0.3760931716116326,0.0,0.0,0.1618837610015491,0.14041457742934801,0.09369393435134055,0.07034546830712919,0.06959651748707403,0.09226499512707668,234.1482,0.6473722403579975,0.11502447835343661,1.0595813492793755e-05,7.472215513537817,234.9731,236.334,234.4259
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",261.0631769312613,0.0,1.0,3.7714970208088636,-0.29088525474564164,0.0,0.0,0.10075470105629328,0.16766012776882064,0.09710232054092222,0.07448017784367614,0.060450047550548544,0.1001148883831665,270.8282,0.7796986873206244,0.12060513561081192,1.0990899882528473e-05,8.693557964635257,271.6764,273.151,271.0678
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",254.17235674111797,0.5,1.0,3.827089340749915,0.012375469502288183,0.0,0.0,0.12136578560022396,0.1624020418682266,0.11248471732239079,0.06788387484177323,0.05890654473699922,0.10906150350891496,159.1665,0.5117356730551863,0.10168436957729005,9.0040048716346e-06,6.773707901936473,159.9126,160.9051,159.4008
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",241.33087947003082,0.2,1.0,3.429893767607419,0.45786951818356536,1.0,0.0,0.10031312711213367,0.0942434703003886,0.11577986294434998,0.05808329878887224,0.056857997585030046,0.09337651116659021,196.1969,0.6207477369150247,0.10792594490009073,8.97424901952724e-06,9.078393816489289,197.0675,198.2385,196.4668
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",251.83687103320915,0.1,1.0,3.2258659713582514,0.5709029800066756,0.0,0.0,0.1438039168312661,0.08595779487106808,0.09192700349018336,0.057792118419822264,0.07167005449422535,0.10418335616046631,256.9759,0.8205984292647708,0.12132358626093748,1.041321751330754e-05,11.599764639307196,257.9905,259.5612,257.2835
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, SUB, Surface",272.2887314938382,0.4,0.0,4.67798468307651,-0.24960961668465165,0.0,0.0,0.08414624197787537,0.1288181592659984,0.10043886742538766,0.05806453912322943,0.07015278484672054,0.09598265088002304,199.7831,0.5962434539682082,0.12488778460919098,1.4011608034693504e-05,7.67601721774449,200.6463,201.7772,200.0414
Electricity; at user; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, SUB, Underground",243.24258575053494,0.4,0.5,3.5827012595657233,-0.26898904920102173,0.0,0.0,0.14743220841747498,0.13509701881312886,0.09765425755145207,0.06513291466971596,0.05472544915538954,0.07668452458576969,163.9963,0.4188304483753155,0.0982182197281204,9.425458016549582e-06,4.766936779048274,164.6704,165.5514,164.2298
