elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 20.7 Mpa - national avg, A1-A3 q_cement","concrete, 20.7 Mpa - national avg, A1-A3 q_electricity","concrete, 20.7 Mpa - national avg, A1-A3 q_NG","concrete, 20.7 Mpa - national avg, A1-A3 plc_boolean","concrete, 20.7 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Central Interior, BIT, Processing",228.8434865775262,4.264074882341207,0.9866197226907986,0.0,0.0,0.11865632643049126,0.12861673740929025,0.1261205446691307,0.06717205539273645,0.0636520843013117,0.12513802755953912,0.0,271.8461,0.966066065627395,0.1280213433292698,1.1518007080859682e-05,13.708335092331852,273.0371,275.0305,272.2285
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Central Interior, BIT, Processing",237.94384875604868,4.351831284418446,1.2882114204296324,0.0,0.0,0.09750736427695733,0.13912481938735932,0.12329761768587401,0.061279872286630205,0.06262732395039261,0.10057112563706952,0.0,264.3429,0.9012904535501434,0.1280755065111891,1.1080377105158761e-05,14.016009717573557,265.5644,267.4029,264.7435
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Central Interior, BIT, Processing",250.1352799276191,4.252635284879225,1.2840279197016053,0.0,0.0,0.13235448216629742,0.1802658736647893,0.1316752688471868,0.06824252002574328,0.07057350851415996,0.09863291280338023,0.0,277.754,0.934259508843511,0.13384909661233818,1.2056222701416998e-05,14.506802608957276,279.0223,280.9371,278.1709
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Central Interior, BIT, Processing",247.1263320701823,4.432132932665302,1.2256105071953685,0.0,0.0,0.17502220606627175,0.11783297309160728,0.09375476837224882,0.07119415053177373,0.07157154577914865,0.08282454664063728,0.0,262.6634,0.8387766004652281,0.13055824817919084,1.156936934163418e-05,13.523524627217224,263.8885,265.6253,263.0787
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Central Interior, BIT, Processing",235.0869575708443,3.7787589959986336,0.536131013495683,1.0,0.0,0.1697312947863322,0.14859984897436693,0.10269634103059438,0.0687613053933964,0.06140693712787438,0.11138297858127787,0.0,241.6086,0.8038873261186191,0.11945606560064173,1.0808445346393312e-05,10.954155806095935,242.6481,244.339,241.9539
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Central Interior, BIT, Processing",243.59555942522354,3.7377418519489694,0.13495612876381557,0.0,0.0,0.15952558210885295,0.1307144507257264,0.13352012559700566,0.05947907099391228,0.05938476386921942,0.10758927864739562,0.0,261.2553,0.8175918261204983,0.12104707667574069,1.1085573029981277e-05,9.938053730573744,262.2486,264.0045,261.5883
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Central Interior, BIT, Processing",227.55265976799794,4.236165061245197,-0.5217205373141603,0.0,0.0,0.14629082616369712,0.09616970597852634,0.1001520168411701,0.0636496853509582,0.06841792720774835,0.10074787683012829,0.0,234.9965,0.6712422625788241,0.11447031128070771,1.0960806209256916e-05,6.741203878864756,235.8185,237.3144,235.2818
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Central Interior, BIT, Processing",234.42170025389981,3.92599630878759,1.6011382711892344,0.0,0.0,0.1574867847377267,0.14827295970839055,0.10989039366218144,0.06831112684942264,0.06495719605967515,0.09176847907492906,0.0,261.4378,0.8940813016217115,0.13066556631849846,1.1248138925811062e-05,14.988157004510951,262.7263,264.5386,261.8649
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Central Interior, BIT, Processing",232.48837452040743,4.043024298161289,1.2413328727620103,0.0,0.0,0.1343212955572793,0.13030968674027985,0.1259784851737225,0.06695926317064874,0.05734882382276437,0.08672502807370454,0.0,250.1671,0.8187774713823395,0.12613693882747382,1.0887818034269864e-05,13.211887128069678,251.3551,253.0324,250.5654
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Arkla,"coal extraction and processing - Central Interior, BIT, Processing",242.76524951970273,3.9785528178039518,0.28940518341634314,0.0,0.0,0.11823763824662392,0.12849519093234102,0.10606545671565194,0.06499219515284427,0.06320234029267995,0.09180129148765247,0.0,250.0385,0.7535038917239314,0.12104340039001325,1.0981882843817014e-05,9.837767103887773,251.037,252.6414,250.3774
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, BIT, Underground",233.10783073639823,3.9307737333937385,0.15982023792072841,1.0,0.0,0.16296538900213006,0.11297363213832858,0.12397949630800921,0.07535013025981382,0.06999095498739916,0.09176964603755422,0.0,240.5346,0.7138676753434734,0.11987054499081852,1.1596644823256733e-05,9.459771422514327,241.5311,243.0869,240.8861
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, BIT, Underground",210.8107128593764,4.200026627185615,-0.3603356084965327,0.0,0.0,0.12081390313317748,0.11887414033629826,0.0935063377735678,0.06297355563775352,0.05622524199445668,0.09306201678775071,0.0,229.1029,0.6386764302894685,0.11040819539953757,1.0276949374882131e-05,7.022213784342864,229.9455,231.3877,229.4095
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Southwest Power Pool - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - East Texas,"coal extraction and processing - Rocky Mountain, BIT, Underground",221.42662104006925,4.363153622172838,0.772718280937791,0.0,0.0,0.15369834301190313,0.1538345550746361,0.11879598112903932,0.05577151098199568,0.06872925531450508,0.0936647202871522,0.0,260.8147,0.8194518981306471,0.12353576768280318,1.121128523637515e-05,12.163170732138145,261.9648,263.734,261.2216
