elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 20.7 Mpa - national avg, A1-A3 total_cementitious","concrete, 20.7 Mpa - national avg, A1-A3 q_electricity","concrete, 20.7 Mpa - national avg, A1-A3 q_NG","concrete, 20.7 Mpa - national avg, A1-A3 percent_SCM_replacement","concrete, 20.7 Mpa - national avg, A1-A3 plc_boolean","concrete, 20.7 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - Duke Energy Progress East - BA,natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Permian,"coal extraction and processing - Import, SUB, Surface",287.5155620692621,4.5414703960683624,0.5458438230559131,0.3,0.0,0.0,0.10522415901452827,0.18197111962978504,0.10618011376323949,0.06407437542647157,0.059943300289693704,0.09996578488574163,0.0,254.8282,0.7795819989787205,0.11819682973454002,1.5232957414159582e-05,9.99248941421959,255.9225,257.3786,255.0168
Electricity; at user; consumption mix - Duke Energy Progress East - BA,natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Permian,"coal extraction and processing - Import, SUB, Surface",259.2495210094831,3.616035570507822,2.5054111854043453,0.1,1.0,0.0,0.11526077327405519,0.1453900181883818,0.11126486463508539,0.06407724588125141,0.06529934840852089,0.09372010594402505,0.0,243.4355,0.8972731149061939,0.1269972775014235,1.5120260860032234e-05,16.93810611799739,245.0807,246.6454,243.7916
Electricity; at user; consumption mix - Duke Energy Progress East - BA,natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Permian,"coal extraction and processing - Import, SUB, Surface",281.0153052186167,3.67474790680018,0.4864077839042717,0.2,1.0,0.0,0.11738182994289761,0.15567084902377162,0.12919786983720197,0.06286049669689922,0.06855697298061866,0.12128377859757909,0.0,252.2228,0.8221625267998436,0.11777849086647738,1.5616967927952688e-05,10.389890570002263,253.3957,254.9668,252.4357
Electricity; at user; consumption mix - Duke Energy Progress East - BA,natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Permian,"coal extraction and processing - Import, SUB, Surface",271.1988239544426,4.3085948294655125,0.13517505828104848,0.3,0.0,0.0,0.14928223260333456,0.165732505545862,0.11457330768843735,0.07036713159730026,0.058979376928091284,0.09875119170390931,0.0,243.2316,0.7067456389635756,0.11446286304585129,1.5300544191787698e-05,8.225119033360787,244.2625,245.7131,243.4335
Electricity; at user; consumption mix - Duke Energy Progress East - BA,natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Permian,"coal extraction and processing - Import, SUB, Surface",282.5868408171728,4.094556908848553,0.5174094814299357,0.3,0.0,0.0,0.11882909806480974,0.09418035192891547,0.10582725433904426,0.07446693833649556,0.07083363981392046,0.09605219171876332,0.0,252.8467,0.7586778111767047,0.12035556440035812,1.5913505646368206e-05,9.79828329044747,253.9564,255.4251,253.0513
Electricity; at user; consumption mix - Duke Energy Progress East - BA,natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Permian,"coal extraction and processing - Import, SUB, Surface",256.7232045126111,4.249046271749414,1.5806819090602147,0.3,0.0,0.0,0.14291917272678034,0.10981880351745466,0.11303863428115347,0.06598118031765803,0.06758173211660257,0.07824398734709376,0.0,237.1467,0.7577404551461557,0.1219869906742415,1.5175292563059402e-05,12.919072835546867,238.5223,239.9737,237.455
Electricity; at user; consumption mix - Duke Energy Progress East - BA,natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Permian,"coal extraction and processing - Import, SUB, Surface",261.6521312083856,4.093189291866192,1.3251933008873422,0.0,0.0,0.0,0.1308298434323061,0.19386177370192714,0.1065323320014469,0.06777253231584814,0.06376501889448484,0.08094350158255438,0.0,237.1116,0.7436347843620845,0.1202841558822475,1.5083583975296264e-05,12.017710200865341,238.402,239.8249,237.3904
Electricity; at user; consumption mix - Duke Energy Progress East - BA,natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Permian,"coal extraction and processing - Import, SUB, Surface",264.8795740302082,4.045777968146079,1.8972956151114597,0.2,0.0,0.0,0.1860060157823339,0.13059335151119206,0.10091553948372509,0.06957074263796127,0.06466653351480757,0.08784930176756861,0.0,257.7268,0.8604806226693282,0.1261100167603147,1.5360899814889935e-05,14.825646802806219,259.2989,260.9359,258.0856
Electricity; at user; consumption mix - Duke Energy Progress East - BA,natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Permian,"coal extraction and processing - Import, SUB, Surface",280.8666552458813,4.01355110676101,1.7779050168411081,0.4,0.0,0.0,0.0728401430508719,0.16271585999980223,0.11246858906518252,0.06369625050831297,0.07042650136612351,0.1007633270029083,0.0,263.1082,0.9086916318281911,0.12749146133062986,1.5624639745439114e-05,14.674029793837583,264.4865,265.995,263.3434
Electricity; at user; consumption mix - Duke Energy Progress East - BA,natural gas extraction and processing - Permian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - East Texas,natural gas extraction and processing - Permian,"coal extraction and processing - Import, SUB, Surface",287.8310144300612,4.223723943365175,1.224205996975107,0.4,0.0,0.0,0.14165071853125327,0.11477287193984041,0.098585983660494,0.0652213647603298,0.07489019846090607,0.10342024146813787,0.0,272.7313,0.8907477140213339,0.12603676557335736,1.5923027826394675e-05,13.059050846076108,274.107,275.7476,272.9959
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Green River,"coal extraction and processing - Southern Appalachia, BIT, Underground",267.47382169398725,4.186559368282056,0.38158896511513246,0.2,0.0,0.0,0.10009839491634298,0.16204221015151893,0.10251294845680088,0.08025993002308952,0.0649402610997772,0.10711044951718321,0.0,260.2102,0.7662014504530397,0.12775139061765733,1.73270279809767e-05,9.44319874735756,263.6029,267.7549,261.6547
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Green River,"coal extraction and processing - Southern Appalachia, BIT, Underground",283.7405240508476,4.182408957136277,0.0997744289003687,0.2,0.0,0.0,0.1483705409435186,0.1620824566387208,0.12613974402285316,0.06361614869664735,0.06997332195340641,0.09174421843112882,0.0,260.3802,0.6995094967140986,0.126628086080738,1.724309649833444e-05,8.17318559466755,263.501,267.375,261.7178
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Green River,"coal extraction and processing - Southern Appalachia, BIT, Underground",278.89490417187557,4.759551617290635,0.23657409712703525,0.5,0.0,0.0,0.15487934306916462,0.16987160768932735,0.1282144663912753,0.06982290842574917,0.07167058119795025,0.09227593345549999,0.0,261.0831,0.7137955898492843,0.12871748946936246,1.7567614108379003e-05,8.727054078896359,264.2262,268.0946,262.4197
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Green River,"coal extraction and processing - Southern Appalachia, BIT, Underground",258.2034099096527,4.498886204910103,2.26092196659092,0.5,0.0,0.0,0.08917257570564807,0.13818650875763308,0.12140013146204828,0.07061979601344509,0.07360144526080117,0.08732880579950868,0.0,261.5135,0.880457220390407,0.13934079389913354,1.7339302776295244e-05,15.972649992760688,264.8776,268.5133,262.8156
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Green River,"coal extraction and processing - Southern Appalachia, BIT, Underground",293.983033842637,5.009922916375435,1.4851112910023871,0.0,0.0,0.0,0.16463993918426997,0.15192189031628026,0.10834001799150313,0.06609906272216638,0.06795740048792909,0.09934799227300953,0.0,292.5186,0.9185923459855381,0.13782656562154694,1.7374247942134255e-05,14.19235252521977,296.3475,300.756,294.0915
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Green River,"coal extraction and processing - Southern Appalachia, BIT, Underground",308.80226461658555,4.346365421482027,0.08518096408405795,0.0,0.0,0.0,0.14882949872618068,0.1364992849660198,0.09592220606792579,0.0706999228862509,0.05936337869440357,0.11654704319864051,0.0,298.9291,0.8681033609815805,0.12946798750587463,1.7279246388113842e-05,9.579996753772827,302.9674,307.9998,300.6964
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Green River,"coal extraction and processing - Southern Appalachia, BIT, Underground",296.4525865428727,3.9703496732981423,0.5217368267510867,0.1,0.0,0.0,0.15237322229830935,0.14049381125619495,0.12700384159399677,0.06594224233518955,0.0711166660948729,0.1017412386766673,0.0,284.8059,0.824601253654756,0.13306756747650922,1.773125983844044e-05,10.529945149335767,288.4427,292.8616,286.3526
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Duke Energy Carolinas - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Permian,natural gas extraction and processing - Green River,"coal extraction and processing - Southern Appalachia, BIT, Underground",251.11500759053925,4.008185229699902,1.0890028875225997,0.2,0.0,0.0,0.11328171954268187,0.13373191576927726,0.10910379819927864,0.06318158614351829,0.06163979914258495,0.09286282259771482,0.0,243.1629,0.7470313961929236,0.12578912119543523,1.6207285963689522e-05,11.315967409776755,246.2491,249.8236,244.4229
