elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 27.6 Mpa - national avg, A1-A3 total_cementitious","concrete, 27.6 Mpa - national avg, A1-A3 q_electricity","concrete, 27.6 Mpa - national avg, A1-A3 q_NG","concrete, 27.6 Mpa - national avg, A1-A3 percent_SCM_replacement","concrete, 27.6 Mpa - national avg, A1-A3 plc_boolean","concrete, 27.6 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, SUB, Underground",354.3404482,4.384030227,0.785924796,0.4,0,0,0.16810955,0.128610453,0.126238722,0.076607021,0.072120393,0.089302676,0,315.9839,0.941230782,0.134920999,1.71E-05,13.7951329,317.2997,318.9534,316.2068
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, SUB, Underground",314.2259899,4.173657336,2.059631565,0.3,0,0,0.162773422,0.11295066,0.098269259,0.062730173,0.064629928,0.092280619,0,298.4151,1.010787718,0.133647105,1.57E-05,17.73164054,299.9927,301.6278,298.7029
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, SUB, Underground",357.0315644,3.76357154,0.269243859,0.2,0,0,0.134102853,0.126581624,0.097612184,0.064491094,0.063979639,0.070856313,0,284.7569,0.749296063,0.12464778,1.58E-05,10.27906758,285.8088,287.2088,284.9447
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, SUB, Underground",316.9444166,5.0029711,0.674943219,0.1,0,0,0.122652919,0.127110673,0.095142214,0.060521029,0.076626603,0.068033541,0,260.1052,0.721177188,0.12315237,1.56E-05,11.09633783,261.2075,262.5331,260.3145
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, SUB, Underground",296.8199661,4.271305244,0.547340386,0.1,0,0,0.10921204,0.112966007,0.0976405,0.067106282,0.061890071,0.084640069,0,253.1723,0.74867768,0.11908201,1.52E-05,10.71947219,254.2012,255.5086,253.3357
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, SUB, Underground",350.398638,4.349225438,1.095706056,0.1,0,0,0.181026104,0.161393491,0.10159577,0.060470665,0.068258775,0.104412955,0,328.0567,1.048018927,0.133866547,1.64E-05,15.45929125,329.4796,331.2344,328.2829
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, SUB, Underground",343.1175754,3.714863719,0.843190679,0,0,0,0.128018304,0.097387164,0.119464133,0.062316769,0.064075435,0.080349137,0,289.8023,0.849006384,0.128299294,1.59E-05,12.75681814,291.0076,292.48,290.006
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, SUB, Underground",358.0280545,3.76154874,1.085254219,0,0,0,0.104427966,0.182214748,0.116528316,0.074804813,0.08086847,0.100709152,0,321.0923,1.031721872,0.137966401,1.74E-05,15.13236318,322.4131,324.0634,321.2649
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, SUB, Underground",329.8278724,3.702200524,0.907232733,0.2,0,0,0.101891253,0.156555787,0.113331745,0.069830085,0.064916949,0.12413952,0,312.8109,1.069148556,0.130928629,1.65E-05,14.6126685,314.0526,315.6994,312.9343
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, SUB, Underground",336.0098846,5.0018361,1.222103458,0.2,0,0,0.149280118,0.133894534,0.104706659,0.067224728,0.061912898,0.091423081,0,302.5018,0.949665864,0.131038542,1.60E-05,14.794005,303.8659,305.4654,302.7334
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, WC, Surface",357.1173495,4.050677199,0.632461773,0.3,0,0,0.154997012,0.089316273,0.123696101,0.067148087,0.080558627,0.089123944,0,317.4217,0.9408394,0.144904868,1.86E-05,14.25759199,318.9096,320.7905,317.7279
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, WC, Surface",304.8982249,4.5038571,0.607850362,0.1,0,0,0.154265207,0.180120426,0.086942757,0.067513138,0.066293942,0.104354871,0,285.0824,0.899516899,0.132500702,1.69E-05,13.24485601,286.4404,288.1714,285.3428
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, WC, Surface",301.433818,4.013483268,0.222797602,0.3,1,0,0.104552999,0.131449799,0.106200622,0.066199955,0.063770182,0.092645566,0,246.3964,0.731490097,0.12380208,1.64E-05,10.43995956,247.528,249.0156,246.6231
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, WC, Surface",318.3893127,3.75299088,0.056072116,0.4,0,0,0.119059446,0.132962472,0.108896764,0.068680533,0.073923999,0.085680637,0,271.8642,0.765686692,0.131900847,1.75E-05,10.39061401,272.9862,274.5354,272.0743
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, WC, Surface",327.0147531,4.235308518,0.705900525,0.3,0,0,0.133827166,0.133007692,0.111016962,0.062357053,0.057285051,0.104136458,0,298.7549,0.946717472,0.134517239,1.69E-05,13.82824076,300.1284,301.8842,299.001
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, WC, Surface",340.7672492,4.574560554,0.709871597,0.1,0,0,0.195298807,0.162212991,0.107893394,0.064924935,0.0688085,0.081148938,0,302.1987,0.87188359,0.138751178,1.74E-05,14.03072641,303.75,305.6236,302.5696
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, WC, Surface",342.3521779,3.586010797,1.216794089,0.4,0,0,0.087326863,0.168062876,0.08770045,0.064524128,0.068792004,0.086697437,0,296.2751,0.930783768,0.139680288,1.72E-05,14.92652611,297.6721,299.3108,296.5201
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, WC, Surface",316.7894118,3.690579116,0.717872321,0.3,0,0,0.110356082,0.13116225,0.103635783,0.061386511,0.064228485,0.077760725,0,267.973,0.783472538,0.131525181,1.66E-05,12.26954793,269.2246,270.7445,268.2234
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, WC, Surface",349.7273002,4.533539999,-0.036826249,0.4,0,0,0.136843498,0.135489219,0.102916762,0.065692353,0.058891167,0.099697559,0,304.2914,0.885491492,0.132849604,1.72E-05,11.30332215,305.5082,307.2587,304.508
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Nevada Power Company - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO5 | transport, freight, lorry 7.5-16 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, WC, Surface",351.330742,3.946852919,0.602682192,0.4,0,0,0.122652814,0.157545345,0.137311166,0.067451485,0.066811172,0.082420067,0,300.0909,0.871406204,0.140454994,1.80E-05,13.14293641,301.4412,303.1483,300.3567
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Gulf,natural gas extraction and processing - Permian,"coal extraction and processing - Lignite, LIG, Surface",324.4215905,4.039587753,0.601259276,0.5,0,0,0.119968629,0.163602574,0.117838083,0.067403699,0.074052811,0.107299874,0,314.8329,0.936575373,0.137438416,1.84E-05,11.91572996,315.9041,317.4281,314.9279
