elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 27.6 Mpa - national avg, A1-A3 total_cementitious","concrete, 27.6 Mpa - national avg, A1-A3 q_electricity","concrete, 27.6 Mpa - national avg, A1-A3 q_NG","concrete, 27.6 Mpa - national avg, A1-A3 percent_SCM_replacement","concrete, 27.6 Mpa - national avg, A1-A3 plc_boolean","concrete, 27.6 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Underground",344.30970072106084,3.6830243895240242,0.478887290756351,0.0,0.0,0.0,0.13315720229399955,0.1836980518995503,0.08970769973007012,0.06254996212547853,0.07097856313049972,0.09391261381503128,0.0,363.4052,1.006788969893067,0.14204217358763016,1.782759929346964e-05,12.351899757743675,366.5945,370.6228,364.6403
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Underground",326.3939188864081,4.911101499295249,0.727188238746715,0.1,0.0,0.0,0.10816164503176373,0.08857569464975543,0.102168808765754,0.06631073078438846,0.06971337792360835,0.10359392964022035,0.0,328.8697,0.9781639984443468,0.13841548716762772,1.7765060619908565e-05,12.607403882450614,331.9079,335.6788,330.0211
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Underground",326.2898560892548,4.375282924036972,1.7404206759229561,0.2,0.0,0.0,0.14231270011727576,0.12770602162317748,0.11776829444675296,0.05957387982075293,0.07601196460319348,0.10047284052689644,0.0,313.9837,1.010027054872604,0.14244446550695472,1.7856842720928952e-05,15.969163855527206,317.057,320.5827,315.0971
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Underground",368.57894976023397,4.469338206248532,-0.12316298008612514,0.1,0.0,0.0,0.07700643336220742,0.1015233381979162,0.10856375616222227,0.06893550193114503,0.05996476502749869,0.0929086805732588,0.0,336.217,0.8907510984228199,0.13616876338337675,1.7830045256268924e-05,9.319369601571179,339.0145,342.711,337.3107
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Underground",317.6195778886647,3.9356619163490465,1.3607947653548438,0.2,0.0,0.0,0.10222415771015622,0.1140739976866606,0.12038843169049733,0.068907836921009,0.0680901653131868,0.0923065764376709,0.0,290.8163,0.8971241259727455,0.13743297431086413,1.7585576505024453e-05,13.705097637899964,293.5222,296.6767,291.7931
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Underground",315.0206688813836,4.077002905466499,1.1345933805573871,0.5,0.0,0.0,0.15241375730910586,0.10752876064981454,0.1221328273336068,0.060659973235584724,0.05692670231886733,0.09403522468879635,0.0,205.0991,0.6646845413028931,0.11927556630555325,1.6071905075315708e-05,10.947493936548115,207.1015,209.3606,205.8015
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Underground",338.5620764994512,3.822099267212915,-0.07683207783201595,0.5,0.0,0.0,0.11267155616066049,0.11393463281351782,0.11083982510136933,0.06444043584166707,0.06540827000703009,0.10047618671712036,0.0,203.7379,0.5741193447007658,0.115254169785402,1.674358548160508e-05,6.57466950957805,205.5238,207.8426,204.4086
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Underground",337.7502500618328,3.7378791330022065,0.10108576526959678,0.5,0.0,0.0,0.11604119589007061,0.1533544700459493,0.11178408279612759,0.06384213887214037,0.07426672943615976,0.09128675005061455,0.0,202.3673,0.5663677389272007,0.11784341559385357,1.7087271619984077e-05,7.072998607710867,204.1111,206.3252,203.0097
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Underground",328.63839998130567,3.649410211657655,0.3967717145111886,0.1,0.0,0.0,0.14520478627600888,0.16664851599833252,0.11423216202181852,0.0756389653432383,0.06724082833667232,0.09050593999178733,0.0,320.4346,0.8774983467680526,0.13779064187046228,1.8117025879678398e-05,10.979745340652544,323.2101,326.7091,321.4989
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Gulf,Electricity; at user; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Underground",352.6594705702456,3.9822363415969195,0.956017107298259,0.1,0.0,0.0,0.10347601209287738,0.15747956588567466,0.12397207110108205,0.06413265552933892,0.06096841011534866,0.10756940789727232,0.0,356.228,1.0865793929603988,0.14368746572150287,1.8030027255243366e-05,14.245020463682472,359.5848,363.7216,357.4975
"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Strawn,Electricity; at user; consumption mix - South Carolina Public Service Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Southern Appalachia, BIT, Surface",326.6607499674207,4.377149301202779,-0.055893002888456556,0.3,0.0,0.0,0.135306469795246,0.15211080618671782,0.10698212821078958,0.06565182911588271,0.06722809245048303,0.07759688074479626,0.0,243.5736,0.6061901607889,0.11294734476791696,1.571470216540681e-05,7.006664446801556,244.5646,245.9548,243.7976
