elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 27.6 Mpa - national avg, A1-A3 total_cementitious","concrete, 27.6 Mpa - national avg, A1-A3 q_electricity","concrete, 27.6 Mpa - national avg, A1-A3 q_NG","concrete, 27.6 Mpa - national avg, A1-A3 percent_SCM_replacement","concrete, 27.6 Mpa - national avg, A1-A3 plc_boolean","concrete, 27.6 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Surface",308.93515136093504,4.522383377962832,2.753002305043482,0.3,0.0,0.0,0.09142804473155401,0.16415700267099637,0.13331162884960399,0.0705772307064001,0.08083156139771329,0.09626173050069657,0.0,268.988,0.9929449100917326,0.13508136418940406,1.6540538169320723e-05,18.515974661325906,270.5376,271.9856,269.2356
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Surface",286.9092128838972,3.854407567981091,1.7923495162534566,0.2,0.0,0.0,0.1175509757874266,0.1403614503255212,0.13947584656176953,0.06738657393106545,0.0659124159906704,0.093815127349133,0.0,267.959,0.9025696680877531,0.1269945338215998,1.585274304470739e-05,14.961409523301244,269.2696,270.6548,268.1581
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Surface",326.6767752132593,4.073638468330904,0.6847817287336739,0.1,0.0,0.0,0.17022721371752766,0.1199034946340487,0.11172911434808597,0.07689960364573628,0.05965276211162692,0.12643681310839766,0.0,351.1647,1.1471384259615949,0.1323074633992487,1.701764794305125e-05,14.173295677674323,352.3944,354.1241,351.2592
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Surface",318.24819806116705,3.6225046155790013,3.021133055368069,0.2,0.0,0.0,0.11627767177925265,0.17177693885452466,0.12418611701181084,0.06798538278000571,0.059927292874058465,0.0937431738162524,0.0,304.3096,1.1022434739438594,0.13867408747606647,1.6018501870762418e-05,20.37187896643881,306.0062,307.5893,304.5835
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Surface",327.50504096482246,4.230666427085949,0.522551403010734,0.3,0.0,0.0,0.09219071464270229,0.1510151917192859,0.10476099929796522,0.05176064391055707,0.06566493087455932,0.09857631270059167,0.0,249.0597,0.7619698604981777,0.11579990896543162,1.522973126525204e-05,9.897324958022056,249.9658,251.1851,249.1525
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Surface",341.0816971971265,3.353962869895778,0.0852300225167043,0.2,0.0,0.0,0.14616760848598473,0.11851378091328725,0.11926919821550222,0.06270980959597099,0.0626126053430812,0.09529312603755359,0.0,291.6025,0.8277090241568328,0.12134151392897145,1.6168152968417953e-05,9.559485758566842,292.5418,293.9307,291.7024
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Surface",333.53822410897175,3.880712293193378,1.1751607051634507,0.0,0.0,0.0,0.17035457427218986,0.13261734034196201,0.10529261093227675,0.06462853997133015,0.06421051564990775,0.09482818408132453,0.0,364.8244,1.1097001726145415,0.13731362936289068,1.6685076486235623e-05,15.497026596122167,366.23,367.9733,365.0145
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Surface",382.903214214502,4.605166705462694,0.20293489093584394,0.0,0.0,0.0,0.1077484850923,0.15442281260641663,0.10315995066073474,0.07085814468647673,0.06416889910812343,0.10183988647675249,0.0,390.7108,1.1317026048744863,0.13816597624979346,1.7293667623064808e-05,12.56750780345634,391.801,393.5279,390.7588
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Surface",300.035088276901,3.3941816969310494,0.8653102997993557,0.0,0.0,0.0,0.10669125141036796,0.12620254796466188,0.13320949812418809,0.06263732252583058,0.07698572709227891,0.08589896453356817,0.0,310.0475,0.9056044891585002,0.13005334056782997,1.647400765041236e-05,12.3779017918904,311.1768,312.6262,310.1859
Electricity; at user; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Green River,"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Surface",288.7748480926034,4.33486962810409,1.3512606536961826,0.2,0.0,0.0,0.1341734261483446,0.17421307053304483,0.1207448012350749,0.06910445085957032,0.0783033425653689,0.09334982357079927,0.0,268.0355,0.8638544748270798,0.12591459063313298,1.6258441271723147e-05,13.436414938644532,269.2557,270.6348,268.2187
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Seminole Electric Cooperative - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Permian,"coal extraction and processing - Central Appalachia, BIT, Processing",307.19916665905373,4.3926248069875085,1.006586333073483,0.0,1.0,0.0,0.15244372401854442,0.13141223091199883,0.1172122057694862,0.06793738772233833,0.06889574714443644,0.09180274580525677,0.0,310.8942,0.9343841543171241,0.1291509974856161,1.6233984526431265e-05,13.668812423731582,312.1323,313.6433,311.0652
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Seminole Electric Cooperative - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Permian,"coal extraction and processing - Central Appalachia, BIT, Processing",354.9990908687537,4.415478907734427,0.4770472897365666,0.2,0.0,0.0,0.15297287863730383,0.15777485809058162,0.10625422249724942,0.067832488764203,0.06494361625193495,0.10463858691871644,0.0,323.5994,0.9652666128681155,0.12829437412938524,1.6671549676630473e-05,12.398831577472167,324.7292,326.2899,323.7181
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Seminole Electric Cooperative - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Permian,"coal extraction and processing - Central Appalachia, BIT, Processing",363.08752098267115,3.99848972977246,0.8198714340132673,0.1,0.0,0.0,0.11974529332095743,0.1819731203430806,0.09367672405914557,0.07597559260299631,0.07182832361806353,0.09534597598366747,0.0,351.6316,1.0424774329010784,0.1367226353069055,1.7154637242063606e-05,14.138934760219994,352.864,354.4951,351.7594
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Seminole Electric Cooperative - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Permian,"coal extraction and processing - Central Appalachia, BIT, Processing",339.78507156994556,4.028905248926255,-0.013286924008254486,0.5,0.0,0.0,0.1281929768213598,0.07616437312047997,0.12098907899543766,0.06595700374212138,0.0647597779407049,0.10573492741512609,0.0,204.9649,0.6180496295651454,0.10919961178163688,1.567870548088202e-05,7.686703617372876,205.7158,206.7911,205.0458
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Seminole Electric Cooperative - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Permian,"coal extraction and processing - Central Appalachia, BIT, Processing",329.72035156612685,3.8979461966151097,1.7570095501765386,0.0,0.0,0.0,0.13702626724175004,0.14239882366100629,0.11637526454572948,0.07217230522874307,0.06485348122430191,0.0908168456899127,0.0,364.9665,1.1306520338254435,0.142024304635253,1.6876556393094875e-05,17.675948525608472,366.4949,368.2359,365.1805
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Seminole Electric Cooperative - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Permian,"coal extraction and processing - Central Appalachia, BIT, Processing",317.6290641552287,3.8475995121265143,-0.5063625030780597,0.2,0.0,0.0,0.13106393033038602,0.14727686486529007,0.11904662557919662,0.06646216056506206,0.06216051062514449,0.08709543233216795,0.0,263.3085,0.6731212108572533,0.11427725877224762,1.579378629646972e-05,6.842863036493627,264.0405,265.2643,263.3789
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Seminole Electric Cooperative - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Permian,"coal extraction and processing - Central Appalachia, BIT, Processing",335.6587141649455,4.176583411551637,-0.42065368684732063,0.2,0.0,0.0,0.11828536012211537,0.14786394025452376,0.12162058790701172,0.062221433956749894,0.06790484559819501,0.08964671433836278,0.0,277.195,0.7267542978688184,0.11784946940471272,1.613321782157942e-05,7.588944057105481,277.9618,279.2358,277.2571
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Seminole Electric Cooperative - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Permian,"coal extraction and processing - Central Appalachia, BIT, Processing",283.7011956470934,4.465069828125345,0.3548543148406098,0.3,0.0,0.0,0.12651241376147115,0.10264298553925733,0.11428039532135943,0.06574891762496139,0.06178516982349997,0.10271128582966249,0.0,231.8224,0.711181270184662,0.11263895076816181,1.5251260663755565e-05,9.503426862828126,232.7089,233.8895,231.9252
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Seminole Electric Cooperative - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Permian,"coal extraction and processing - Central Appalachia, BIT, Processing",350.91618813990175,3.9418751660990727,0.6079366293875899,0.4,0.0,0.0,0.1250414626561786,0.16828517054947498,0.11453581647473673,0.06179539218526601,0.07182007438626373,0.09847486307052095,0.0,246.3067,0.762998411462665,0.11927084782361297,1.611579255882989e-05,10.873024776814255,247.2975,248.5498,246.4306
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Anadarko,Electricity; at user; consumption mix - Seminole Electric Cooperative - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Permian,"coal extraction and processing - Central Appalachia, BIT, Processing",360.65125996833876,4.253711195734419,0.26628202846203364,0.0,0.0,0.0,0.15020084771075592,0.15540430548141024,0.09950676236742939,0.06576447627815048,0.07115365219990981,0.10304818568283518,0.0,392.015,1.121924688251835,0.13715277306636792,1.728580163115648e-05,13.279194960265741,393.2178,395.0139,392.1156
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Underground",325.40380726675903,4.959398962674811,1.1152107114585301,0.1,0.0,0.0,0.10092073137310457,0.14153235298437689,0.10646344217068246,0.06747919332854228,0.07174096083748721,0.0943451917511288,0.0,313.573,0.9555008551471227,0.13112474608651942,1.605788856259052e-05,13.675739557912584,315.7786,318.4393,314.2705
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Underground",377.6444856874573,3.9794936227743274,1.0705418309045291,0.0,0.0,0.0,0.11705111856891673,0.18364125985477603,0.09930723924920616,0.06604533438660723,0.0649430757652124,0.10247297788199475,0.0,397.6058,1.2063188348110856,0.14298603479851452,1.6609647555467296e-05,16.010051895511467,400.3623,403.814,398.5014
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Underground",358.5744865090996,3.7355879824121065,0.38514094194197707,0.2,0.0,0.0,0.13368737201697525,0.14125311625029324,0.1220912811960843,0.05969695642882608,0.06475980708124922,0.10059212479225266,0.0,308.3732,0.9012666278729742,0.1260398933684868,1.5987259926160583e-05,11.226107715665542,310.4589,313.1549,309.0589
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Underground",354.9378277153468,4.086255823025483,1.477705880642532,0.0,0.0,0.0,0.1508869996266025,0.15243649785960045,0.12708604762981102,0.06430298103996794,0.07316791138516002,0.10593776442836081,0.0,393.9378,1.2399836941289162,0.14595409685769206,1.7047727442378254e-05,17.687992468162765,396.8192,400.3059,394.8683
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Underground",338.18909806513415,4.386440565289392,2.036793852018893,0.4,0.0,0.0,0.13771136583381197,0.15567949382264046,0.12159139205260507,0.0715711624089764,0.07107937214563122,0.0938079010067781,0.0,252.0147,0.8720512530626048,0.12812934641417606,1.6017497785784166e-05,15.671781192241925,254.0915,256.2762,252.6349
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Underground",327.2027996190664,3.6559445647946864,1.626630089838951,0.0,0.0,0.0,0.13405226015579602,0.15190154082742457,0.11364732459512238,0.054322773288650476,0.06780898427225543,0.11823844094898411,0.0,376.3983,1.2546035012140864,0.14018538248834855,1.6125787212730365e-05,17.93987944451009,379.2765,382.7336,377.316
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Underground",312.95347461791414,4.148886105740637,-0.24917468041327961,0.0,0.0,0.0,0.12101068658471129,0.17695567260259276,0.11880458514506803,0.06986034887864717,0.058966865722574584,0.09976023244615043,0.0,320.2638,0.8761998797950195,0.12334287385861577,1.5782563802434666e-05,9.070191788677631,322.2678,325.0462,320.9442
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Underground",346.09877753277306,4.568888108624225,1.6867880174019594,0.1,0.0,0.0,0.10074889511536031,0.14664405040363485,0.08797025786337753,0.062004709889998844,0.05684174360567476,0.10770111811287875,0.0,346.2515,1.1407807703184902,0.13555653134142207,1.5569564046786958e-05,16.93029110982014,348.8608,351.9277,347.0691
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Underground",329.73096012101513,4.278645838755035,1.321884549041376,0.4,0.0,0.0,0.1452878439038413,0.16254532820895776,0.08762233997732866,0.06213248124426714,0.06463728601037196,0.09728445445620523,0.0,237.9571,0.7838048241018283,0.11901389906884316,1.509308952115502e-05,12.74701891940889,239.8217,241.9162,238.532
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Anadarko,natural gas extraction and processing - Appalachian,"coal extraction and processing - Import, BIT, Underground",307.583459009356,3.887486092323583,1.5155288994151825,0.3,0.0,0.0,0.14455147962196416,0.1397718879709484,0.10421256256833805,0.06635761260511978,0.06413217278820028,0.09656612347674258,0.0,255.2288,0.8423193692469566,0.12278247582038639,1.524209256871659e-05,13.84217355100824,257.2305,259.463,255.8462
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, WC, Surface",356.972576077023,4.451252203462215,0.9031392309909108,0.4,0.0,0.0,0.1380494409256805,0.16518229924457742,0.1183411610374534,0.059029359156595435,0.07204485212486202,0.08745531463666766,0.0,245.242,0.7452384837772323,0.1294993426418135,1.7186431025296717e-05,11.322770880162482,246.3884,247.778,245.4511
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Florida Power & Light Co. - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, WC, Surface",360.6965831864096,3.7172129390356305,0.7315535396947738,0.3,0.0,0.0,0.08915263979378191,0.1701259860258444,0.12149017033950157,0.07412155966479643,0.057340929527088275,0.09137405720861856,0.0,272.015,0.8134521493296459,0.1328863726266726,1.7427084307880583e-05,11.24678658488906,273.1132,274.5537,272.1761
