elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 34.5 Mpa - national avg, A1-A3 total_cementitious","concrete, 34.5 Mpa - national avg, A1-A3 q_electricity","concrete, 34.5 Mpa - national avg, A1-A3 q_NG","concrete, 34.5 Mpa - national avg, A1-A3 percent_SCM_replacement","concrete, 34.5 Mpa - national avg, A1-A3 plc_boolean","concrete, 34.5 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",458.2013091,3.847773708,0.14488067,0.1,1,0,0.171188586,0.103839955,0.12152764,0.06803596,0.064803562,0.113006649,0,358.0689,1.103046159,0.133874048,1.75E-05,12.63412055,359.2166,361.0099,358.1589
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",409.3147805,4.166540264,0.832225744,0.2,0,0,0.112563817,0.135599254,0.106951701,0.07205261,0.065815275,0.095829602,0,344.3828,1.05068739,0.13531487,1.70E-05,14.19881357,345.6894,347.4271,344.5557
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",441.7713742,3.981154526,-0.554324318,0.2,0,0,0.093355223,0.129683755,0.113391515,0.069525936,0.054208977,0.106254802,0,356.5917,1.014757612,0.12890113,1.70E-05,9.694265918,357.4976,359.1744,356.6192
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",430.2259208,4.352112606,1.970905657,0.4,0,0,0.144403078,0.142141666,0.101525559,0.068467212,0.063090504,0.114787002,0,398.5453,1.367456173,0.147641042,1.74E-05,20.32608146,400.3239,402.4558,398.7928
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",494.9275625,4.528054919,-0.123136163,0.1,0,0,0.167821256,0.170824261,0.11109297,0.061002164,0.062017922,0.096407629,0,406.8649,1.132053323,0.14000215,1.78E-05,12.44318333,408.219,410.3155,407.0703
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",435.2253972,3.923327266,2.220457,0,0,0,0.114119387,0.123893168,0.111064063,0.07113488,0.069364911,0.100476074,0,386.2065,1.299171452,0.150003402,1.77E-05,20.51348503,387.9645,389.962,386.4603
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",349.4940542,3.83749273,-0.381829328,0.3,0,0,0.151698454,0.172999166,0.087444759,0.062413883,0.060363353,0.094798588,0,287.8751,0.78814042,0.115639363,1.55E-05,8.16251305,288.8117,290.3171,288.0132
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",431.3615414,4.140591482,1.743243792,0.2,0,0,0.103527958,0.140097074,0.114745152,0.059357648,0.071057988,0.092039197,0,365.6044,1.167896187,0.143864455,1.72E-05,17.91630697,367.173,369.0161,365.8326
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",434.9783995,3.965389339,1.080862087,0.3,0,0,0.146163889,0.120758953,0.118353697,0.069027365,0.068362808,0.113031091,0,391.5434,1.269154227,0.14381549,1.79E-05,16.95623786,393.0872,395.1484,391.74
Electricity; at user; consumption mix - California Independent System Operator - BA,natural gas extraction and processing - Anadarko,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Fort Worth,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",404.0106964,3.36646804,0.072932087,0.3,0,0,0.160567669,0.100676977,0.119966102,0.069535585,0.060422642,0.094342074,0,337.7882,0.958098157,0.129417481,1.69E-05,11.26423699,338.993,340.7649,337.978
"Electricity; at user; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Bonneville Power Administration - BA,"market for transport, freight, lorry 7.5-16 metric ton, EURO6 | transport, freight, lorry 7.5-16 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - San Juan,natural gas extraction and processing - Permian,"coal extraction and processing - Central Appalachia, BIT, Processing",457.9817369,4.530749986,0.406345724,0.1,0,0,0.142773854,0.140497762,0.119485262,0.065915271,0.067718794,0.082491766,0,352.1233,0.955487555,0.145347012,1.89E-05,11.4076246,353.1079,354.6169,352.1726
