elec120V_readymix_plant,natgas_readymix_plant,electricity_120V,trans_truck,natgas_clinker,naturalgas,coal,"concrete, 34.5 Mpa - national avg, A1-A3 total_cementitious","concrete, 34.5 Mpa - national avg, A1-A3 q_electricity","concrete, 34.5 Mpa - national avg, A1-A3 q_NG","concrete, 34.5 Mpa - national avg, A1-A3 percent_SCM_replacement","concrete, 34.5 Mpa - national avg, A1-A3 plc_boolean","concrete, 34.5 Mpa - national avg, A1-A3 msw",Portland cement q_electricity,Portland limestone cement production q_electricity,market for Portland cement t_km,market for sand t_km,"market for gravel, crushed t_km",clinker production - North American q_coal,"A5, construction d_vol",gwp,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Rocky Mountain, BIT, Underground",366.79545133949466,3.584085016119665,-0.008724207413744023,0.2,0.0,0.0,0.10968865590653222,0.1532768865754697,0.11154476103129903,0.06469178034241438,0.07092440799934575,0.08922995589312979,0.0,290.6894,0.778085469202567,0.11123993779681406,1.0151754263417739e-05,8.393934849161353,291.6747,293.6731,291.0982
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Rocky Mountain, BIT, Underground",395.66148462033345,4.025188562225421,0.5315482207243254,0.2,0.0,0.0,0.18203568125843245,0.15206931522399186,0.10631137801372326,0.05810366662986017,0.05234320412530175,0.09304928946556541,0.0,330.3833,0.9346208432179879,0.11637736404380097,9.83033406958248e-06,11.551956219006025,331.6117,334.171,330.9332
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Rocky Mountain, BIT, Underground",446.9198490813156,3.824749924632854,0.6150547612047099,0.1,0.0,0.0,0.16110820099883627,0.1640101986163535,0.11855445616828096,0.06788947253580924,0.06227458770422127,0.0984032860623747,0.0,414.7307,1.1855794115345035,0.13198372059127042,1.1604064573985198e-05,14.113001853010733,416.1444,419.2985,415.348
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Rocky Mountain, BIT, Underground",417.2697999889784,4.506680643899177,0.041166874349837346,0.2,0.0,0.0,0.10462558890421547,0.11002976521828148,0.12650367601622958,0.06505546414897569,0.07968271503803279,0.08692910511274189,0.0,325.9313,0.862133011907462,0.11955941433506626,1.1245140359382398e-05,9.403081748848717,327.0043,329.2101,326.3749
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Rocky Mountain, BIT, Underground",403.27820357480147,4.48252844602172,0.9621142366643034,0.0,0.0,0.0,0.12172087703851053,0.13836579402180144,0.09701475757823046,0.05179850012825335,0.06511911657080086,0.10526090754690341,0.0,415.1632,1.254177406875984,0.12989247514837493,1.0540518375200328e-05,15.445277301026497,416.5704,419.6677,415.7285
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Rocky Mountain, BIT, Underground",416.1363746474972,4.118304736099505,1.1749095233175333,0.5,0.0,0.0,0.16439639408261744,0.15444554106048325,0.11134518040934231,0.06944027396616109,0.061568534576224604,0.10654350752176511,0.0,252.0717,0.8286650682773289,0.11339684861038526,1.027348379260543e-05,12.41785284996333,253.2687,255.301,252.5433
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Rocky Mountain, BIT, Underground",458.28672304876306,3.7390622877995936,1.0275605942032557,0.5,0.0,0.0,0.12912126301513652,0.125707151858931,0.1146048279592399,0.07205408945520432,0.06682745449649455,0.09458428833025345,0.0,259.3923,0.8069923028458331,0.11622633297765825,1.0856831598223936e-05,11.845067123769745,260.5623,262.5116,259.8466
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Rocky Mountain, BIT, Underground",396.2800207911067,4.305651990398851,0.9659226459089947,0.2,0.0,0.0,0.1421784707356107,0.13861983564095956,0.14279137916789375,0.07055327522792505,0.06229153696966649,0.09181095029022637,0.0,332.9416,0.9757200174920729,0.12366870363517997,1.0949192874738795e-05,13.149349238565152,334.2411,336.7256,333.4783
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Rocky Mountain, BIT, Underground",412.30984355707955,4.498645753126171,1.1357284581297336,0.1,0.0,0.0,0.10834571949973693,0.13067018356676025,0.11019684358110539,0.06287355982633425,0.058694872628344184,0.09150313425023567,0.0,371.8075,1.090703329022352,0.1273767090120473,1.050556882401522e-05,14.551446908223634,373.16,375.8166,372.3442
Electricity; at user; consumption mix - PacifiCorp West - BA,natural gas extraction and processing - Appalachian,"Electricity; at user; consumption mix - PJM Interconnection, LLC - BA","market for transport, freight, lorry 16-32 metric ton, EURO6 | transport, freight, lorry 16-32 metric ton, EURO6 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Rocky Mountain, BIT, Underground",420.1231076866856,4.2196053925138735,0.6049689427414087,0.0,0.0,0.0,0.1731302485946044,0.15769399579011834,0.11163261828345147,0.06477510941970717,0.06652810675440353,0.08468992782075772,0.0,414.7841,1.1108002347151484,0.13123887029789782,1.1214158180529313e-05,13.50447029730069,416.2085,419.3068,415.4394
"Electricity; at user; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at user; consumption mix - Tennessee Valley Authority - BA,"market for transport, freight, lorry 16-32 metric ton, EURO5 | transport, freight, lorry 16-32 metric ton, EURO5 | Cutoff, U",natural gas extraction and processing - Appalachian,natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Processing",364.9287549071118,3.9532900562897626,0.37011304866881933,0.0,1.0,0.0,0.15940620358179788,0.07693022296817341,0.1130881290503202,0.05852699175159044,0.06457194407833416,0.10266106842501406,0.0,330.7913,0.9966391743194765,0.11799361151438138,1.0089298409242294e-05,11.904803870822048,331.6496,333.1388,330.9325
