electricity_120V,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_IPCC,gwp_EF2,gwp_CML
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",0.7428,0.0,0.0,0.0019087557046260876,8.764659841534142e-05,1.571815331003595e-08,0.03580702688764816,0.7465,0.7553,0.7454
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",0.7428,0.0,0.0,0.0019087557046260876,8.764659841534142e-05,1.571815331003595e-08,0.03580702688764816,0.7465,0.7553,0.7454
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",0.7428,0.0,0.0,0.0019087557046260876,8.764659841534142e-05,1.571815331003595e-08,0.03580702688764816,0.7465,0.7553,0.7454
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",0.7428,0.0,0.0,0.0019087557046260876,8.764659841534142e-05,1.571815331003595e-08,0.03580702688764816,0.7465,0.7553,0.7454
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",0.7428,0.0,0.0,0.0019087557046260876,8.764659841534142e-05,1.571815331003595e-08,0.03580702688764816,0.7465,0.7553,0.7454
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",0.7428,0.0,0.0,0.0019087557046260876,8.764659841534142e-05,1.571815331003595e-08,0.03580702688764816,0.7465,0.7553,0.7454
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",0.7428,0.0,0.0,0.0019087557046260876,8.764659841534142e-05,1.571815331003595e-08,0.03580702688764816,0.7465,0.7553,0.7454
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",0.7428,0.0,0.0,0.0019087557046260876,8.764659841534142e-05,1.571815331003595e-08,0.03580702688764816,0.7465,0.7553,0.7454
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",0.7428,0.0,0.0,0.0019087557046260876,8.764659841534142e-05,1.571815331003595e-08,0.03580702688764816,0.7465,0.7553,0.7454
"Electricity; at user; consumption mix - Midcontinent Independent System Operator, Inc. - BA",0.7428,0.0,0.0,0.0019087557046260876,8.764659841534142e-05,1.571815331003595e-08,0.03580702688764816,0.7465,0.7553,0.7454
