providers_electricity,providers_heat,providers_billet_steel,providers_iron_forEAF,providers_naturalgas,providers_iron_forBOF,providers_coal,"fabrication, rebar wf","fabrication, rebar elec","hot rolling, billets elec","hot rolling, billets wf","steel production, EAF scrap_pct","steel production, EAF wf","steel production, EAF kWh_EAF","steel production, BOF scrap_pct","steel production, BOF wf","iron production, blast furnace co2_kg",gwp,ap,ep,odp,pocp
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Strawn,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Underground",0.075998649,0.074947939,0.135928444,0,0.978024244,0.03688486,0.490993942,0.155558407,0.086589674,0.825904452,0.9588,0.002534604,0.001041943,2.16E-08,0.05399954
Electricity; at grid; generation mix - Tennessee Valley Authority,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - West/Northwest, WC, Surface",0.08231167,0.07753225,0.134921649,0,0.961872517,0.035259054,0.430805221,0.15567156,0.076243269,0.776524346,0.9052,0.002446059,0.001037781,2.11E-08,0.054261011
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Lignite, LIG, Surface",0.073336337,0.075231968,0.148213199,0,0.974827746,0.046914689,0.499147856,0.147331389,0.081151995,0.77785701,1.1478,0.003268658,0.001077538,2.96E-08,0.069012991
Electricity; at grid; generation mix - Duke Energy Progress East,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Green River,"iron production, blast furnace","coal extraction and processing - West/Northwest, WC, Surface",0.064005381,0.077569172,0.142907055,0,0.970579131,0.017696317,0.561897997,0.150612091,0.088314496,0.806889462,0.8878,0.002373418,0.001039416,2.30E-08,0.053888174
"Electricity; at grid; generation mix - Puget Sound Energy, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Surface",0.083511479,0.07351074,0.143028425,0,0.974600548,0.024925743,0.585264875,0.146539263,0.064219329,1.011038682,0.9605,0.002528629,0.001096034,1.65E-08,0.068047467
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, SUB, Surface",0.076071261,0.075124207,0.155763294,0,0.961962307,0.039761925,0.507601445,0.139615483,0.065830543,0.938411655,1.029,0.003082876,0.001075713,2.15E-08,0.072994718
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Underground",0.060758333,0.075996241,0.143356142,0,0.969424294,0.035060834,0.495052449,0.145788232,0.09337032,0.909869194,0.9689,0.002578593,0.001039073,2.19E-08,0.053928086
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Uinta,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Surface",0.067014984,0.075894086,0.150080334,0,0.979243968,0.029426833,0.498112318,0.142623976,0.11750875,0.892594727,0.9723,0.002527077,0.001032707,2.16E-08,0.053529886
Electricity; at grid; generation mix - Duke Energy Carolinas,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - Lignite, LIG, Surface",0.050586307,0.075789526,0.161346812,0,0.974688989,0.012732391,0.576302772,0.15127514,0.053379182,1.007659663,0.8276,0.002128932,0.001016274,1.99E-08,0.049411782
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, SUB, Surface",0.066847454,0.076011257,0.158121688,0,0.972361755,0.026027576,0.47471914,0.160273496,0.14447171,0.794887131,1.0071,0.003081212,0.001073636,2.19E-08,0.072342636
Electricity; at grid; generation mix - ISO-NE,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Anadarko,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Processing",0.067042442,0.076153003,0.13314389,0,0.961487591,0.035927361,0.654978072,0.149687679,0.142394481,0.781454479,0.9708,0.002461327,0.001067934,2.38E-08,0.060962091
