elec_steel_fab,elec_steel_rolling,steel_bloom,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, heavy sections.wf","fabrication, heavy sections.elec","fabrication, heavy sections.trans_co2","rolling, bloom.elec","rolling, bloom.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,zinc production.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - West/Northwest, BIT, Underground",0.05379257667871096,0.18653888700706522,0.05786615595796653,0.03378213140223266,0.8045901727517248,0.8751268189994316,0.043235770272232,0.5757147586181386,0.010012507634765883,0.49282403412619924,0.12326228467958998,10.00633207339454,1.2883767830976338,0.009734821169030709,0.047801382742602115,0.15761837699470502,0.06936261089856802,0.08456583728089392,0.0709175891669676,1.374785957002098,0.1313266130820366,0.3875810221381194,1.6190554957889884,0.9389,0.0,0.0,0.0013035823103754297,0.00011351740837333969,1.4240683785954424e-08,0.033081646230059325,0.9437,0.9573,0.9431,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - West/Northwest, BIT, Underground",0.024254870069278754,0.16664348728246173,0.05824617961673449,0.040867913571995935,0.8670522717633566,0.8810320846377819,0.03839906541857487,0.46603431452014543,0.010463001648749623,0.5048508379499617,0.12088033455746915,9.405930100569146,1.2382945212084613,0.009836951601120119,0.02596862438080349,0.15609112231013986,0.07860881034217729,0.0758534353630862,0.056382567532322604,1.1227076965008478,0.11934804414280309,0.4079455960828089,1.3130235326437032,0.8161,0.0,0.0,0.0011546226591799397,0.00010326044777775908,1.2995479821402753e-08,0.029324171038248942,0.8203,0.8325,0.8198,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - West/Northwest, BIT, Underground",0.051891121115317185,0.17861720823332014,0.044731633915660936,0.04146156175292197,0.8943500673982037,0.8724979793162929,0.024370498949370746,0.40290532413634406,0.010135321191073934,0.4858626330474299,0.11897863928434349,9.690084197160843,1.294937866028726,0.009767534620425717,0.022790848288875464,0.15629342997780413,0.13997052704086943,0.05397185236529026,0.051932086858033716,1.1256829806416369,0.11617800127059633,0.3688275306563641,2.4776237146049085,0.8062,0.0,0.0,0.0011548219706111116,0.00010410085722797747,1.3002957348014971e-08,0.029244900674756297,0.8105,0.8225,0.8099,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - West/Northwest, BIT, Underground",0.04902479450288254,0.19035451525901068,0.054307516216901094,0.03793756129385206,0.9225948184289334,0.8446265545399589,0.03798286696009149,0.4740533497256905,0.009542059261223496,0.5280875229009994,0.11963325937514736,9.862243828791687,1.2520538386082811,0.009991289510962438,0.046263125233567196,0.14893826257072973,0.12073674595950291,0.0833434891481519,0.08333541193956516,1.3690190418766588,0.10810597047697953,0.4836042458718198,1.548837572227138,0.9784,0.0,0.0,0.0012715317154292157,0.00011210292883964691,1.3725433570164917e-08,0.03221297320125643,0.983,0.9962,0.9825,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - West/Northwest, BIT, Underground",0.04203820985290364,0.21832315358742305,0.05819016269999969,0.0419335426973275,1.044952710860021,0.8600337108803009,0.020864038461417052,0.5348975988800856,0.010023738626146014,0.5103480801428599,0.12316292601939903,10.296558118803626,1.2696485636897552,0.01039802111050743,0.04581104149609227,0.14483673272604294,0.13074898996757767,0.05348511692938568,0.11372346489088105,0.9422886391754993,0.11514355092390367,0.35568453157435653,2.107733289665134,0.9127,0.0,0.0,0.0013743186484993727,0.00011740626781412199,1.4222031194314407e-08,0.034921542469000616,0.9177,0.932,0.9171,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - West/Northwest, BIT, Underground",0.06360956259253164,0.15884931696443527,0.04406094601427665,0.04356324490601608,0.8539225087137245,0.8726789551055525,0.029942057666690503,0.5165999242497364,0.010049366076937757,0.5298578709645096,0.11667576097186369,9.432290259327868,1.2712113107463965,0.010042873729863644,0.02896180317529968,0.15422869730237915,0.08157386349621973,0.0839644605280089,0.11348889333957302,1.0242198743049165,0.11429339139718026,0.43534611209014495,1.7451053314931797,0.8571,0.0,0.0,0.0012392052950506566,0.00011019048458281685,1.3862487605671921e-08,0.03154120412627582,0.8617,0.8748,0.8611,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - West/Northwest, BIT, Underground",0.06187929754033958,0.2162825728757212,0.0425236988052688,0.038175564827111805,0.8602984127649921,0.8581478865423838,0.044366357026150244,0.47145321320699896,0.010380870802485542,0.5211537040602829,0.12577643057717802,9.860875070660143,1.2921354623253596,0.009674578435811047,0.025439875881866126,0.1618100497142908,0.06604940752532418,0.05684886311359761,0.06785182071240549,0.9786676274511336,0.1375369339431254,0.27864929528314986,1.7756558754945049,0.8617,0.0,0.0,0.0013013739880941087,0.00011351495933165571,1.3957075471724609e-08,0.03282220635768883,0.8664,0.8796,0.8658,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - West/Northwest, BIT, Underground",0.06273430577501582,0.1875099484661008,0.045183944917592984,0.04053631791647789,0.8862443200312111,0.8839926499300043,0.03547354978517045,0.4598315008357788,0.010290601599158745,0.4988537263874258,0.1156790575270182,9.755777059032459,1.3535894861220386,0.010486550412506648,0.02184013528837412,0.14787342568840092,0.1241937584021767,0.09641652121027901,0.07566624291993923,0.9903286635833255,0.11207667980014914,0.2971582657232661,1.06271331121011,0.8006,0.0,0.0,0.0012216441281697502,0.00010820802344879319,1.3544179000184909e-08,0.030971303348728475,0.8051,0.8179,0.8046,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - West/Northwest, BIT, Underground",0.022008012117360146,0.1730960590193984,0.04822462746520798,0.04015666435937962,0.8236555889269599,0.8712236068169679,0.030443507687047282,0.48117740163965006,0.010087285817835592,0.5251233121760286,0.11625164091565228,10.340923365909752,1.2988814277056377,0.009827632631471472,0.029149409697937598,0.14922276862518197,0.10968979122502014,0.06461153599314648,0.08187225751947394,1.123755517946014,0.1464917581859468,0.3403242546622054,2.3007790614187438,0.8234,0.0,0.0,0.0011850429375544259,0.00010516718253121412,1.3186762481347778e-08,0.03001107266417668,0.8277,0.8401,0.8272,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - West/Northwest, BIT, Underground",0.0614066904258546,0.19274013239385362,0.053139510615353706,0.0395513038226318,0.9539580428384805,0.8958730081707628,0.03833275171341493,0.5054286463445641,0.009766417031289366,0.5243731254126205,0.11979050709908622,9.863512616977925,1.2354032535943618,0.009882135090995364,0.040063186567613,0.1550469120744825,0.14977618255958303,0.09153440785427518,0.04669661516109885,1.0174489795213801,0.1267577641456977,0.4121392211386139,1.2926375110239685,0.8337,0.0,0.0,0.0012589592930628876,0.00011025841466509576,1.3786531995703277e-08,0.032059444789141855,0.8383,0.8516,0.8378,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tampa Electric Company - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Gulf,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, LIG, Surface",0.05821022692070698,0.21247061355922556,0.04934324332916128,0.033135927013383366,0.9988841974564218,0.8276383555811221,0.019521923473864784,0.49188714861260574,0.009624501335102046,0.48289825078071125,0.11775094463103135,9.47485028687204,1.2738028741264558,0.01003844129852328,0.03828372120662071,0.14913769827763446,0.11758917692685412,0.09406286852390752,0.061785536140450986,1.1332395884119821,0.10840268837805944,0.29370898477851154,1.4783108110209509,0.9911,0.0,0.0,0.002092344985779015,0.00014845909180844462,1.54566175793266e-08,0.05064594146365665,0.9975,1.0149,0.9965,mca
