elec_steel_fab,elec_steel_rolling,steel_bloom,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, heavy sections.wf","fabrication, heavy sections.elec","fabrication, heavy sections.trans_co2","rolling, bloom.elec","rolling, bloom.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,zinc production.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.016542650521259993,0.19521658802236286,0.0582875054864422,0.038014042104732235,0.7912075648234493,0.8716196811661491,0.026429279559459527,0.6354490743144123,0.010378824731005022,0.5141691733112096,0.12069123949155772,10.146809921905435,1.290679018329929,0.00952835591779365,0.04303663546857289,0.15240434356117866,0.07530498999043504,0.09177232384512424,0.058700216359070294,1.0182946697365263,0.11059145065202144,0.45859124344414487,1.834009507596382,1.0838,0.0,0.0,0.0019835181982347737,0.00014801298591071702,1.9247054550059928e-08,0.045997667292502424,1.0988,1.1137,1.0953,mca
Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.038799265408918156,0.17965241497812987,0.0489487725972893,0.03500420353746012,0.9134108618146177,0.8772754852122006,0.030558559190670208,0.49578119007101534,0.010064351379688639,0.5149910713268085,0.12063571553238593,9.695611517749887,1.3430302162079313,0.009986841250187128,0.03987083787030278,0.15352386987271666,0.05302222110350561,0.036237268110143744,0.07092116795485132,1.1053631972824787,0.11141369512058291,0.2866063540931693,1.2042261233267435,0.9822,0.0,0.0,0.001761852429042449,0.0001374502951343118,1.8420407507177825e-08,0.041040997938686506,0.9962,1.0103,0.993,mca
Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.06650517194123287,0.2220049227714347,0.04179951650408346,0.04261246986903503,0.9318556384771873,0.8515008887836174,0.04852771891267213,0.5256442130483419,0.01022288455541292,0.528788288137679,0.12015028808630673,9.433456486380038,1.3628249115461626,0.009748657339554979,0.034783172766464796,0.14922285630372495,0.14686379693317686,0.08976320765026394,0.04245156493702679,1.0328347171520686,0.12871222912311764,0.24391045603939518,1.584529580501668,1.081,0.0,0.0,0.001938810849936955,0.0001491351637929081,1.9653159927366632e-08,0.04521659430905289,1.0971,1.1133,1.0935,mca
Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.07065360839665559,0.1659630889032582,0.04891452796877498,0.04129094142287426,0.9473303875166229,0.7894193740196016,0.04674321602015916,0.4368861715485865,0.009658637094103696,0.5193562721142759,0.12208818476621108,9.729877816151648,1.3328292167469624,0.010090086011255998,0.02638380456268905,0.15457102891273145,0.06881364988300734,0.07106324267608807,0.06716216749801598,0.8364884731416723,0.13011402929362575,0.4219426098805956,1.8645417556621648,1.1335,0.0,0.0,0.0018087288883087593,0.0001449329963199908,1.9096042991925144e-08,0.04201073713646869,1.1513,1.1697,1.1477,mca
Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.03716973936612714,0.21348810975750288,0.05741053456531087,0.03747478143208251,0.8717988302734998,0.8672549321089277,0.03936401782801288,0.4289577705114872,0.010279056452689101,0.4872627705398308,0.12490744181224497,9.525826804322243,1.3333267329231324,0.009524842570438582,0.026198232306144993,0.15359670929643807,0.12551125730197366,0.031703524502244756,0.060929937092490116,1.4091893394394825,0.14155943337098856,0.3838168236485928,2.0641947697276555,1.0419,0.0,0.0,0.0016735439299328085,0.00013324672618137822,1.8183518087345248e-08,0.0390671243169787,1.0559,1.07,1.0528,mca
Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.06080116751935865,0.19853761046580404,0.04312121261409168,0.03427301594992927,0.8898245752636826,0.8208293831373344,0.0176079020870078,0.5330151985149072,0.009676330349291079,0.5043355468761344,0.1240298847726396,9.795946196473144,1.2993326417668052,0.010174613811918627,0.03518070677391578,0.15034258088793406,0.11453920435672416,0.09667911233934798,0.06871826388942522,1.1830123198570053,0.11917661520960088,0.3607357417079502,1.881805405818344,1.1666,0.0,0.0,0.0019354699884607115,0.00014971199510873043,1.9512979018914607e-08,0.045048571321768746,1.1835,1.2008,1.1799,mca
Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.047413855623559216,0.1871857736652974,0.05649677042828999,0.04294693701024973,0.8174751989480339,0.8497481109598695,0.04838791897062673,0.5967140071844683,0.010159499108982737,0.48796105146017227,0.12120308849360302,9.935592879953091,1.3476385450845534,0.010012394630290725,0.037904052151376294,0.148692310222864,0.0865501709614929,0.07280322939067164,0.07332876739691256,1.2110784035890383,0.12081885537922471,0.41586139010826684,1.7130461064006242,1.1669,0.0,0.0,0.002003391133680995,0.0001513687927838723,1.9691494753271975e-08,0.04640206125224129,1.1831,1.1993,1.1795,mca
Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.0682127926793934,0.22381192343269016,0.047615462445347534,0.039167675094731735,0.7789177866906367,0.8631479278034317,0.034906798456273154,0.5593131923974006,0.010284649061151827,0.49757235835487823,0.12494294359361557,9.790412758764724,1.3221743165217366,0.009608999591864202,0.031152306722151517,0.15949491820630893,0.05640624758264634,0.08523970422318047,0.09943207617912496,0.8676850148833023,0.11197945964084804,0.22369554058744417,1.1993685169085797,1.0436,0.0,0.0,0.001970740273761951,0.00015015094886749244,1.9821493200273778e-08,0.04578786069552302,1.0592,1.0749,1.0557,mca
Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.053783674651633036,0.1729340765432376,0.0413979616829506,0.04177075706812287,0.9206569790568564,0.8342005667663155,0.013348475313941602,0.4680039253450543,0.009943121445800781,0.48639609816110313,0.11596800360856696,10.220885804084503,1.3208918686841045,0.010334586070447464,0.039672234634050396,0.156195779552693,0.08658744394940938,0.07770167976831704,0.06886680900163067,1.3893095859955118,0.11953012792366693,0.46935593173097884,2.131740775617774,1.1402,0.0,0.0,0.0017869180569203744,0.00014092848692333408,1.8778686048236377e-08,0.041523414370292666,1.1559,1.1718,1.1525,mca
Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Green River,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Import, BIT, Underground",0.04335358056059989,0.2079708773521997,0.0522523381030526,0.03675460700981255,0.835497061552086,0.8074602449725716,0.04946077713079643,0.6272822901225488,0.009960619351978858,0.49423865495830904,0.12207373670401322,9.518264346687639,1.2492093422423187,0.010323266088662346,0.025815234824618567,0.14291816140354513,0.08460127664133006,0.052597697697443005,0.0671595514428224,1.3364403625814631,0.11112564835299449,0.2898737400137901,1.7148824347379765,1.2784,0.0,0.0,0.002104783137550237,0.00015842243841180425,2.0138786901786653e-08,0.04887136538979176,1.2966,1.3152,1.2928,mca
Electricity; at grid; consumption mix - Duke Energy Progress East - BA,Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - South Carolina Public Service Authority - BA,"coal extraction and processing - Illinois Basin, BIT, Underground",0.06260823828777416,0.18610392136920648,0.04472897394642859,0.03476360430304198,0.9427435221258285,0.8662546223625945,0.04023854464571209,0.5113618158408678,0.009768176775094338,0.4903439571968767,0.12349995164906595,10.294592171293447,1.2525621421876119,0.010208719142996689,0.01864479825255522,0.15645823577161572,0.14111348708823204,0.09347209249858701,0.07058491752885443,1.0064613061969312,0.12060274584926745,0.3146806352870909,1.8526247353480416,0.8042,0.0,0.0,0.0012694920129471654,0.00012124729421532612,1.8662468355145227e-08,0.033546307190859936,0.8137,0.8234,0.8114,mca
Electricity; at grid; consumption mix - Duke Energy Progress East - BA,Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - South Carolina Public Service Authority - BA,"coal extraction and processing - Illinois Basin, BIT, Underground",0.07784931709816773,0.20965029316678588,0.05182881307758261,0.03689146178457262,0.730072153869893,0.8639790217351421,0.02352635310999459,0.47386910899785306,0.009651547794918799,0.5058424246540517,0.11647449774245738,10.358163725446385,1.251522299699542,0.010416897046572495,0.025684670439609356,0.1489961554464075,0.0773722843275733,0.04572222171060543,0.06610792637743605,1.1235036144685866,0.12725039612943456,0.5237676791576161,1.86141216374037,0.7957,0.0,0.0,0.0012443337356114117,0.00011996132717733327,1.879838428973496e-08,0.032480690572647984,0.8048,0.8142,0.8026,mca
Electricity; at grid; consumption mix - Duke Energy Progress East - BA,Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - South Carolina Public Service Authority - BA,"coal extraction and processing - Illinois Basin, BIT, Underground",0.023588823396627843,0.16471228659072265,0.045701190920665595,0.03824724283934599,0.9834265876317123,0.883618702301408,0.03883113142135546,0.49442242157224764,0.0098117436055866,0.5108313508929179,0.11471976086489809,9.789778490753857,1.3529414893780363,0.010403129127016797,0.03582198664243903,0.1482676592908956,0.07048291385105426,0.09229878245971715,0.042849645736389635,1.0017871827897837,0.13782249335997415,0.33467201791100837,1.7238024082687424,0.7552,0.0,0.0,0.0011782409222974017,0.0001134460522454747,1.77427414164042e-08,0.031006390060492668,0.764,0.7731,0.7619,mca
Electricity; at grid; consumption mix - Duke Energy Progress East - BA,Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - South Carolina Public Service Authority - BA,"coal extraction and processing - Illinois Basin, BIT, Underground",0.07601412645352466,0.19218000685072434,0.05563521771620278,0.0397748295358267,0.8173358026140766,0.8257358360667748,0.027906109492951733,0.5548739558280584,0.00972266184606438,0.5114509424449573,0.11853908992486711,10.097677640737837,1.289192831423996,0.010389744887642874,0.050127627421409936,0.1515304885834474,0.12373383693956029,0.06924356620709719,0.056590346642977976,0.866366645487309,0.1301883147017343,0.2653851105137614,1.766657519272432,0.878,0.0,0.0,0.001367385052303604,0.0001292106089519834,1.941957517807283e-08,0.036262659886385454,0.888,0.8984,0.8857,mca
Electricity; at grid; consumption mix - Duke Energy Progress East - BA,Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - South Carolina Public Service Authority - BA,"coal extraction and processing - Illinois Basin, BIT, Underground",0.0714341508870934,0.17139391845514618,0.058507477169329206,0.03477586594455574,0.8754464661710364,0.8773516941072893,0.03801075817067885,0.586608997511325,0.01010761619818582,0.5168721708333432,0.1216961689032316,9.550404973004246,1.3460221222847415,0.00960268786455042,0.02441144213178343,0.1486196503232641,0.05387738623109051,0.056342498570816975,0.10130427019970115,1.1039327795388947,0.15260392067322764,0.2574521900171514,2.008800030579002,0.8503,0.0,0.0,0.0013074913031962897,0.00012356280586977894,1.929486266404967e-08,0.034539040486753055,0.8599,0.8699,0.8576,mca
Electricity; at grid; consumption mix - Duke Energy Progress East - BA,Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - South Carolina Public Service Authority - BA,"coal extraction and processing - Illinois Basin, BIT, Underground",0.03316203319172372,0.16555178432434725,0.04774881007640933,0.03388507408839828,0.8557174880332075,0.8763445721352375,0.021497495701608398,0.5079658974514114,0.009971163199429464,0.5298299967115858,0.11990692364156384,9.49463773272123,1.2624318377562997,0.01038425644462743,0.0353319367451195,0.14877532337125685,0.06448290936903542,0.07946171663446261,0.07378954818274408,0.9355792289071646,0.10675761777237104,0.4621890373986901,2.0558994213871813,0.7659,0.0,0.0,0.001182168256724276,0.00011403954821279318,1.7969598415197792e-08,0.03106837259220035,0.7746,0.7836,0.7725,mca
Electricity; at grid; consumption mix - Duke Energy Progress East - BA,Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - South Carolina Public Service Authority - BA,"coal extraction and processing - Illinois Basin, BIT, Underground",0.061211583704633046,0.1643510835338239,0.04267949924519431,0.03424125102972679,1.0008782246941816,0.8616910564630295,0.03792977156491571,0.5546418515702778,0.009629285860211036,0.5153325169172126,0.12411869923963059,10.26820270973524,1.2619259442874118,0.009698941698164364,0.043950712704129674,0.1538065816797701,0.05386886792063459,0.0652985747033108,0.07680649028520173,1.2909283720791274,0.13111451946673808,0.31164667445836897,1.6429736650669553,0.8284,0.0,0.0,0.001303024499196031,0.00012359033474905543,1.883038466259933e-08,0.03470025600847418,0.8381,0.8481,0.8358,mca
Electricity; at grid; consumption mix - Duke Energy Progress East - BA,Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - South Carolina Public Service Authority - BA,"coal extraction and processing - Illinois Basin, BIT, Underground",0.04968110371068539,0.18696077722561483,0.0507875474277133,0.042586008805505754,1.0060503634077438,0.8324589877179116,0.02142581372412054,0.467256456845872,0.009712386585225965,0.5178541612393652,0.12285736124757801,10.359760667835864,1.3286074113855064,0.010174808938783982,0.02185058199894441,0.1482496847739347,0.07254370196289846,0.06064422151109806,0.06157496539746894,1.3129069644991949,0.1210568688367981,0.279901814021585,1.142934999826474,0.8143,0.0,0.0,0.0012749851610555645,0.00012234512742526679,1.82637677838283e-08,0.03379824373928697,0.8238,0.8335,0.8215,mca
Electricity; at grid; consumption mix - Duke Energy Progress East - BA,Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - South Carolina Public Service Authority - BA,"coal extraction and processing - Illinois Basin, BIT, Underground",0.07070420021040427,0.19672144425292823,0.04815751717458126,0.042684376867773544,0.9638690676141913,0.8918937800544393,0.036629735180958724,0.6412144704018778,0.009734300515034145,0.48854554244637577,0.11703958345246991,10.386369138537418,1.2836987537954498,0.009687398452420148,0.04605483159662552,0.1477234436663054,0.13153871478292462,0.027787341814772014,0.08139403677455606,1.370734450146087,0.132471612467681,0.38556113101332445,2.010620546027736,0.8783,0.0,0.0,0.0013881537424494344,0.0001278634565517069,1.9930249312428245e-08,0.036627135696627976,0.8886,0.8992,0.8862,mca
Electricity; at grid; consumption mix - Duke Energy Progress East - BA,Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Los Angeles Department of Water and Power - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - New York Independent System Operator - BA,natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - South Carolina Public Service Authority - BA,"coal extraction and processing - Illinois Basin, BIT, Underground",0.06760192956311009,0.18533972503615465,0.05496035837471621,0.03425790331919066,0.813813542344974,0.8432199077609512,0.02107823091704407,0.5906207683668884,0.010367975534292789,0.4934179213744541,0.12366831552640785,10.062740535927126,1.3242560887689936,0.009691917523761452,0.03278306193979551,0.14545341972050763,0.1487061846670097,0.063302994247905,0.08908649447464206,1.25685852561633,0.10824476643136413,0.2603224999939707,2.144236168339475,0.8696,0.0,0.0,0.0013566961315826195,0.00012768725919757513,1.943626517569933e-08,0.03599366016622277,0.8796,0.8898,0.8772,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Turlock Irrigation District - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"coal extraction and processing - Northern Appalachia, WC, Underground",0.02765704550438445,0.1986763261072827,0.04862481366392058,0.03527359167839015,0.8574070813760495,0.8703721190012292,0.0225670036701772,0.5766987603128293,0.00961988820057901,0.512761976857784,0.12342154104233902,9.907522594825682,1.319443523583175,0.009907214875577804,0.03559463025535371,0.14579341364338083,0.09400033953213865,0.07760634403888075,0.08091703984115277,0.9216689816719763,0.09767586634034835,0.2626791954529924,1.0108195320830746,0.7861,0.0,0.0,0.0013326903709455337,0.00012430949218660166,1.5624328075187816e-08,0.03753922437307263,0.7971,0.8081,0.7945,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Turlock Irrigation District - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"coal extraction and processing - Northern Appalachia, WC, Underground",0.017857393206426646,0.18533775278590958,0.04940122527734565,0.034541837770596995,0.7186267758190805,0.8766257617765555,0.018126175923073657,0.5747690862220202,0.009568079550198373,0.5211222003974791,0.12382583973939469,10.249626556508565,1.248139384700094,0.010040896238139039,0.03778417028534922,0.15993189754613324,0.1045214707812193,0.03506532246463954,0.07114083723768232,0.8906082552493854,0.1481889474334894,0.3432255927230275,2.4412909522598154,0.7572,0.0,0.0,0.001274478831435633,0.000120165461044847,1.5264044094079828e-08,0.03598425354926665,0.7677,0.7783,0.7653,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Turlock Irrigation District - BA,"ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"coal extraction and processing - Northern Appalachia, WC, Underground",0.07595306206056865,0.1826263266246122,0.04740704120812749,0.040524167592924557,0.9257002692427635,0.884095698907905,0.026280914556112575,0.5400280902035094,0.009533522933475239,0.5042681168837919,0.12440502655095893,10.061354500032149,1.3204904287525283,0.010303637551563672,0.051735829570136393,0.15045785202638248,0.12121678879846733,0.0657355957820002,0.10514523822819376,0.9162870093983682,0.10774420987488935,0.3406455071565083,1.210991232574034,0.7787,0.0,0.0,0.0013152347618172635,0.0001252438780720004,1.5897296644021558e-08,0.03725737450076229,0.7897,0.8008,0.7872,mca
