elec_steel_fab,elec_steel_rolling,steel_bloom,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, heavy sections.wf","fabrication, heavy sections.elec","fabrication, heavy sections.trans_co2","rolling, bloom.elec","rolling, bloom.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"coal extraction and processing - Rocky Mountain, WC, Surface",0.047067798606628894,0.18627136000322037,0.045480358084492974,0.0439834520302613,0.7924335011975376,0.8772374101645221,0.023357369132022826,0.45229432150685844,0.009578266793171959,0.5057649056949137,0.12306625019910372,9.654288396850843,1.2742218373215122,0.009649152615803827,0.0257702786178307,0.15181418032809257,0.0614865665326673,0.07914167047600902,0.07713562611594717,1.0699031519099451,0.10879724718322843,0.29250546999081156,0.9176,0.0,0.0,0.0024571257713036044,0.0001540621293691937,2.2864615847282352e-08,0.04928072993154215,0.9265,0.935,0.9212,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"coal extraction and processing - Rocky Mountain, WC, Surface",0.07127539916535211,0.20266490585670902,0.045072779043394934,0.03812104882665909,0.8677932398501076,0.8217071304498638,0.03136645004200047,0.4614492786000515,0.01005002744062211,0.5274827826528548,0.12584978558084853,10.067807259420631,1.30988942366018,0.009969247696403354,0.03857568645933486,0.21010322783660101,0.06684646868320676,0.06447190742811391,0.048239284897604165,1.0603357936917488,0.12470288794479632,0.30043562433434845,1.0056,0.0,0.0,0.002644282171399351,0.00016657439511174438,2.3784636828659238e-08,0.05396252298396675,1.0155,1.0251,1.0097,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"coal extraction and processing - Rocky Mountain, WC, Surface",0.06411312068561677,0.20532941748333458,0.04479303443549819,0.035478917614946134,0.9666141264713863,0.8207666607599811,0.01885523798888642,0.6198602500974597,0.010166018907890867,0.5237786787527507,0.11852165078661943,9.967901861813512,1.3504526636857126,0.009856094009448063,0.02054458913456151,0.05288415819138836,0.12502448503893238,0.08021154059419922,0.0753763928260365,1.1606046398453165,0.10864345455681956,0.4151778091971264,1.1311,0.0,0.0,0.003089974055605008,0.00018456448471856175,2.627809079905662e-08,0.06201161046048337,1.142,1.1526,1.1356,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"coal extraction and processing - Rocky Mountain, WC, Surface",0.0790373860058633,0.1973224814175667,0.05061923860215676,0.03542382741299267,0.9730287757986753,0.8490570207542495,0.022423047992493103,0.4989713546396564,0.01016232487667065,0.5204111527956361,0.12021974288543419,10.223072203695015,1.3129323662965515,0.009667233311176266,0.0354777028349704,0.0671926996684462,0.05174796660630093,0.03947500340166323,0.06650621262568117,0.8763775646509719,0.1273625281192398,0.5082138608171629,1.0252,0.0,0.0,0.0027300501326604793,0.00016914293159103137,2.4421349794431747e-08,0.05523292123666513,1.0353,1.0449,1.0294,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"coal extraction and processing - Rocky Mountain, WC, Surface",0.06374997049408467,0.16957217013857787,0.05004802861491054,0.04043640842479539,0.8627708832467804,0.8544336073341742,0.0476726256243838,0.4970584639122678,0.010344914401738006,0.505622147063768,0.12494178243374461,10.319118174103043,1.294955376056111,0.009728526397300756,0.040697688937192326,0.012963791846386317,0.08695595673717098,0.06405116152766072,0.06364651442866527,1.2183242197594555,0.11378518477020834,0.38633980344428254,0.9858,0.0,0.0,0.002636694667500658,0.0001635986903035597,2.3895176666419655e-08,0.05305292839953074,0.9954,1.0046,0.9898,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"coal extraction and processing - Rocky Mountain, WC, Surface",0.0682902092593645,0.18006988378813105,0.057914043239740004,0.035550634979334333,0.8358801458607913,0.913091182935244,0.04511486085119888,0.47616354869286553,0.009601677030267196,0.5301612843885793,0.11849837814539174,9.416343227044111,1.2973217274631677,0.010048006912864314,0.04336194644765507,0.1068612930456813,0.12593314431815333,0.10107049408208552,0.08439558655869664,0.9291429257433292,0.13286294779040436,0.529306676621251,0.9334,0.0,0.0,0.0025005305363915843,0.00015489727026929287,2.3482471861099216e-08,0.04952278434539379,0.9421,0.9504,0.9369,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"coal extraction and processing - Rocky Mountain, WC, Surface",0.032047849520878885,0.20452312237602038,0.05454777123023022,0.04206964503606599,0.9405942927536728,0.8399764226554711,0.02206721047019772,0.4772312048514161,0.010346539235176401,0.5171549508505473,0.12578993506110356,10.18064488313367,1.2966089644930094,0.0104967793564587,0.04121681373018799,0.11925790983900253,0.14375505829578394,0.058616166709144955,0.08662762466561921,1.226282703436273,0.13240356575801523,0.45668913138326406,0.9887,0.0,0.0,0.002598738552353189,0.00016205221278507145,2.3201464519947614e-08,0.05287853921918902,0.9985,1.0078,0.9928,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"coal extraction and processing - Rocky Mountain, WC, Surface",0.05106278268405897,0.18048983207730881,0.059755825562410644,0.04280190959373986,0.8462811283220759,0.8317821807774793,0.0428556994892563,0.5362301434031855,0.009667925589034333,0.5090135934980136,0.12046223581300701,9.505510511202276,1.2992065966474746,0.009665048960147965,0.02828073000102355,0.13487170059366807,0.09293334769347565,0.06005817607321451,0.09260304499644856,1.0541580607316678,0.15312164203812842,0.49903266989838657,1.0388,0.0,0.0,0.0027572942791859365,0.00016896048581986026,2.4435010793476004e-08,0.055393088627913534,1.0486,1.0581,1.0428,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"coal extraction and processing - Rocky Mountain, WC, Surface",0.047808110550862114,0.15970927011174346,0.050139347672016873,0.03500516741082822,0.9625987890533749,0.8254878917644923,0.04674145840976411,0.6216972121374306,0.009814334283071515,0.5247973312408181,0.12122850642588617,9.7144579708817,1.3363325256131764,0.010217681734133144,0.021401469626540884,0.19104987777748983,0.12080892377979041,0.0643919877208316,0.07331928861632733,1.1970684120884352,0.1145947201837906,0.32065605638955547,1.0939,0.0,0.0,0.0029676364658440934,0.00017767221143881462,2.5591677157530858e-08,0.05926003536658824,1.1043,1.1143,1.0982,mca
"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Permian,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"coal extraction and processing - Rocky Mountain, WC, Surface",0.05418288525736311,0.17455945551152713,0.04979809254979913,0.043115291621903105,0.8240065724098102,0.862133114396882,0.021626796850004504,0.6301847937234238,0.01021884406087105,0.5052669382885354,0.1234119257389651,9.915405685099124,1.284113871733907,0.009676798381224604,0.03609423719961159,0.030622640452517867,0.12356121435375733,0.08787648811939872,0.09077534900824166,1.14811602837486,0.12884381595933755,0.42317699430552697,1.0753,0.0,0.0,0.00297974717419073,0.00017620952067834338,2.5910868225701253e-08,0.058818807520358105,1.0854,1.095,1.0794,mca
Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Northern Appalachia, WC, Underground",0.039907444210854494,0.19333279723557503,0.058880405839097816,0.035085404705142265,0.8559048794354731,0.8191081133991638,0.011679329514386603,0.42186097780536985,0.010314388056969359,0.4938137050466271,0.12354364451880019,9.888692813428387,1.2642219330732334,0.010009164505410215,0.027774600410324972,0.13792657374339645,0.1454547521576608,0.0772138981000258,0.08783921474520402,1.0592283633512127,0.13832886537898736,0.3101979460230744,1.0474,0.0,0.0,0.001392522927194356,0.00011486519586702279,1.860746820815796e-08,0.026221886231399726,1.067,1.0885,1.0572,mca
