elec_steel_fab,elec_steel_rolling,steel_bloom,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, heavy sections.wf","fabrication, heavy sections.elec","fabrication, heavy sections.trans_co2","rolling, bloom.elec","rolling, bloom.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - East Texas,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Illinois Basin, BIT, Underground",0.07241320458205404,0.19256407074266094,0.05025289030990435,0.03360039122596804,0.8128122912449081,0.9101050494579169,0.025340925322035638,0.4037000545155168,0.009823959970031092,0.5155742798228565,0.12122655643758491,9.555513473036612,1.3152132549635633,0.009790840666467333,0.04427654719606348,0.16305422246036855,0.09034184107062339,0.061168304662511316,0.07992277315001708,1.1242335991275572,0.11648322816019954,0.3797938321387917,0.7826,0.0,0.0,0.0014833259083977454,0.00011728550327445424,1.2405893384369009e-08,0.0371488332752048,0.7879,0.8017,0.787,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - East Texas,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Illinois Basin, BIT, Underground",0.07255568466864835,0.20167001579389823,0.05635234881276312,0.03608578918571579,0.8978509851981815,0.8588748990735565,0.024486680185889557,0.5565330104308489,0.009800180109024342,0.49771436946140524,0.11528373937665384,9.873883854982376,1.3393298475339779,0.009575299759187379,0.0296236181116187,0.2600181071013478,0.06896547967460578,0.07315924495370288,0.04947519436404692,1.290804518451367,0.13948411059758417,0.4581051415863722,1.0473,0.0,0.0,0.001848192586767245,0.00013869196800180608,1.3974527530826415e-08,0.04571819490932811,1.0538,1.0711,1.0528,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - East Texas,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Illinois Basin, BIT, Underground",0.051946963065695836,0.21645571855874587,0.05198703069051184,0.04125151001279323,0.7814523516591408,0.8196870459184142,0.017584263071818942,0.4953180850168226,0.009581864018948063,0.48866153808375595,0.12158845096775624,10.265487930388405,1.2482849472219089,0.009507333015803292,0.039613859787665615,0.1736947769984482,0.06145831839013752,0.07380706829162217,0.06383696594574824,1.2499948434674655,0.12098392251790685,0.475421085892528,1.0677,0.0,0.0,0.0017512839931982864,0.00013434883493579962,1.3571666499549225e-08,0.043471604362263605,1.0741,1.0914,1.0732,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - East Texas,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Illinois Basin, BIT, Underground",0.05373158149484293,0.20825184543173522,0.04375893308647573,0.03360621858377454,0.8526627653925128,0.849618707986639,0.042072757563644224,0.4119608548689086,0.009939548699649504,0.4851317480484961,0.12133535718583709,9.80134537172421,1.244301999927027,0.009721849811250934,0.02253366564571055,0.07063649816605987,0.09772934967622873,0.11055151734150155,0.0717866665376881,1.1565371517621574,0.10113483806824992,0.40666893987229047,0.9188,0.0,0.0,0.001569984686888144,0.00012392329588237496,1.2739951604716997e-08,0.03932797298697363,0.9246,0.9403,0.9238,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - East Texas,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Illinois Basin, BIT, Underground",0.06348598259802933,0.1798390343211886,0.044150587322100296,0.04191157735526629,0.8839105015313359,0.8578514492020597,0.030421308999553157,0.48524652235508337,0.010252589661947935,0.5021239827404503,0.11732547736436592,10.159819282125024,1.2917698895724206,0.01002519667328405,0.03163087074952206,0.097245023118403,0.11321309556359252,0.07189878584453588,0.06803211476490785,1.2872364223872426,0.10533095578023297,0.2857492291182205,0.9463,0.0,0.0,0.0016910750767452694,0.0001298908460467385,1.3314391969120594e-08,0.04179683874730384,0.9524,0.9686,0.9514,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - East Texas,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Illinois Basin, BIT, Underground",0.05798584444428055,0.18585426792087945,0.05954745593544658,0.033276829010047415,0.8750109890360441,0.8382551047842329,0.04716284116973925,0.6919285629904133,0.009902984561276569,0.484165089147048,0.11447090448480851,9.901580112372665,1.2956615541024776,0.00962827054652842,0.023765569719648723,0.260398350063351,0.13662929238293556,0.10672499063475713,0.03901996819938543,1.0014280283426609,0.122233681316082,0.2497684815421062,1.0809,0.0,0.0,0.002087500737204735,0.00015124423742058518,1.4957369980488254e-08,0.05093358449799599,1.0882,1.1072,1.087,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - East Texas,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Illinois Basin, BIT, Underground",0.07056391364529602,0.19941686060574587,0.05653113714463452,0.0417568479138109,0.8493093687794093,0.854422029217347,0.0465936217816881,0.5467953642878853,0.009517766143265969,0.5026933947640055,0.1186067116444954,9.640759084278208,1.317041159491519,0.010235857756243198,0.020899450380954646,0.25785561200970053,0.09648114613554874,0.0480383802877051,0.09801480013770315,1.297625141944599,0.10109194304939235,0.2374286467572213,1.017,0.0,0.0,0.001843662859928463,0.00013857376178198652,1.3995762268195526e-08,0.04550650725547163,1.0236,1.0409,1.0225,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - East Texas,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Illinois Basin, BIT, Underground",0.07869033623467775,0.18191360466870352,0.059348560392793084,0.03464289309412546,0.7811747724225883,0.8504683866401429,0.0483327474324476,0.46209361726580855,0.009939276773202095,0.4908709738213851,0.11555250502401339,10.002761574359376,1.2825272112313573,0.010205064823062972,0.03582851642681767,0.1532743062487629,0.13571545510132166,0.07214356726059254,0.09959026892067445,0.917780395111999,0.13646261130979556,0.4005445780849421,0.9364,0.0,0.0,0.0016777955385943273,0.0001298716296343497,1.3415490422696493e-08,0.04136026399086548,0.9425,0.9587,0.9415,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - East Texas,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Illinois Basin, BIT, Underground",0.056380570707540156,0.20108844639594115,0.057503150669084915,0.03543916381863356,0.7654790534464159,0.9044898204374254,0.019926971747291026,0.567867932732723,0.010246847876649087,0.5213814638624995,0.1178457648326445,9.816492263319116,1.2920148123176252,0.009555141642019774,0.01880474946772335,0.142079297660202,0.07111797624065322,0.0548258392961969,0.08282155814313773,0.996043219907156,0.1136498146587717,0.3227127891866888,0.8786,0.0,0.0,0.0017764392646883662,0.0001322758171875138,1.3552226169236282e-08,0.04391019056756651,0.8846,0.9003,0.8836,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - East Texas,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Illinois Basin, BIT, Underground",0.05888888239765105,0.21611354129519797,0.04988943827655605,0.03939505873046938,0.8454114652237534,0.8266854859071902,0.03430837775816298,0.5334645795184423,0.010464952817549462,0.5136192738212091,0.12240510660579004,10.193548070536105,1.2420416344316474,0.010394508667452389,0.037385326198957666,0.12288252108610119,0.06818614324497173,0.06001747539574613,0.08649951076438198,0.8708562314799873,0.10917944737590186,0.276049888200661,0.9808,0.0,0.0,0.0018425463628107689,0.0001393420065594807,1.3950011138490005e-08,0.04566159174251045,0.9875,1.0054,0.9865,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,Electricity; at grid; consumption mix - Western Area Power Administration - Rocky Mountain Region - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Gulf,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,"coal extraction and processing - Northern Appalachia, WC, Underground",0.04459961745222443,0.21339880405556383,0.057151090978434495,0.042099942407880064,0.9299649560207224,0.9010815635138634,0.016408068129967777,0.5284183656031141,0.010025093528550105,0.4820568245202104,0.11551588702479815,10.319412543364,1.2807795057865343,0.009708951106534433,0.03626230364470585,0.048660898451821866,0.12235635656877962,0.08691782805567042,0.05867531578409875,1.0669219814316357,0.11703011893847105,0.28693576102572615,1.0601,0.0,0.0,0.0019733713146929234,0.00012891013983202553,2.1702346205414945e-08,0.03852522871288447,1.0676,1.0886,1.0667,mca
