providers_electricity,providers_heat,providers_bloom_steel,providers_iron_forEAF,providers_naturalgas,providers_iron_forBOF,providers_coal,"fabrication, heavy section wf","fabrication, heavy section elec","hot rolling, blooms elec","steel production, EAF scrap_pct","steel production, EAF wf","steel production, EAF kWh_EAF","steel production, BOF scrap_pct","steel production, BOF wf","iron production, blast furnace co2_kg",gwp,ap,ep,odp,pocp
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Strawn,"iron production, blast furnace","coal extraction and processing - Southern Appalachia, BIT, Surface",0.06463019,0.074719437,0.038368949,0.880031741,0.041129238,0.626587045,0.145111458,0.052051805,1.050610333,1.331,0.003880667,0.001184506,3.49E-08,0.07845878
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Processing",0.076027475,0.075444979,0.038717246,0.821170004,0.046093984,0.504481525,0.141273462,0.065067849,1.085259492,1.2875,0.00394935,0.00127019,3.01E-08,0.0840787
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Gulf Lignite, LIG, Surface",0.086875781,0.075539339,0.039073983,0.892283883,0.028453015,0.596627291,0.159627977,0.080957352,0.870348213,1.1828,0.003124761,0.001179537,2.65E-08,0.07066218
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Permian,"iron production, blast furnace","coal extraction and processing - West/Northwest, BIT, Surface",0.086656384,0.074345886,0.039484916,0.849089164,0.027625031,0.594811928,0.152841835,0.093035309,0.832439307,0.9574,0.002625973,0.001106092,2.29E-08,0.055688808
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, BIT, Processing",0.064291657,0.076197067,0.042215676,0.864264388,0.040547821,0.483827124,0.154830317,0.060187112,0.789116632,1.0252,0.003007582,0.001097472,2.79E-08,0.064668683
Electricity; at grid; generation mix - Duke Energy Progress East,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - East Texas,"iron production, blast furnace","coal extraction and processing - Central Interior, BIT, Processing",0.077547077,0.075858636,0.034529392,0.887518401,0.022066066,0.452391191,0.154763655,0.121081298,0.977113146,0.9582,0.002749515,0.001145323,2.61E-08,0.058961829
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Illinois Basin, BIT, Underground",0.085007968,0.077781723,0.041769247,0.872597334,0.026593773,0.539782481,0.144112448,0.145856928,0.908649319,1.1294,0.003187156,0.001185685,2.75E-08,0.063544095
Electricity; at grid; generation mix - New York Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Gulf,"iron production, blast furnace","coal extraction and processing - Northern Appalachia, WC, Processing",0.071405745,0.074384132,0.034875907,0.88985819,0.025292249,0.610520289,0.14485571,0.076460361,0.918390919,0.9992,0.003296167,0.001179782,2.12E-08,0.081429236
Electricity; at grid; generation mix - Tennessee Valley Authority,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other",natural gas extraction and processing - Arkla,"iron production, blast furnace","coal extraction and processing - Import, BIT, Underground",0.050548167,0.076150656,0.036434284,0.812794142,0.036904047,0.581591721,0.156645167,0.089055146,0.781396532,0.8948,0.002532456,0.001082285,2.30E-08,0.053580316
Electricity; at grid; generation mix - ISO-NE,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - Appalachian,"iron production, blast furnace","coal extraction and processing - Lignite, LIG, Surface",0.054923343,0.07501102,0.037675892,0.86097308,0.049943984,0.654654971,0.149395505,0.052934934,0.883322012,1.0671,0.002947285,0.001179833,2.83E-08,0.066277679
Electricity; at grid; generation mix - NorthWestern Corporation,"heat generation, natural gas","steel production, EAF","iron production, blast furnace",natural gas extraction and processing - San Juan,"iron production, blast furnace","coal extraction and processing - Rocky Mountain, BIT, Processing",0.055988231,0.074164937,0.043276459,0.854936837,0.033415363,0.578983893,0.149003919,0.069926764,0.95571494,1.4862,0.003808607,0.001183102,3.95E-08,0.074493907
