source,manufacturer,plant,name,geography,fabricated,ec3id,gwp.a1a2a3_mean,ap,ep,odp,pocp,label
Industry EPDs,AISC 2016,n/a,AISC 2016,US,TRUE,,1.16,,,,,"AISC 2016, AISC 2016"
Industry EPDs,AISC 2021,n/a,AISC 2021,US,TRUE,,1.22,,,,,"AISC 2021, AISC 2021"
Industry EPDs,Bauforumstahl 2013,n/a,Bauforumstahl 2013,RER,TRUE,,1.74,,,,,"Bauforumstahl 2013, Bauforumstahl 2013"
Product EPDs,Nucor,Unspecified Nucor Plant(s),"Fabricated Hot-Rolled Structural Steel Sections, 1 metric ton",US,TRUE,cqd.io/e/ec3tmwp19p,1.35,,,,,"Nucor, Fabricated Hot-Rolled Structural Steel Sections, 1 metric ton"
Product EPDs,BlueScope Steel,Unspecified BlueScope Steel Plant(s),Steel – Welded Beams and Columns,AU,TRUE,cqd.io/e/ec3fm6pb8z,2.84,,,,,"BlueScope Steel, Steel – Welded Beams and Columns"
Product EPDs,Commercial Metals Company,Unspecified Plant,Fabricated heavy structural shapes,US,TRUE,cqd.io/e/ec39q62wra,1.36,,,,,"Commercial Metals Company, Fabricated heavy structural shapes"
Product EPDs,Nucor,Nucor Steel - Berkeley- Beam Mill,Fabricated Hot-Rolled Structural Steel Sections,US,TRUE,cqd.io/e/ec3jm8c8z1,1.22,,,,,"Nucor, Fabricated Hot-Rolled Structural Steel Sections"
Product EPDs,BlueScope Steel,Unspecified BlueScope Steel Plant(s),Steel – Welded Beams and Columns,AU,TRUE,cqd.io/e/ec3pn1u1eq,2.85,,,,,"BlueScope Steel, Steel – Welded Beams and Columns"
Product EPDs,BlueScope Steel,"Port Kembla, Australia",XLERPLATE® steel,AU,TRUE,cqd.io/e/ec33s5pue2,2.75,,,,,"BlueScope Steel, XLERPLATE® steel"
Product EPDs,Gerdau Long Steel,Gerdau Midlothian Steel Mill,Fabricated Structural Steel,US,TRUE,cqd.io/e/ec3n1jpspz,1.26,,,,,"Gerdau Long Steel, Fabricated Structural Steel"
Product EPDs,Gerdau Long Steel,Gerdau Petersburg Steel Mill,Fabricated Structural Steel.,US,TRUE,cqd.io/e/ec33ex0bda,1.12,,,,,"Gerdau Long Steel, Fabricated Structural Steel."
