elec_steel_fab,elec_steel_rolling,steel_bloom,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, heavy sections.wf","fabrication, heavy sections.elec","fabrication, heavy sections.trans_co2","rolling, bloom.elec","rolling, bloom.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",sintering.co2_kg,coking.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Central Appalachia, BIT, Underground",0.0771,0.193,0.046,0.039,0.874,0.86,0.03,0.5,0.01,0.507,0.12,9.9,1.3,0.01,0.027,0.15,0.1,0.071,0.074,1.093,0.26,0.124,0.6512,0.0,0.0,0.0011229014183679659,6.163712791332103e-05,5.637842428360627e-09,0.02326913333331433,nan,nan,nan,base
Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Surface",0.030003696838583165,0.20374338824600532,0.044943995433108556,0.0335329169560517,0.9847580339386215,0.8650942854890294,0.021518480250088977,0.5877049443595995,0.00982605967494391,0.5003264301257734,0.12215914722725402,9.63878127806734,1.3394693726795304,0.010399226905202686,0.04269698005288701,0.05761761811160201,0.08529020572560611,0.06868884952887055,0.034693828932678715,1.1427474375587738,0.2893976875359476,0.13785585291819827,0.921,0.0,0.0,0.0015495284447234053,7.925773352793359e-05,9.925502134842643e-09,0.033336306339793856,nan,nan,nan,mca
Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Surface",0.05483100513425694,0.204803660230857,0.04270683845551038,0.036623210353227825,0.9351480268229704,0.8015441272338236,0.02057491411908608,0.44239742592785625,0.009837164458285317,0.5209314391071849,0.12076444541878023,9.781846828453219,1.3622235486895125,0.009640046539032374,0.04677739240861143,0.2283164452710678,0.06969311468252797,0.09315413515335931,0.09969213907022216,1.082083896630871,0.3117004965075887,0.12694069384477058,0.9525,0.0,0.0,0.0013752609647747374,7.192663401304954e-05,8.190366558911307e-09,0.030457447260537562,nan,nan,nan,mca
Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Surface",0.07681782899011275,0.1796843297954639,0.04148379086813234,0.03530111176581757,0.8399814128486599,0.8227611785912973,0.022175650048149642,0.6434710716810317,0.010109461886812339,0.5149236093962436,0.12493668251520636,10.189243120505076,1.2987517091977658,0.00996072799655984,0.04178654703854762,0.2268167574140532,0.10909478566299666,0.1024243617135795,0.08340073294644859,1.3195985263709586,0.44525548732921283,0.11723982703315704,1.1326,0.0,0.0,0.0017338386718364664,8.74217482976241e-05,1.1465676758646339e-08,0.03665801293619164,nan,nan,nan,mca
Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Surface",0.07292736437991935,0.18978340952522035,0.04010713579888434,0.03607189992605443,0.9017186657093694,0.9066763308866528,0.025245757528986446,0.5980724480114077,0.009640057977191223,0.5050707678459196,0.12070282691592027,10.133980239846398,1.3321707260547937,0.009846040615723662,0.024961024634359223,0.13015218675933565,0.08110505018724638,0.10336175710400196,0.061701273025189504,1.1237152711407545,0.2486353543109437,0.12931395982489016,0.859,0.0,0.0,0.0015780622965418812,7.992790391414321e-05,1.0425602915197936e-08,0.033553522748531635,nan,nan,nan,mca
Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - Arizona Public Service Company - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Interior, BIT, Surface",0.033978823263035265,0.19126380161859724,0.05040646835638847,0.04216105435669025,0.7954572178761963,0.8995678770584317,0.0331817357297454,0.4022659217293925,0.009909197963360346,0.504325647169047,0.11654430713745714,9.804782505571541,1.2468046538331523,0.009871567124796669,0.029446559220084916,0.18004975709282492,0.05481312683131015,0.10086081250019692,0.07790358319181206,0.8255270876059505,0.2283861314544798,0.13909657400573716,0.6775,0.0,0.0,0.0011619533732374506,6.048136175954889e-05,7.10304753342363e-09,0.02552024730640293,nan,nan,nan,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - West/Northwest, BIT, Underground",0.05891473820586657,0.22970777472485546,0.04684839279636254,0.03448020261638037,0.8577751052674535,0.8651498989905839,0.03014290130620803,0.6268146615047259,0.009801091116278422,0.4921053552872325,0.11790501355757037,10.352498132296594,1.2703054630869566,0.009960505183877129,0.04399007846204434,0.14008824229833444,0.11671104586758677,0.08288943969143656,0.07839611892212203,0.9334173044392071,0.26793941013634565,0.11568466403683557,0.8462,0.0,0.0,0.0012681911341190365,6.435386240666739e-05,8.13739183394309e-09,0.023744586430679015,nan,nan,nan,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - West/Northwest, BIT, Underground",0.07387673120683481,0.2159397223487212,0.04962959128905353,0.033256764815181465,0.9170769755609209,0.8381143257861114,0.015500540570899998,0.4966229790397785,0.010487197308414867,0.49788529039869056,0.11466970257214698,9.492157108774903,1.2913550153077624,0.009845403421849901,0.040191922422558445,0.2497617293033921,0.13837195418566406,0.07979041549577962,0.1005711741565908,1.2722126452162077,0.38282173894120963,0.12464111716486298,0.9026,0.0,0.0,0.0011258725544089356,5.7954678843342265e-05,7.025839845215508e-09,0.021606153721716686,nan,nan,nan,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - West/Northwest, BIT, Underground",0.07300629060561463,0.16930780741998736,0.04429653687903269,0.035716010100784144,0.7827882730120145,0.8120133215040372,0.049800670452018025,0.4829354680084019,0.01028053447864146,0.5005717283540865,0.12066632121291498,9.61011269391143,1.33062380803733,0.009870880766517995,0.04447036602048407,0.1626816359323215,0.128010271097394,0.07568815207542265,0.08556769805734407,1.1055187284475392,0.35114536984097816,0.11080390896908084,0.8702,0.0,0.0,0.0010323807969000833,5.3452681975559076e-05,6.263601299900214e-09,0.019829378996245168,nan,nan,nan,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - West/Northwest, BIT, Underground",0.030302053557963574,0.17174099230927936,0.05285086847415204,0.03442865279344394,0.8670716351092843,0.9145134838560045,0.01571512489309671,0.4452179530736609,0.010427395164333782,0.5267775053193506,0.12052684394219407,9.434055773241594,1.2454802753820498,0.009534734566115899,0.0243135593886807,0.1380117978423558,0.13771901818336985,0.07053215267608691,0.08682702272209121,1.2829259172176242,0.33475048168011284,0.12660143413230945,0.6584,0.0,0.0,0.0009268220526976069,4.758598646208481e-05,5.832549279388787e-09,0.01780674193545119,nan,nan,nan,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - West/Northwest, BIT, Underground",0.029561200364978432,0.18976481103192666,0.040098702146421396,0.0334183594715952,0.8746794929341591,0.881152393851575,0.02947804503748326,0.5964929727968593,0.010031824684010239,0.49234039515702627,0.1195993583504009,9.973175979555332,1.3575371299779018,0.009972065488522381,0.044174659760659686,0.08036098349661171,0.0635184809355183,0.09466922662179594,0.07679437166812975,1.0846139086459,0.27200896421136966,0.15463707612044864,0.777,0.0,0.0,0.0011411450045337047,5.8169311125548066e-05,7.200727431854867e-09,0.02153359570514652,nan,nan,nan,mca
Electricity; at grid; consumption mix - Idaho Power Company - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Rocky Mountain, SUB, Surface",0.07345983621871033,0.21191860507769486,0.050160100377699954,0.03887639290099462,0.8952188443606075,0.8204290718206062,0.049180467487088195,0.4687399301506932,0.00996629583849219,0.48429049979190797,0.12198830266584296,10.102430216164297,1.2755430638192293,0.010425116001014301,0.019333393211084553,0.0288083719062724,0.13317646417090467,0.08427576692067243,0.0632604889891781,1.3368814974420444,0.23800346075700052,0.1338962230710313,0.9165,0.0,0.0,0.0012326587070155073,6.440378100538452e-05,8.310478544224055e-09,0.026385807520847057,nan,nan,nan,mca
Electricity; at grid; consumption mix - Idaho Power Company - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Rocky Mountain, SUB, Surface",0.05773419941603304,0.1928208400415614,0.04285922041941754,0.03313705599420058,0.8516771046812875,0.8619784098155172,0.04855650895432482,0.6473382319884209,0.010380365774695904,0.5158175729526256,0.12524462668909708,9.560029540594565,1.3429457866798646,0.010375122254918606,0.04564568836597382,0.08108103248328692,0.10713906040397886,0.10119614206373762,0.04959419596816161,1.1975867515698777,0.29215417712849007,0.09912563384872025,0.9188,0.0,0.0,0.0015183213314275842,7.659102204386594e-05,1.088747199479757e-08,0.03139697949545839,nan,nan,nan,mca
Electricity; at grid; consumption mix - Idaho Power Company - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Rocky Mountain, SUB, Surface",0.018721412041867336,0.21496300701681126,0.049675841121688775,0.03529616688023666,0.7708866396763556,0.8660834635748379,0.015021032252473691,0.4203962446417607,0.00998295333353581,0.48849920275668424,0.12413926703043184,10.125433060907122,1.25340066397311,0.009579544407037755,0.021460616766875544,0.1751032047090202,0.10609723881359023,0.08300255981603301,0.05208026329185127,0.9073243359030345,0.3339449642439125,0.1029659891075366,0.6781,0.0,0.0,0.0010370246101407484,5.4367352762756956e-05,7.035462709710953e-09,0.022202789979266394,nan,nan,nan,mca
Electricity; at grid; consumption mix - Idaho Power Company - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Rocky Mountain, SUB, Surface",0.06639267269358881,0.19990168436312655,0.04618531047398812,0.04129094305117423,0.8929342272634224,0.8104818045796314,0.03707512441209177,0.5183820218497501,0.010191101474390691,0.5136777234601596,0.12516137107046113,9.800868389231198,1.3168493940244372,0.010495687445833037,0.020878119457164505,0.2347962240724425,0.08627249022133578,0.052761674189201566,0.04125643228991679,0.9996672868441921,0.2498454390533494,0.12331068528111733,0.8894,0.0,0.0,0.0013199803769448914,6.823820855342741e-05,9.044164617981182e-09,0.027967856058457842,nan,nan,nan,mca
Electricity; at grid; consumption mix - Idaho Power Company - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"coal extraction and processing - Rocky Mountain, SUB, Surface",0.052756073348218184,0.20182689866320144,0.04299850199568898,0.03724375263371431,0.8756862165960744,0.8523674397444596,0.015242747785646743,0.4563679457760334,0.009873745131101546,0.4979357734788372,0.11929790441890761,9.924331559471888,1.3099889012621904,0.010446608200365614,0.041725188024381854,0.1908853933268166,0.14460089433419107,0.0350814805505087,0.11311901443911641,0.985310264849694,0.4120457359179305,0.14258836342626433,0.7834,0.0,0.0,0.0011681836178624385,6.097910557495161e-05,7.926658803674061e-09,0.025003579995862186,nan,nan,nan,mca
Electricity; at grid; consumption mix - New York Independent System Operator - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - West/Northwest, SUB, Surface",0.06545777728940688,0.20659367735866863,0.059647008488342944,0.03380611653251087,0.7448811482549716,0.870773764497891,0.014658075372644826,0.6956737964677036,0.0100515766267661,0.4957972304498039,0.11782785512049235,9.927950170573729,1.3548356121182275,0.009860403042719424,0.024383193965083323,0.13284699162974395,0.09804971756511419,0.07054882619001036,0.08788923520106018,1.0242200542607636,0.4658850403505137,0.14402859071472976,0.728,0.0,0.0,0.0008943460080581144,6.503988895762784e-05,1.8595935073347191e-09,0.03208402042320287,nan,nan,nan,mca
Electricity; at grid; consumption mix - New York Independent System Operator - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - West/Northwest, SUB, Surface",0.06308883052099679,0.20610975007471394,0.04420403785081303,0.04114028308179562,0.8935091597519961,0.8613576343843583,0.014942586120601464,0.5078905391062573,0.01032618889850594,0.5261359431298538,0.11426699916715881,9.636703967437185,1.30248578828036,0.009500102410020783,0.03715679963502644,0.19707786845076888,0.08638103098534952,0.07358356385686225,0.11138207073320054,1.181175624011215,0.27503465116441206,0.13424920611364388,0.665,0.0,0.0,0.0007737284191343515,5.5968247801637e-05,1.5427294918810214e-09,0.026885572838661335,nan,nan,nan,mca
Electricity; at grid; consumption mix - New York Independent System Operator - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - West/Northwest, SUB, Surface",0.045951614352702695,0.20797181284903032,0.05792068014794618,0.04079515689690658,0.9613201724494522,0.8594636712723261,0.04820314637650679,0.5247785053563492,0.009737980766143968,0.49203580707163164,0.11580022223459513,9.675102173763452,1.35853892013443,0.009772785210666358,0.02725910432939386,0.043388398637487904,0.11859154636443554,0.09583257420783366,0.08735254605248835,1.3183769332774,0.343082618435772,0.13678700627661147,0.7244,0.0,0.0,0.0007867311236041948,5.690183400967231e-05,1.5522279091168028e-09,0.02737483471318778,nan,nan,nan,mca
Electricity; at grid; consumption mix - New York Independent System Operator - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - West/Northwest, SUB, Surface",0.04491162796725726,0.19431799723876475,0.0549003190251328,0.038553293004433074,0.8704315266191949,0.8489304089863802,0.03331801707509844,0.5562015187251708,0.009985605423543355,0.49910465490001277,0.11732916594512682,9.487682005607818,1.2765927687342422,0.010459365135382107,0.025644288994620915,0.1747050102468616,0.11684926212404949,0.06981431453125257,0.06815603868699348,1.2036421749258086,0.28215618818231963,0.11267863869097164,0.7059,0.0,0.0,0.000789795027880272,5.7137574482345665e-05,1.5833019761106212e-09,0.02769963731460632,nan,nan,nan,mca
Electricity; at grid; consumption mix - New York Independent System Operator - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"coal extraction and processing - West/Northwest, SUB, Surface",0.07272760393785192,0.20275939958005845,0.05895197759556796,0.04294544043836478,0.7611739093247158,0.8150960353856885,0.027638046237647998,0.5707475075012213,0.0095448778691444,0.5310366770705172,0.11666705744434773,9.959990947642329,1.3547427090869397,0.010139816445457178,0.035996063628381994,0.22736394945784028,0.14001300911395548,0.08561347365562103,0.047613132701892574,1.1626804862123576,0.24945933339570825,0.15383576358809076,0.7782,0.0,0.0,0.0008274713206713908,5.975010204699242e-05,1.6954743588098039e-09,0.028884154357124058,nan,nan,nan,mca
"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",Electricity; at grid; consumption mix - Duke Energy Progress East - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Gulf Lignite, LIG, Surface",0.0720224060698684,0.2133794645463672,0.05944058727020063,0.036910279282819564,0.9242632483608142,0.8693628997032011,0.011389272287634741,0.4176174231838032,0.010277024519126904,0.5067331932296993,0.12473607129648603,10.146299967525358,1.2757704460719714,0.010288890423008974,0.033291253224138374,0.23721211852940827,0.11303124489548959,0.10785061515664741,0.09301594924966317,1.1902559985374956,0.23315714647299046,0.1320172080277866,0.6999,0.0,0.0,0.0013306777213238914,7.299443492744661e-05,8.515405280126217e-09,0.030250027730823786,nan,nan,nan,mca
