elec_steel_fab,elec_rolling_hss,steel_sheet,elec_steel_rolling,steel_slab_toHSS,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, hollow section.wf","fabrication, hollow section.elec","fabrication, hollow section.trans_co2","rolling, hollow sections.elec","rolling, hollow sections.heat","rolling, hollow sections.trans_co2","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
Electricity; at grid; consumption mix - Public Utility District No. 1 of Chelan County - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Green River,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.035952693109821625,0.19210132464198257,0.049329540383810364,0.24770660650949944,0.8640893700107632,0.00996858446161555,0.0337728814510034,0.8596290548461378,0.9574612204951135,0.025740428471290405,0.6466520542633621,0.010095266179567639,0.5128230718883208,0.12006378294010804,9.719128599370784,1.2673465102193384,0.010395345572402098,0.019660615961535843,0.12742583720133133,0.12017641767653062,0.041913239318284626,0.05839676792160773,1.0410826004602063,0.09606894470782729,0.22462884922429233,0.7977,0.0,0.0,0.001472818207533936,0.00010418781864779736,9.574372628027698e-09,0.04401269567195511,0.8035,0.8194,0.8028,mca
Electricity; at grid; consumption mix - Public Utility District No. 1 of Chelan County - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Green River,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.04492201292431303,0.19512407034623186,0.04260065376647069,0.10128608080360196,0.6441160835040851,0.009801671609872257,0.034128433532221863,0.8158520236918816,0.9277380364904212,0.04912153063026756,0.5652485639937757,0.010427735142584127,0.4822097271369687,0.11914443498169602,9.55189282160388,1.2838688924652533,0.009521793438298204,0.027608943696388312,0.14225416611869296,0.05992096529836624,0.07392820954631035,0.08103683788884145,0.8565464305286005,0.1245803719196686,0.3047694963690297,0.6847,0.0,0.0,0.0011361992428750326,8.769292008047741e-05,7.433809852727741e-09,0.03599266311149635,0.6894,0.7027,0.6889,mca
Electricity; at grid; consumption mix - Public Utility District No. 1 of Chelan County - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Green River,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.026254398961183784,0.19899404058443504,0.04503191198079498,0.19318245889618357,0.5360419003166181,0.010403364391860254,0.0393982673633456,0.8552610322812177,0.9358553218962291,0.01704755942735008,0.4796922259440093,0.00969092316696341,0.4954163407430299,0.12493956553270981,10.174921846434327,1.3026449377098432,0.009702214908456568,0.02585603167402046,0.09907627211544359,0.1345822238190244,0.05175292318412328,0.08126008677918992,1.0104104000903353,0.13099191256579937,0.4231185490900193,0.7126,0.0,0.0,0.001213060324728504,8.813166621957463e-05,8.561391302387995e-09,0.03555642986044018,0.7172,0.73,0.7166,mca
Electricity; at grid; consumption mix - Public Utility District No. 1 of Chelan County - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Green River,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.022542684847893783,0.21881718414171986,0.05255665021488113,0.2752595661949377,0.9521687617616403,0.01046895829226058,0.0348174638657392,0.7415358796795801,0.9197064699433389,0.013245995894406786,0.5334587478691557,0.010432105643734011,0.5266144268492401,0.12188994266994915,9.46472659830871,1.2352243133888163,0.009674409381548248,0.04384839271599214,0.14919276456120859,0.10165563967053423,0.0800540955149632,0.059058659394291516,1.0715066173635175,0.13748578578896478,0.2953116805839454,0.8393,0.0,0.0,0.0014456551526182307,0.00010145039163611563,9.926027835763764e-09,0.04143327645588839,0.8446,0.8594,0.844,mca
Electricity; at grid; consumption mix - Public Utility District No. 1 of Chelan County - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Green River,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.07820204511193125,0.18657110140129401,0.05896327928088823,0.2216773958197797,0.9843903759830832,0.010492426832870029,0.04023990885070858,0.9259423180398129,0.991406710358134,0.03058781851554533,0.6403812739992754,0.01010504282109414,0.5223106727322333,0.12266702041708366,9.76724968368984,1.3394701389494847,0.009803678035565372,0.034718653002021996,0.2327916363259293,0.11763626534288081,0.07469267376735196,0.09828994008997846,1.0190803616278175,0.14375018320612493,0.3367637253907657,0.7784,0.0,0.0,0.0014829423365348641,0.00010515253111225266,9.390820784455409e-09,0.045017506632166526,0.7844,0.8011,0.7838,mca
Electricity; at grid; consumption mix - Public Utility District No. 1 of Chelan County - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Green River,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.05297060546603769,0.1964635712360539,0.05102110035655623,0.27672229400694953,1.0367678048625333,0.010162412835006851,0.04243744464196106,0.9704071783799524,0.9470543146852992,0.03657974416868092,0.3737520216627481,0.010218403881513235,0.5240552373177163,0.11807088118579749,9.60721910941785,1.3171159486354291,0.010079710444799748,0.026329358306161343,0.15018808276490628,0.06791737421669189,0.05153415173295035,0.07822921545718442,1.198329086099641,0.13714020298677104,0.444015242950353,0.7988,0.0,0.0,0.001393387767912187,9.637084301655026e-05,9.871823303859356e-09,0.038612289660075946,0.804,0.8183,0.8033,mca
Electricity; at grid; consumption mix - Public Utility District No. 1 of Chelan County - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Green River,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.06371425117542856,0.19006314090822923,0.045680958935550936,0.27434052212880783,0.4856237692957731,0.010051652350887324,0.03280144518774483,0.9852684652115087,0.9711170882209462,0.033962808849607444,0.5761515945693361,0.009685746709991108,0.5317027857062149,0.12375655822956175,10.155145548684368,1.351100002987352,0.009785939406900236,0.046316743897779504,0.007475880885060139,0.11092991156169371,0.06802146640631102,0.108037620427515,0.933834498676406,0.1202409420339885,0.3121517802884195,0.765,0.0,0.0,0.001463201353211887,0.0001017762403812649,1.0017213253892744e-08,0.04249120616329548,0.7704,0.7855,0.7698,mca
Electricity; at grid; consumption mix - Public Utility District No. 1 of Chelan County - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Green River,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.04198853720644444,0.20343496567502223,0.05289052173609176,0.12623299840105612,0.7325030986350676,0.009538182830028864,0.03874836466721499,0.8061091355239582,0.9706733455256514,0.018338248686024704,0.4582217850482376,0.010263793204907093,0.4821220415093799,0.12547609820757463,10.141834659030188,1.2412790760947834,0.010487219474861727,0.031406086405021474,0.09729357572169975,0.10678582180164281,0.07137660736873765,0.0954734537068676,1.1162466061535326,0.14581567897146866,0.33862909941094654,0.6196,0.0,0.0,0.0010767585505909371,8.097606821226134e-05,7.353729272434005e-09,0.03303595516363345,0.624,0.6365,0.6236,mca
Electricity; at grid; consumption mix - Public Utility District No. 1 of Chelan County - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Green River,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.07068047333113256,0.20551449824196458,0.05823739596398361,0.23332785563892722,0.6943334290283097,0.009868570274803002,0.03727078913061589,0.9014524914646087,0.9306378091925511,0.03411926785246886,0.41952773584496067,0.009951444342951513,0.4924796037936239,0.12136553404443537,9.728876719575663,1.2648715547709903,0.010165133392334536,0.03241968447359199,0.20267125681582632,0.13869951887891704,0.060445345249707134,0.10736048339816315,1.0519029024655946,0.15831420693569473,0.46690112982144316,0.7964,0.0,0.0,0.0013248872103037317,9.42100055847728e-05,9.485590964512594e-09,0.0375757009445348,0.8013,0.8149,0.8007,mca
Electricity; at grid; consumption mix - Public Utility District No. 1 of Chelan County - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Green River,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","coal extraction and processing - Central Appalachia, BIT, Processing",0.04802085194883486,0.19534258007813957,0.053125370780301974,0.245156398334989,0.7122349207259122,0.00993830875239735,0.03311534312978969,0.7882723397883415,0.9274342628214329,0.019541403765090545,0.45112059895407564,0.010276173690434463,0.49183717696575385,0.12553401200396902,10.37353560954237,1.2493465546601163,0.010067046374259881,0.03225391701368923,0.1735864852417075,0.09519621861048225,0.06949047941498591,0.10946507551148167,0.9650107557711072,0.11222820953996478,0.4479048918950519,0.7811,0.0,0.0,0.001327684951956109,9.411220931769696e-05,9.486351750512793e-09,0.03773164424798516,0.786,0.7994,0.7854,mca
Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Public Service Company of Colorado - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - PacifiCorp East - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"coal extraction and processing - Central Appalachia, BIT, Surface",0.04394238773799051,0.2153809699966889,0.04974285524223837,0.16341229580912545,1.0317673975030206,0.010316847282864978,0.034125139620150347,0.97602486364818,0.9402954485629836,0.030063807866491134,0.4185924894305919,0.010306752316291686,0.5035988257502955,0.12084431235369791,10.01525054667046,1.303156597424116,0.00971964190927138,0.024120723230123105,0.20423347179364237,0.13907792410195494,0.060689840940553456,0.03992997999943137,1.3412812905606482,0.11255752795908486,0.33885981220775213,0.7746,0.0,0.0,0.001243112138060905,0.00010241576862014671,8.311633545839689e-09,0.03211067329968973,0.7789,0.7907,0.7782,mca
