providers_electricity,providers_heat,providers_slab_steel,providers_iron_forEAF,providers_iron_forBOF,providers_naturalgas,providers_coal,"fabrication, hollow section wf","fabrication, hollow section elec","hot rolling, slab elec","steel production, EAF scrap_pct","steel production, EAF wf","steel production, EAF kWh_EAF","steel production, BOF scrap_pct","steel production, BOF wf","iron production, blast furnace co2_kg",gwp,ap,ep,odp,pocp
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - East Texas,"coal extraction and processing - West/Northwest, WC, Surface",0.06475010726551812,0.07522245195519349,0.035391461935616084,0.9469036294995079,0.03212082282944348,0.5865717708123328,0.14820873330237866,0.10691150359402718,0.8417635838762817,1.2214,0.0032594927939720558,0.0011967589242121988,3.0110232326756966e-08,0.0683478451349249
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, WC, Surface",0.07206395583480577,0.07650997461758523,0.034527917518872075,0.9537181482087176,0.03566720550258527,0.5714869334231274,0.16431491395756542,0.06010643319263026,0.9010572783058243,1.3025,0.003937302625059149,0.0012427653002787514,3.012397444098331e-08,0.0912511448979193
Electricity; at grid; generation mix - Bonneville Power Administration,"heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Arkla,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.07840237541546788,0.07378293948209258,0.03630063762672997,0.922703209078039,0.04758007954892239,0.5497586602908175,0.1505058493896351,0.090515016091141,0.8256086748629787,0.8155,0.002562370752635292,0.0012082664263494034,2.669479952886275e-08,0.05861649892044012
Electricity; at grid; generation mix - Southwest Power Pool,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - East Texas,"coal extraction and processing - Northern Appalachia, WC, Processing",0.08839938904994188,0.07418094811757867,0.04318819632167867,0.9480681627887129,0.03527311621399049,0.5852741311901526,0.149032775359553,0.1302480439659086,0.9019411344221063,1.3263,0.0035793229216059025,0.0012041706806090768,3.690879155370394e-08,0.07415775172755747
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, BOF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Illinois Basin, BIT, Processing",0.050809317848541195,0.07551586696278711,0.03698848604920084,0.9569956333323744,0.01548644080654896,0.669773937670888,0.1549350966104241,0.08661916947913825,0.8907685194192017,2.1093,0.006931471558399755,0.0036448128061268583,7.049798786873746e-08,0.11369473314562237
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, BOF","iron production, direct reduction, ENERGIRON","iron production, blast furnace",natural gas extraction and processing - Fort Worth,"coal extraction and processing - Central Interior, BIT, Surface",0.05137807570625614,0.07443555041739561,0.03250927025833655,0.9210938312025468,0.01377633821565974,0.4738698077065302,0.14970911977728055,0.0519678140045699,0.8380869690268542,1.9899,0.006762914190592527,0.0036131152709557753,6.86362901226257e-08,0.11171403761009373
Electricity; at grid; generation mix - New York Independent System Operator,"heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Green River,"coal extraction and processing - Southern Appalachia, BIT, Underground",0.0895713081630539,0.07416252334375853,0.03859024014648303,0.9582235813602633,0.028307775967781175,0.5246952532368654,0.15067331207064907,0.05097232851310812,0.8834903799979841,2.2656,0.006824047149792862,0.0037341874375318284,6.903049101806237e-08,0.11153902356029732
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Green River,"coal extraction and processing - Central Interior, LIG, Surface",0.07982980554345587,0.07555348613190588,0.03768570417321927,0.9719801864595029,0.023645561978654875,0.49422234903272577,0.14364200330695967,0.11325040509895623,0.8099527607097631,2.0174,0.007152459460106358,0.0037752584848924618,7.144580099368083e-08,0.1211861961052611
Electricity; at grid; generation mix - PacifiCorp East,"heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Gulf,"coal extraction and processing - Powder River Basin, SUB, Surface",0.08214434815327254,0.0770096561049568,0.03518156249954875,0.9399858508637109,0.041215339110124614,0.6093551280900981,0.1500906176369328,0.05382230386616883,0.8789144962233301,1.6667,0.0046388038029555444,0.001291818828517344,4.373903653391512e-08,0.11114981352887429
Electricity; at grid; generation mix - Tennessee Valley Authority,"heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - San Juan,"coal extraction and processing - Illinois Basin, BIT, Underground",0.08102572860294223,0.07620858765381792,0.04269371265118606,0.9894670778483394,0.02133156383533135,0.5636207867652081,0.1496569857022088,0.12571991982937286,0.8935716770117724,1.1632,0.0030987850019291887,0.0011613219408488902,2.8794086040002088e-08,0.06809121708221264
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Arkoma,"coal extraction and processing - Central Interior, BIT, Surface",0.08326226288117652,0.07693295379918494,0.03558671498657895,0.923867192469573,0.015652556819448764,0.49844903238005533,0.14586588874631864,0.06391965370607292,0.8593071359903716,1.2183,0.00366445150523832,0.001226770495900947,2.8436901142535207e-08,0.08752396085378394
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON","iron production, blast furnace",natural gas extraction and processing - Arkla,"coal extraction and processing - Northern Appalachia, BIT, Surface",0.057754983176553504,0.07531512508991768,0.043885806174075524,0.9635232422417742,0.03501427633916317,0.49197702814256966,0.1402815402915148,0.07685191033257935,0.8027084404290156,0.9051,0.0025313604805308897,0.0011426579442089108,2.1232842789642407e-08,0.07626087375472917
Electricity; at grid; generation mix - Bonneville Power Administration,"heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Arkla,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.07252391064537606,0.0755464130247476,0.033734818187365734,0.91583492077791,0.014045139653453567,0.625051618878356,0.1539414083532414,0.09695729318203314,0.9132174853693299,1.9445,0.006766806442974426,0.0037088216082142534,7.008224755439118e-08,0.10824082488015573
Electricity; at grid; generation mix - JEA,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Processing",0.07067885319708737,0.07690795905604092,0.04152208494724455,0.9471337060578773,0.027534651365887404,0.5213857278613107,0.1493652683401394,0.11278049151733036,0.9025490901572226,1.6096,0.003950811074548409,0.0012091646178424814,3.462978310598993e-08,0.08756238450086895
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Green River,"coal extraction and processing - Rocky Mountain, BIT, Processing",0.0715649389510987,0.07722843016113305,0.042565764345813974,0.9922157393041356,0.011119672156158092,0.44046207599050835,0.1517747080410663,0.08166182323745022,0.8790051672340362,1.2616,0.0035592752927056863,0.001169673257908409,3.5068645489858904e-08,0.07680068328383512
Electricity; at grid; generation mix - ISO-NE,"heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Anadarko,"coal extraction and processing - Central Interior, BIT, Underground",0.08845434693417237,0.07592152767110417,0.04205116712377911,0.9155078826095105,0.02926830881175499,0.5217485961442366,0.14440941853961656,0.1259519779745221,0.9993986826040558,1.1835,0.0031326555948061052,0.001265775927997611,3.2300889272038945e-08,0.07495485010298707
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Gulf,"coal extraction and processing - Southern Appalachia, BIT, Surface",0.06280227462273347,0.07543647677142913,0.04483598010157031,0.9620068853713897,0.0110387837279379,0.4141373199658033,0.14112088301374437,0.0524491441025439,0.8629932919277237,1.1551,0.003636846168541306,0.0012086312660923584,2.804816776677742e-08,0.08671094119169545
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, BOF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Northern Appalachia, BIT, Surface",0.07742235924912284,0.07379901812137436,0.040077742715653036,0.9206078451859709,0.022572159457067115,0.5528420616958356,0.14936224490958555,0.08131323451278338,0.7588369810257201,1.9691,0.007054228665638308,0.003728777938138221,7.172595191251852e-08,0.1121646193902089
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Green River,"coal extraction and processing - Lignite, LIG, Surface",0.08605354427065995,0.07726744230277827,0.03514840443293216,0.9615598617541464,0.027630928247959034,0.5316675403417246,0.14397664303828234,0.0952483813747331,0.930958394489783,1.2101,0.0029559154268298206,0.0011862515861675443,2.766726401702466e-08,0.07315157733486037
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, BOF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Gulf,"coal extraction and processing - Import, BIT, Underground",0.08615402762716526,0.07688414830124189,0.03731651731223619,0.9530111502700233,0.025884674938006336,0.5731614732359472,0.14438079492141287,0.11868489245781728,0.851627491350645,2.3487,0.008056294694517125,0.003837368288219801,7.822649118964015e-08,0.13649685887053364
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Green River,"coal extraction and processing - Northern Appalachia, BIT, Processing",0.08964044744007327,0.07615074260312672,0.04149004056904167,0.916783119071029,0.026872594265939118,0.6041296652559869,0.14691099536521432,0.12252855038436211,0.9448945492608289,1.5549,0.004433892109491805,0.0012993075113276367,4.257636124112363e-08,0.091496741412068
Electricity; at grid; generation mix - Public Service Company of Colorado,"heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Gulf,"coal extraction and processing - Central Interior, BIT, Underground",0.07251153692890056,0.07702645736340732,0.03967116423264107,0.9480169421307445,0.03186322044376277,0.5032627838734103,0.1481824156835011,0.052046780269682874,0.913497957490235,2.2279,0.00725345341707165,0.003709732029554741,7.19091759465574e-08,0.1246703944076669
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON","iron production, blast furnace",natural gas extraction and processing - Strawn,"coal extraction and processing - Southern Appalachia, BIT, Underground",0.07815106684425106,0.076255249479486,0.04316809670363676,0.9150997311386572,0.04117196253722581,0.5819094835312992,0.14381523342426208,0.1259190010178411,0.8768186602462413,1.2552,0.0038077138991135413,0.001233276566010102,2.908166211875824e-08,0.09050887267087006
