"elec_steel_fab","elec_rolling_hss","steel_sheet","elec_steel_rolling","steel_slab_toHSS","elec_EAF","iron_forEAF","elec_DRI","natgas_DRI","elec_BOF","iron_forBOF","elec","coal","fabrication..hollow.section.wf","fabrication..hollow.section.elec","fabrication..hollow.section.trans_co2","rolling..hollow.sections.elec","rolling..hollow.sections.heat","rolling..hollow.sections.trans_co2","rolling..slab.elec","rolling..slab.heat","steelmaking..electric.arc.furnace.scrap_pct","steelmaking..electric.arc.furnace.wf","steelmaking..electric.arc.furnace.kWh_EAF","steelmaking..electric.arc.furnace.trans_co2","ironmaking..direct.reduction..MIDREX.co2_kg","ironmaking..direct.reduction..MIDREX.elec","ironmaking..direct.reduction..MIDREX.ng_mj","ironmaking..direct.reduction..MIDREX.ore_kg","ironmaking..direct.reduction..MIDREX.trans_co2","steelmaking..basic.oxygen.converter.elec","steelmaking..basic.oxygen.converter.scrap_pct","steelmaking..basic.oxygen.converter.wf","steelmaking..basic.oxygen.converter.co2_kg","ironmaking..blast.furnace.elec","ironmaking..blast.furnace.co2_kg","sintering.co2_kg","coking.co2_kg","gwp","gwp_be","gep_bu","ap","ep","odp","pocp","gwp_AR5","gwp_EF2","gwp_CML","sim_type","index"
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","natural gas extraction and processing - Appalachian","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Central Appalachia, BIT, Underground",0.0771,0.193,0.046,0.208,0.75,0.01,0.04,0.874,0.95,0.03,0.5,0.01,0.507,0.12,9.9,1.3,0.01,0.027,0.15,0.1,0.071,0.074,1.093,0.26,0.124,0.7659,0,0,0.00136868706391343,7.28045671399881e-05,7.13979279491577e-09,0.0276612887480905,NA,NA,NA,"base",1
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - New York Independent System Operator - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - ISO-NE - BA","natural gas extraction and processing - Strawn","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Northern Appalachia, BIT, Underground",0.0784986658179752,0.195046671566188,0.0504773605759924,0.18125418792651,0.774220473183967,0.0101780476758202,0.0420264163698417,0.884002350321038,0.924999700871294,0.0213264493194769,0.392379733872476,0.01024978808251,0.48985883333364,0.122321888003794,10.3188403252588,1.3521814042233,0.0101076351511303,0.0231401070931558,0.12264223772703,0.079429236861679,0.0451010561894605,0.111241827505867,0.913272461265656,0.340173822802488,0.123968721088356,1.0245,0,0,0.00159827506325907,8.35991009606393e-05,9.70052356040575e-09,0.0345275304779088,NA,NA,NA,"mca",2
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - New York Independent System Operator - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - ISO-NE - BA","natural gas extraction and processing - Strawn","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Northern Appalachia, BIT, Underground",0.0576189196303331,0.193709846465117,0.0572625854656574,0.245847506095896,0.686819502239498,0.00967106392711222,0.0338772704387964,0.890896072039732,0.927756635032717,0.0369016458936234,0.56499618708546,0.0100452548296639,0.504496042316112,0.122705823767901,9.78653634989483,1.33780390944965,0.0103701070551543,0.0298081797335191,0.0133276111266417,0.146391579110216,0.0629463434422589,0.0758568081155848,1.37685179678163,0.345715532693917,0.115109745267527,1.2476,0,0,0.00191959832459278,9.92105670647386e-05,1.2101239895907e-08,0.0405588088453999,NA,NA,NA,"mca",3
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - New York Independent System Operator - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - ISO-NE - BA","natural gas extraction and processing - Strawn","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Northern Appalachia, BIT, Underground",0.0669617236370937,0.191658426102574,0.0591780433533511,0.146357222727178,0.82616991538514,0.00971000127869678,0.0439667690034823,0.90523071812544,0.959455282888631,0.0417812553979012,0.408987752035383,0.0102165072755237,0.511805601887285,0.118563587789672,10.2376722195022,1.30466834438465,0.00967497763735192,0.0304450991817106,0.213373663624633,0.110472890179557,0.0616767150805537,0.076841001560306,1.23505594788688,0.355481237046104,0.110861423428889,0.9636,0,0,0.00151260770224548,7.94113241954294e-05,9.31203048083647e-09,0.0327394365979353,NA,NA,NA,"mca",4
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - New York Independent System Operator - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - ISO-NE - BA","natural gas extraction and processing - Strawn","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Northern Appalachia, BIT, Underground",0.0582262498365303,0.188272985399981,0.0522230377012726,0.16954939862177,0.551474599141196,0.0099442428449301,0.0393295831887421,0.875252478968974,0.953742113422197,0.0232705625587983,0.518019306890201,0.0102853576218004,0.486822121025712,0.121347687103448,10.3363461302685,1.29530227256338,0.0096156348321982,0.0246888525820064,0.154664221711028,0.0735892553419252,0.0950373992417964,0.057980837887646,1.06375700245082,0.315250253369226,0.136121493947325,1.0474,0,0,0.00165918949723244,8.57527153911124e-05,1.07260659748493e-08,0.0348706238790437,NA,NA,NA,"mca",5
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - New York Independent System Operator - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - ISO-NE - BA","natural gas extraction and processing - Strawn","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Northern Appalachia, BIT, Underground",0.0638921360263687,0.203407593734957,0.0504187794935939,0.227786231011062,0.701496326803431,0.0101035323691265,0.035331034138175,1.03117061258414,0.940895342822862,0.0339905279604151,0.363938290420626,0.0103060300659224,0.50506826767064,0.116147731513764,10.3427255411743,1.2579710107302,0.0103832066381137,0.0405204695497739,0.273166878682232,0.142203217039436,0.0605494604897067,0.0832316122847489,1.04008496309637,0.262044588133052,0.114757920728793,0.9942,0,0,0.00162891791572155,8.53499675089763e-05,9.6325417459738e-09,0.0355553721459585,NA,NA,NA,"mca",6
"Electricity; at grid; consumption mix - PacifiCorp East - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","natural gas extraction and processing - Gulf","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","coal extraction and processing - Illinois Basin, BIT, Underground",0.0608957280986685,0.216974394097417,0.0576288530728472,0.181002009550207,0.662366337777944,0.0103737366084001,0.0432762435662282,1.00149965284035,0.947347917648159,0.0114383048913958,0.504102719177595,0.00962130924223723,0.517437103756802,0.121635116677503,10.2508655617358,1.25025174040184,0.00968721500730029,0.0299692512431526,0.141895762484827,0.0787386296771421,0.0979338294721764,0.0641732065068643,1.14620701021342,0.403575824977084,0.102491141029914,0.9227,0,0,0.00170548750929949,9.53012551528862e-05,1.11532418121902e-08,0.0414360653848806,NA,NA,NA,"mca",7
"Electricity; at grid; consumption mix - PacifiCorp East - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","natural gas extraction and processing - Gulf","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","coal extraction and processing - Illinois Basin, BIT, Underground",0.043163061519653,0.196847113554005,0.0478597180479386,0.295073228372193,0.685577140555648,0.00997978280609826,0.0410582116747248,0.790367853538891,0.949796753412397,0.0201941167295652,0.44349012474682,0.0104222422984858,0.496429552676499,0.117933966202495,10.0787719820309,1.32840842955331,0.0100808897926921,0.024553523429103,0.12594734740613,0.0738960354288356,0.0569712021703849,0.0893914849352748,1.14016828414028,0.242651216137784,0.116832581339354,0.9131,0,0,0.00176414366648895,9.58973786996837e-05,1.19935845226242e-08,0.0414377704830023,NA,NA,NA,"mca",8
"Electricity; at grid; consumption mix - PacifiCorp East - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","natural gas extraction and processing - Gulf","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","coal extraction and processing - Illinois Basin, BIT, Underground",0.069472733926367,0.187163754368159,0.0549336608673992,0.136281857642938,0.879295853475192,0.00975444630530787,0.0396813153786323,0.838153030651467,0.99297241023975,0.0475061882323824,0.498541761878126,0.0100967785664153,0.50256281907732,0.120401312566039,10.2104486729344,1.36409843071045,0.0101425691663143,0.0313282855905024,0.226115052060773,0.112852471346816,0.0253669726986436,0.0492767184378462,0.967416006157537,0.46023139745646,0.130361558282384,0.8212,0,0,0.00145765074045479,8.20044119896056e-05,9.76727014916444e-09,0.0351490454347437,NA,NA,NA,"mca",9
"Electricity; at grid; consumption mix - PacifiCorp East - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","natural gas extraction and processing - Gulf","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","coal extraction and processing - Illinois Basin, BIT, Underground",0.0612534030343521,0.212608925442038,0.04716655430286,0.197184284760804,0.937255327464167,0.00986001748489464,0.0355810383826259,0.831476977086357,0.951440295574157,0.0393736874909456,0.490980380847267,0.00992175493766995,0.482837709044791,0.116391048920779,10.2235786108134,1.35169624021849,0.0104644379851389,0.0330380747583153,0.0575915826130039,0.143476533249516,0.0883189618697183,0.0491745113482943,1.28018921636263,0.411880417260751,0.117604034179466,0.91,0,0,0.00170574379098255,9.52695800539909e-05,1.11100381601635e-08,0.0414411361511777,NA,NA,NA,"mca",10
"Electricity; at grid; consumption mix - PacifiCorp East - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","natural gas extraction and processing - Gulf","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Associated Electric Cooperative, Inc. - BA","coal extraction and processing - Illinois Basin, BIT, Underground",0.0335566171421597,0.16404705944616,0.0510509180858138,0.184164940718107,0.781259347132555,0.00981344738771977,0.0383569774881607,0.887368064811528,0.939992459618348,0.0401396160939103,0.526271081513161,0.0104466162120814,0.509549580097725,0.114446686156112,10.1331862443536,1.23868545058376,0.0103592996465386,0.0279614329332685,0.260176521791601,0.0706249227669584,0.101132732439584,0.113673280779456,1.12232784639419,0.462538908791415,0.134727546650301,0.8749,0,0,0.0016294263466101,9.22284122567292e-05,1.01568939797528e-08,0.0400962705963204,NA,NA,NA,"mca",11
