elec_steel_fab,elec_steel_rolling,steel_plate,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, plate.wf","fabrication, plate.elec","fabrication, plate.trans_co2","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,zinc production.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - Gila River Power, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - Rocky Mountain, WC, Surface",0.05514196893540397,0.17930615026975502,0.051295491300066526,0.0371414167561385,0.8635481024596359,0.8150988099524196,0.010085477526995802,0.6226301638626053,0.01042907238974436,0.4860537189271769,0.11858331001532281,9.62125390453347,1.2425325062332375,0.010316804472682822,0.025287530354291696,0.1540937351541873,0.07103624925755372,0.06942507040622906,0.07842496947467167,1.0822605636469689,0.138760542291082,0.23306168197634075,2.229424546827824,2.2346,0.0,0.0,0.00030333121407976677,1.9963972049876272e-05,2.6610971621069235e-10,0.010294412228613962,2.2362,2.2413,2.2362,mca
"Electricity; at grid; consumption mix - Gila River Power, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - Rocky Mountain, WC, Surface",0.06482056099804026,0.19152468115349228,0.041021122259323625,0.03273801676553714,0.84550640331648,0.7816168998839017,0.04181576719887164,0.4305430180272902,0.009909575629567938,0.5222016995353655,0.11752953299277424,10.181855271750438,1.2510238930496351,0.009577307490653705,0.024500947092561898,0.13850571783927207,0.1450072393024468,0.048222472893390655,0.09775269909604856,1.3002198328881225,0.12166802485202213,0.3053936030927137,1.7913206996815858,2.2502,0.0,0.0,0.0003228659391568531,2.127225429391437e-05,2.748944468372834e-10,0.010974611077221103,2.2519,2.2574,2.252,mca
"Electricity; at grid; consumption mix - Gila River Power, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - Rocky Mountain, WC, Surface",0.03613153650039875,0.2254563704605293,0.04100077110034958,0.042599374973617196,0.815994319084246,0.6732781687312013,0.02013013579054039,0.5649147323914115,0.009814848229736236,0.48285710045591307,0.11884502281454012,9.855979297798964,1.3041788502458822,0.010472003077535732,0.027837709932699253,0.15001836499820248,0.07223306441057074,0.06684977637480255,0.032855824178594284,0.9003579593679059,0.1123472126674658,0.26044592802212874,1.8151777516626648,2.2123,0.0,0.0,0.000376101330697764,2.4858887992285435e-05,2.909412968082347e-10,0.012844549969645598,2.2143,2.2207,2.2144,mca
"Electricity; at grid; consumption mix - Gila River Power, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - Rocky Mountain, WC, Surface",0.06930999869120957,0.19312253449616848,0.04025702870142583,0.033986682882366254,0.843152806890618,0.7288683050477289,0.04602217234244204,0.47642106219182623,0.010231093117469097,0.5030317250279582,0.1157038063222071,9.582536971817206,1.2523451526574283,0.009688390517889568,0.025345709344658376,0.1484445336316933,0.09928827687606587,0.06036111980532034,0.04049553875403223,1.0035041962654592,0.13155105633734207,0.3687749282848448,1.233555370546021,2.2591,0.0,0.0,0.00032547937243831656,2.144604311474067e-05,2.76527617797858e-10,0.011064666106441837,2.2609,2.2664,2.261,mca
"Electricity; at grid; consumption mix - Gila River Power, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - Rocky Mountain, WC, Surface",0.06292291426918019,0.22548548554472803,0.04508868178210887,0.033077546779850815,0.9089507014918624,0.5523166140287379,0.04798803243119053,0.4371947077917861,0.010198848154797099,0.5183535459330193,0.11833513325133956,10.302030338857449,1.2709415302160099,0.010460181226002748,0.02649059753392321,0.14379472563357734,0.14707689491951664,0.07365248352517005,0.0692657842882835,0.851672958290323,0.11528358792283608,0.4271486537324209,2.4236996407860762,2.2693,0.0,0.0,0.0003766362879602031,2.488443229035333e-05,2.9498416005829227e-10,0.012855333022529017,2.2713,2.2777,2.2714,mca
"Electricity; at grid; consumption mix - Gila River Power, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - Rocky Mountain, WC, Surface",0.05864059511605159,0.20265751473800095,0.044672205817470556,0.04217288219364351,0.9303157193473357,0.6147576358383058,0.04805133044448387,0.5128130425443422,0.009977343988305507,0.5250668807067815,0.11452887509005441,10.264769077333693,1.2491617620736752,0.009745964603793206,0.02709839480844394,0.1477087479076803,0.11326257300991695,0.0568386429195167,0.10561372592708823,0.9857156445181167,0.1335559877110657,0.41462085021543554,2.196074041919032,2.2478,0.0,0.0,0.0003403912144730965,2.245172102560077e-05,2.8064506872447495e-10,0.01158923606921696,2.2496,2.2554,2.2497,mca
"Electricity; at grid; consumption mix - Gila River Power, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - Rocky Mountain, WC, Surface",0.0363268043517723,0.20862041157370553,0.056550330749568,0.03858758868130919,0.9332516823668116,0.6447974935670435,0.02061485418636983,0.5534124363858078,0.010028006249360347,0.5074554361482781,0.11645059734924246,10.291531762234083,1.2563869052620207,0.010356874126166631,0.038348374268351734,0.1547412128554939,0.053404822489133176,0.0477830629161989,0.04486999238857381,1.2187318679789838,0.1168743301960882,0.31815858103230105,1.8693087983891816,2.2189,0.0,0.0,0.00034943125232701744,2.30675378623524e-05,2.8086987770542736e-10,0.011911932987235084,2.2208,2.2267,2.2208,mca
"Electricity; at grid; consumption mix - Gila River Power, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - Rocky Mountain, WC, Surface",0.07656453495288541,0.18636618144010544,0.04341308599992526,0.03271664182126891,0.9373840544387125,0.592511639327537,0.022853894700715867,0.4628495430524905,0.01048032088815883,0.4966634473350202,0.11554094650223472,9.96628444732397,1.2971261862992023,0.009898543633139145,0.042394479927365364,0.14662149212346282,0.0867913958614831,0.07100248102447898,0.08997132223648552,0.8936996328136082,0.09881846764037044,0.26573033775930327,1.8111462011136088,2.2729,0.0,0.0,0.0003149074737670749,2.073317779420104e-05,2.73564125614755e-10,0.010692858581067732,2.2746,2.2799,2.2746,mca
"Electricity; at grid; consumption mix - Gila River Power, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - Rocky Mountain, WC, Surface",0.06858535122847148,0.20552087552699064,0.057709804254885304,0.043310994842117256,0.7751950842526834,0.7700236504827853,0.03293761816638856,0.4896047799160795,0.009710631546321671,0.5303433589608992,0.12068664282507512,10.161588944317764,1.2977006363113546,0.010277836908748322,0.045690573565695745,0.15172389303360848,0.05851598784743878,0.03658202217188516,0.08127556661103444,0.8393369754607443,0.09499885189248305,0.3183130476769255,1.4741676697720532,2.282,0.0,0.0,0.00034510916015786887,2.2764742980771427e-05,2.838571424998412e-10,0.011751265324419771,2.2839,2.2897,2.284,mca
"Electricity; at grid; consumption mix - Gila River Power, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Nevada Power Company - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - Rocky Mountain, WC, Surface",0.07635931235721012,0.20498026921651072,0.042669577379013994,0.03689588584403606,0.9011150206864309,0.5602915106701523,0.03226493946570814,0.4698454604316779,0.010364661573864281,0.4984012297793791,0.11739949787915639,9.459965481924757,1.250942511751954,0.009715011338631698,0.03001215419365531,0.14498715086362282,0.14362401389694976,0.10205588372778705,0.0891532863652029,1.0631167167842086,0.1361036562970822,0.3372281677187593,2.318192169972406,2.282,0.0,0.0,0.0003443945056804984,2.2713730209642173e-05,2.84700840035247e-10,0.011723977507353236,2.2839,2.2897,2.284,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,natural gas extraction and processing - Strawn,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Ohio Valley Electric Corporation - BA,"coal extraction and processing - Rocky Mountain, SUB, Surface",0.06426595375696971,0.1829873239349378,0.055961006519629736,0.032109254703517776,0.8865080907072913,0.7415562743932987,0.018285073439239588,0.581735901839481,0.009529640951637084,0.5165799696381814,0.11495981265365823,9.863685005942388,1.2727914066889374,0.009630322724651984,0.02676556314026226,0.14435222118888114,0.07771902921563995,0.09355225474436407,0.05770370280642838,0.9923155647988287,0.10064542987286021,0.2590672113242196,1.2757604281497665,1.5937,0.0,0.0,0.002410908629759496,0.00012712203362937686,2.5209416004262936e-08,0.0464381297501381,1.6029,1.633,1.6029,mca
