elec_steel_fab,elec_steel_rolling,steel_plate,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, plate.wf","fabrication, plate.elec","fabrication, plate.trans_co2","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,zinc production.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.06535384372205506,0.18335637490280063,0.05417654178406288,0.04131835419435713,0.8825704396189586,0.6093771403901896,0.03726351997572023,0.5228814863331197,0.010296543668492985,0.5184761639459305,0.11471060073560702,10.185851929462121,1.28187508611293,0.010115635289069906,0.05129451262880784,0.16547954078052568,0.0727865720754132,0.04408718943515076,0.05264589479367621,1.1511387762928367,0.11992856353309925,0.25740413657881134,1.751911824139567,2.374,0.0,0.0,0.0015930157224745113,0.00013691303013457516,1.29145961052404e-08,0.03931198693817742,2.4351,2.5036,2.428,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.05708991642777045,0.16874462338469845,0.04133877808879036,0.034742254206117214,0.9264345887144599,0.6587336738112649,0.026548148444889376,0.6623580922532877,0.009959672574199633,0.5121140643180263,0.12354656261769857,9.868669188369545,1.2706848281075334,0.00995106950158443,0.027359279400691768,0.16039857188784373,0.11407857570286924,0.08191097048392414,0.08356909778841382,1.3094931160988783,0.13972046928693563,0.27749919668026213,0.9929026378176958,2.6345,0.0,0.0,0.001672302839715914,0.00014164352549964017,1.3466950490321006e-08,0.04069905961368141,2.6978,2.7688,2.6905,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.050760737987673055,0.18981458518037042,0.045912829672280144,0.04275463845926331,0.8818981955808979,0.6138817790738401,0.030992632061830026,0.4855635833521007,0.010404827041995262,0.5086977661018629,0.11800071246225359,9.85630367154232,1.2529296434286392,0.00959449345909354,0.020832371089002894,0.18085487550506524,0.1302986928885499,0.07856611534253796,0.06125479896040717,1.1867133629482385,0.11299927520237431,0.34456507610837894,1.6312044934010785,2.532,0.0,0.0,0.0016289783951647615,0.00013925713929877239,1.3083514148911407e-08,0.040131771121698454,2.5942,2.6641,2.5871,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.05249494661699749,0.22828408615100335,0.05157567887864915,0.03334811105851976,0.8894300922116704,0.6524853406312059,0.02330528904585887,0.47187157448589406,0.00998185788215643,0.49818096284560076,0.11418671436853053,9.535769091340299,1.2921237324439443,0.009983119294209987,0.02806927983000556,0.24502423502970125,0.12706262889643305,0.08849811302142546,0.029484365110783978,1.004569358629109,0.14060574515962515,0.43949544668198803,1.0181876360669992,2.3047,0.0,0.0,0.0015162868822131796,0.0001315804513096375,1.2204933118887153e-08,0.03831840765908392,2.3624,2.4271,2.3557,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.05258567277868716,0.16974398913790434,0.05731731674194307,0.04187944234833142,0.8665919478067836,0.6663053996669113,0.046330863640793224,0.4722956575530778,0.009731956325707216,0.5010437238718006,0.11935119854316249,10.01266799150601,1.2556813977614392,0.010128599306623402,0.04286740447675786,0.2013373136538872,0.09229304563543059,0.08506075617822867,0.060707521243902024,1.400264872877577,0.1372374664294021,0.3883945203241048,1.9954802120784207,2.6688,0.0,0.0,0.0015512313747517192,0.0001329234620186035,1.2707199163283118e-08,0.038112305002185716,2.7276,2.7936,2.7208,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.0714327551331802,0.19153723330804812,0.05755328881751348,0.04346670924726374,0.7775354088726336,0.8923800688754012,0.01804329199818106,0.5650811957211885,0.009967855522824295,0.5048483683278715,0.12356437701209284,9.950258157807912,1.2719433917908185,0.009558370832536174,0.03180953387027095,0.1926503584468923,0.13277212554385673,0.07269269376823985,0.10152107440296293,1.3102651248737627,0.13212201552342043,0.2935252084932657,1.5787196092721074,2.6625,0.0,0.0,0.0017054158529731377,0.00014315527035413413,1.385884713306337e-08,0.041472198647890424,2.7253,2.7958,2.7181,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.07658410642146456,0.19646110208272782,0.05705881175295574,0.041749438947971354,0.9236251490032205,0.8577588018878762,0.04419626381369625,0.5906986801045142,0.010398277691369062,0.48441303753668485,0.11578249091717803,9.834487582728036,1.2374171152566376,0.009951910102243928,0.03924525822235812,0.02621894249270947,0.12728629460809956,0.07948542413969137,0.06500727838461232,1.1465297598615487,0.13115541981361462,0.2615096798717751,1.2123316018213681,2.8656,0.0,0.0,0.0018850665521834714,0.00016060224352941094,1.4613427037433195e-08,0.045951713242791875,2.9405,3.0248,2.9321,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.07255535274851993,0.19295645069836018,0.05039901390982225,0.04314990213339803,0.8293173791918744,0.6968322792990093,0.02454505199020473,0.43812928065832124,0.010466840877131463,0.5214437583265958,0.11891794819102498,9.977886481265505,1.237892889619722,0.01020531004953484,0.03576531475630468,0.19413970910859701,0.10845657466646155,0.07195462713012443,0.07772960724639691,1.301095713328871,0.09882013274764237,0.34989096643046325,1.0998438433107496,2.6279,0.0,0.0,0.0016463515316543938,0.00013973055706539952,1.3376458284009812e-08,0.04041327169232926,2.6894,2.7584,2.6823,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.04641600765963125,0.16085084828790205,0.05604940965058202,0.04342880667242552,0.7770999719623145,0.7834395920119364,0.018219998489669216,0.42523438130303337,0.009757786416022648,0.4987432014133887,0.11886896170594938,9.606214692216671,1.2640042031687926,0.010348436556995196,0.04249450474089757,0.03225055179782805,0.13322700616811825,0.06629360889718157,0.06734370913231306,0.9998250390639307,0.15252056639554673,0.38477227416184956,1.7427317501972284,2.7628,0.0,0.0,0.0017959028778088053,0.00015331241066820217,1.419072336148322e-08,0.0432068800014315,2.8351,2.9164,2.827,mca
Electricity; at grid; consumption mix - California Independent System Operator - BA,Electricity; at grid; consumption mix - Western Area Power Administration - Desert Southwest Region - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, BIT, Processing",0.05830085991203625,0.17577093184792758,0.04229468362711614,0.038969101654276916,0.7450656252920619,0.6879127974625787,0.019183124830604515,0.41611584457020034,0.010260243712864015,0.49257837517108727,0.11492882069373493,9.968929671329274,1.3488417357211713,0.010160943703164579,0.03428311984470217,0.08330932164571889,0.14785698443785317,0.060989561453768236,0.09342884650665376,1.1124521793452238,0.1360700087509818,0.44931768979256476,1.5731151565844361,2.8994,0.0,0.0,0.001819835265805785,0.00015335381495070258,1.4490822231403707e-08,0.04371070208534858,2.9699,3.0491,2.9619,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"coal extraction and processing - Northern Appalachia, BIT, Underground",0.07387481542780663,0.1874773331733887,0.05229222756372417,0.03872019865166559,0.9012924146166719,0.6593530768231958,0.048243218083165826,0.3977325484038553,0.010430391379527604,0.5154122439387988,0.1185258039700806,10.083263803542364,1.3473310873024689,0.010192599126876707,0.026560005049470703,0.07985182376352831,0.06487208371533157,0.10653093544711975,0.08184009510989043,0.9358478950908001,0.12854121175863223,0.34116888824293323,1.2079739843556594,2.4832,0.0,0.0,0.0018287083152058183,0.00014622967494723945,1.5883141484448526e-08,0.03939980543735993,2.5546,2.6348,2.5464,mca
