elec_steel_fab,elec_steel_rolling,steel_plate,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, plate.wf","fabrication, plate.elec","fabrication, plate.trans_co2","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,zinc production.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
Electricity; at grid; consumption mix - Southwest Power Pool - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Powder River Basin, BIT, Surface",0.07008745316380473,0.20844196119453276,0.04562282712291891,0.043353964067171326,0.8605732142699758,0.6994985515256411,0.029441168535761904,0.4866075524220127,0.010264478492769458,0.49032899057325185,0.1148751386227276,9.417553288563676,1.3226257412907163,0.009739148355313707,0.030998649029631817,0.09279790679944355,0.13967951707717852,0.08167542385631413,0.07495008597979505,1.2895505592307757,0.10777698739626887,0.2596585951665747,1.7911890679311269,0.9517,0.0,0.0,0.001773654679397833,0.00012242605198399168,1.7287303339480186e-08,0.03754782156182968,0.9611,0.9699,0.9586,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Powder River Basin, BIT, Surface",0.03663341075608709,0.1982743759895672,0.05250633230840672,0.033017642168556016,0.9600426821258095,0.6507026783479656,0.04220389716647985,0.42520729371587496,0.009886674866148065,0.4972589231429581,0.12425364055260177,10.24117116696286,1.2422999904048653,0.010187357116237309,0.03645510996364444,0.1538576121525551,0.05193107397512614,0.07377019995410575,0.07107830916216042,0.9349651951782982,0.11676195581658042,0.378842902128927,1.8015398092287627,0.946,0.0,0.0,0.001736675604901861,0.00012302786947348513,1.627752707344783e-08,0.03825532787618855,0.9555,0.9647,0.9531,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Powder River Basin, BIT, Surface",0.06843937935843551,0.1973710794481714,0.046725535124798344,0.04026383706682951,0.8801599677747286,0.6020599360343809,0.03112246709750932,0.4099432434862427,0.010032653305629026,0.5142734745184485,0.12500542884995308,9.651554974138476,1.3534136796033924,0.009766707061127188,0.04299044496748526,0.09152831675005763,0.060814888695823036,0.02747154332528212,0.07361239004341813,0.9577460610410268,0.11844316653699932,0.25004244475943,1.3714383666984644,0.9946,0.0,0.0,0.0018157938891552089,0.00013063128764919407,1.6825983632195665e-08,0.040364553720951726,1.0045,1.014,1.0019,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Powder River Basin, BIT, Surface",0.054954383447864213,0.16924840524138487,0.04018305471125732,0.03247887918155196,0.9356309575806739,0.8589897646833459,0.03319094531453115,0.5097790453273527,0.010203895636863601,0.5060394968853922,0.11538317433446371,10.14720224298085,1.3002044515704694,0.009988393640833178,0.024636490718639603,0.0882953143851969,0.06795465983025997,0.0874112646482022,0.08566894420434587,1.0775348465658536,0.14218992771844424,0.2412147340266678,1.1060950755802894,0.8004,0.0,0.0,0.001503770675604413,0.00010069763327719136,1.6115205377099784e-08,0.030160193595015074,0.8083,0.8157,0.8061,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Powder River Basin, BIT, Surface",0.05249166377295072,0.18331937003615711,0.04390119121567197,0.04435334887276676,0.9757764196042846,0.6867614691874685,0.03524978541387696,0.5314347993882242,0.01035004110600827,0.5284376840277065,0.11776787916021456,10.193928844920277,1.265435673062655,0.009879755005177383,0.028801997206176093,0.12420507653661134,0.11650728351757149,0.0777587701867564,0.08386848798616243,1.1413268142820652,0.12231249773278538,0.2705049885566769,2.1960220416265592,0.9818,0.0,0.0,0.0018180003432489136,0.00012524683407518639,1.7083886769711855e-08,0.03906264359976404,0.9916,1.001,0.9891,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Powder River Basin, BIT, Surface",0.01454176349727596,0.1915263259323443,0.05207345028980074,0.04198051879914161,0.9463041680952626,0.6488264025271336,0.018842208877691325,0.5680111005111168,0.00972930961357284,0.5122901177237205,0.12089586306039415,9.666110469705444,1.3525749797389879,0.009938975049198967,0.02547622323490958,0.11165325805608459,0.08533331179476515,0.029992445339375555,0.06637398680186828,1.2047939879380913,0.13839635530808,0.28777228812597244,1.6179809909384377,0.9988,0.0,0.0,0.001841539957710279,0.00012650109680571947,1.7098973651770347e-08,0.0394220140055939,1.0086,1.018,1.0061,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Powder River Basin, BIT, Surface",0.0645429856002442,0.1825462161640885,0.04667051393562299,0.042109919321999145,0.7685724358528527,0.7968444598790572,0.04264925124685775,0.48278062822651546,0.010357969418055814,0.5240881269381286,0.1156392761492805,10.313722701621318,1.2795374567381899,0.009964310411492951,0.03103619779967637,0.2765573950854874,0.0801772251786052,0.05845293052982735,0.04811722775255617,1.3151644153437958,0.1377346150494686,0.46885339748792615,2.3369073628556185,0.858,0.0,0.0,0.0015956452505764402,0.00010864512417459084,1.648308181939901e-08,0.032824183591241445,0.8664,0.8742,0.8641,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Powder River Basin, BIT, Surface",0.05846720853511981,0.18590640719286564,0.0452970800027639,0.04181897502117765,0.755529753866468,0.6928698737817629,0.012709322141911589,0.42606889178776375,0.010402488476451638,0.4905639881234415,0.11529902655882848,9.799288978728367,1.33661835930684,0.010080490136159725,0.02003633493650621,0.20087847469847864,0.06772210284460456,0.0495029099854392,0.09357018552875956,0.9946311757635735,0.13125327525638392,0.23756683608424134,1.9900962544245708,0.8907,0.0,0.0,0.001652707746693273,0.0001166689512442221,1.632058091346087e-08,0.03544822752948481,0.8995,0.9078,0.8971,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Powder River Basin, BIT, Surface",0.04253736428264365,0.18988510031622075,0.04306033984718699,0.04187444585384202,0.9455036244663028,0.676921503732756,0.04139748427783428,0.5571439963529725,0.010206366265475152,0.48525339397031936,0.1177899138070899,9.673672574628053,1.30060925310365,0.009943620118363439,0.0458692431842168,0.21608605229680689,0.07951423484106443,0.04515270497169256,0.07156086437520696,0.8021987031658663,0.1328170131263529,0.44523985097165897,2.261859606078613,0.9792,0.0,0.0,0.0018364987036357438,0.000125962508666629,1.7281826870529512e-08,0.039154363803275936,0.989,0.9983,0.9864,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Energy, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Powder River Basin, BIT, Surface",0.05646016464710446,0.18356659597786262,0.05189324967435417,0.03864665789682675,0.9473810397657204,0.6859226691093103,0.020240906910657643,0.626561686166631,0.009822873325933915,0.519665581369988,0.1185079911935806,10.292411506336379,1.2443778219329693,0.010235761976900614,0.030348146473886572,0.17911152624160803,0.06921397443380932,0.07007063196372353,0.08194696932772333,1.4355920752931055,0.1511834764054589,0.5039029243652625,1.0811741493842042,1.0313,0.0,0.0,0.0019134759199044003,0.00012921094922816465,1.7844257084473368e-08,0.040481913593358516,1.0414,1.0512,1.0388,mca
"Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Piceance,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","coal extraction and processing - Northern Appalachia, WC, Surface",0.05219975644222317,0.17937101890183726,0.05545409102295931,0.034351853440438646,0.8877657710657101,0.6532672062005167,0.03943798391544661,0.6009784256668276,0.010078417971190684,0.493935644468903,0.12450859876787695,9.508151345076934,1.2757369719509015,0.010401644957509008,0.029503979069242788,0.13842491321898018,0.09385237098723996,0.06779596980572711,0.05891019435084189,0.9716970641685708,0.12488642509510645,0.2561565682486101,1.9699896187523187,1.6119,0.0,0.0,0.002313251235442754,0.0001494572990016771,2.279970560945987e-08,0.047480649194022076,1.6432,1.6768,1.6383,mca
