providers_electricity,providers_heat,providers_slab_steel,providers_iron_forEAF,providers_iron_forBOF,providers_naturalgas,providers_coal,"fabrication, plate wf","fabrication, plate elec","hot rolling, slab elec","steel production, EAF scrap_pct","steel production, EAF wf","steel production, EAF kWh_EAF","steel production, BOF scrap_pct","steel production, BOF wf","iron production, blast furnace co2_kg",gwp,ap,ep,odp,pocp
"Electricity; at grid; generation mix - Electric Reliability Council of Texas, Inc.","heat generation, natural gas","steel production, BOF","iron production, direct reduction, ENERGIRON","iron production, blast furnace",natural gas extraction and processing - Anadarko,"coal extraction and processing - Import, BIT, Surface",0.08619848596496672,0.07750001215098483,0.04485411712993504,0.7229717170038243,0.023292903011350764,0.4808132592042549,0.15161714475735738,0.12548976036175535,0.945039024932842,1.99,0.006690099216523423,0.003667207318402232,6.709649625686757e-08,0.10443682119667498
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Appalachia, BIT, Underground",0.08929158613150659,0.07733595526737545,0.03990029336050156,0.5792275855426187,0.020050041951574605,0.6210490834656569,0.1530151690989192,0.05145860166765342,0.9896026777354195,2.0885,0.006525164634105926,0.003609090594887146,6.562345483110966e-08,0.10121737529005642
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Arkoma,"coal extraction and processing - Central Appalachia, BIT, Surface",0.08731993523067266,0.07691367374089873,0.034560103112384805,0.6723494948588379,0.018072209075619503,0.5213707537333975,0.15128198111693378,0.12331811092120758,0.7797520462078593,0.9523,0.0027596119567745376,0.0011960983776512738,2.485765965920748e-08,0.05920172168677399
Electricity; at grid; generation mix - Avista Corporation,"heat generation, natural gas","steel production, EAF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Anadarko,"coal extraction and processing - Northern Appalachia, BIT, Surface",0.0710837145714186,0.07622805664811048,0.041178384386522125,0.746067468368161,0.036559586576175834,0.5062563333238047,0.15759051445651917,0.054733330882126056,0.8660831656836789,0.6703,0.001998383689539899,0.0011169172678214547,2.6020702878043475e-08,0.04939609679048814
Electricity; at grid; generation mix - Western Area Power Administration - Desert Southwest Region,"heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Central Interior, BIT, Underground",0.056816587732232526,0.07566925310500025,0.03657179545091326,0.7694862050473944,0.0477951813010407,0.4792044439715675,0.15004142570901358,0.11447472917468089,1.0271272933952318,1.0464,0.003179470111912338,0.0012617290617584012,2.981042272141101e-08,0.0648063120778665
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, SUB, Underground",0.08521653097790374,0.07416054389762745,0.0428537765741589,0.6113281328127819,0.032025923715693246,0.5162021498501153,0.1519765767249544,0.07443580968359806,0.7706220099829517,1.6389,0.005423044039823634,0.0015394360689995872,4.869313913573675e-08,0.10092604002456378
Electricity; at grid; generation mix - Salt River Project Agricultural Improvement and Power District,"heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Gulf,"coal extraction and processing - Illinois Basin, BIT, Surface",0.060205168433095604,0.07537481669306118,0.04233813445245401,0.7234323325402744,0.03878982413839775,0.650154685378593,0.15612634600195982,0.13967241746125775,0.982498871321883,2.0015,0.006807761060627748,0.003605854007456041,6.586620691469264e-08,0.11006596161527762
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - West/Northwest, BIT, Surface",0.08816463224425031,0.07588995649183382,0.0362458047901915,0.6544399235485613,0.04504926568731087,0.5051663285871183,0.14704356984906286,0.07095096253629583,0.9011607993344304,1.4679,0.00454114513623619,0.001467516289115149,3.951333910705012e-08,0.08379768820282661
Electricity; at grid; generation mix - Florida Power & Light Co.,"heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Rocky Mountain, BIT, Processing",0.0643136235532724,0.07685039398935271,0.03718980002138301,0.5909471826575929,0.0460409533660033,0.4273738379699281,0.15370370240972983,0.08778033700883674,0.9096562170869626,1.4406,0.004576644146824283,0.00151599321084591,3.7154202803032055e-08,0.09178269020334717
"Electricity; at grid; generation mix - Southern Company Services, Inc. - Trans","heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - East Texas,"coal extraction and processing - Central Interior, LIG, Surface",0.07080464452705837,0.07490340339023539,0.04330301387153668,0.7603737099884147,0.043971487325146025,0.4496618652426838,0.15452428149557568,0.13089756073299977,0.9090739482124737,1.9737,0.006701342256399194,0.003624779293933936,6.638587581976483e-08,0.10471830699666862
