elec_steel_fab,elec_steel_rolling,steel_plate,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, plate.wf","fabrication, plate.elec","fabrication, plate.trans_co2","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",sintering.co2_kg,coking.co2_kg,zinc production.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Central Appalachia, BIT, Underground",0.0771,0.193,0.046,0.04,0.874,0.61,0.03,0.5,0.01,0.507,0.12,9.9,1.3,0.01,0.027,0.15,0.1,0.071,0.074,1.093,0.26,0.124,1.72,0.856,0.0,0.0,0.0014011614063949844,8.326579159233428e-05,5.913869149188323e-09,0.03205044081561609,nan,nan,nan,base
Electricity; at grid; consumption mix - Balancing Authority of Northern California - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - San Juan,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - West/Northwest, SUB, Underground",0.0704551726261395,0.20952592050701055,0.040869469719458235,0.03770114945432546,0.9657315258434127,0.6176381426608284,0.04161798750111885,0.4779776690022235,0.009682600412413297,0.5132843978463779,0.11751841220997972,9.925747615831988,1.342449250627655,0.009624519848767582,0.035142827239879326,0.16869620548690817,0.07057511178616614,0.08006247516905102,0.05407756314409626,1.2545390236475975,0.3794666805190198,0.12020946031986049,1.844423865213721,0.8354,0.0,0.0,0.0013109594265934223,8.497500679991564e-05,4.834205551493689e-09,0.03961557803378567,nan,nan,nan,mca
Electricity; at grid; consumption mix - Balancing Authority of Northern California - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - San Juan,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - West/Northwest, SUB, Underground",0.028248841906742254,0.1896433023041202,0.04482235248231702,0.038654966585042735,0.7571283503246771,0.5865835162339057,0.017043784344303137,0.5073337551289681,0.010323690067711173,0.5146963183224054,0.11970824280256988,9.50336773072992,1.2578252815061688,0.010458993918318605,0.035108568384691466,0.11959945541886056,0.086519369219857,0.03900221414026628,0.039220038939116304,1.0237520291008184,0.5367802502005622,0.11572974659146916,1.4691056895682517,0.8199,0.0,0.0,0.0012633877358104561,8.172822771306764e-05,4.909326521642918e-09,0.03788404631391492,nan,nan,nan,mca
Electricity; at grid; consumption mix - Balancing Authority of Northern California - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - San Juan,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - West/Northwest, SUB, Underground",0.07235079576236825,0.20924406282859434,0.05334887043111218,0.040533521459973534,0.7699073305672632,0.8160050451270923,0.03549739252397238,0.47215140725910726,0.009587275529118127,0.4844464017444264,0.11978117446250072,9.591024297376904,1.2703951446967405,0.009810931377789052,0.0375255007342548,0.23094384756504222,0.06846507569441374,0.08229161492203821,0.09788446680761398,1.1271317086366575,0.5399873589579492,0.14426930486317785,1.9497490959690713,0.6398,0.0,0.0,0.0009911269492122456,6.384618547981793e-05,4.434109960402729e-09,0.02910196864547991,nan,nan,nan,mca
Electricity; at grid; consumption mix - Balancing Authority of Northern California - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - San Juan,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - West/Northwest, SUB, Underground",0.05459158996493526,0.2033986833810264,0.048272620321634985,0.034908567491003344,0.8392424222807489,0.5681327886625556,0.014172843955060577,0.49413824959751523,0.009887284497569888,0.5294613095513283,0.12095552310706056,9.45166078360517,1.3539257265725972,0.010221337503011765,0.020386879683690195,0.09165668584277024,0.05777151230070176,0.0718840587078485,0.07337596456339997,0.9958387683566722,0.2871744729777042,0.09591943178698945,1.7223569988818748,0.8657,0.0,0.0,0.0013156341651359446,8.531847777071038e-05,4.931499648686487e-09,0.039662484834250514,nan,nan,nan,mca
Electricity; at grid; consumption mix - Balancing Authority of Northern California - BA,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Salt River Project Agricultural Improvement and Power District - BA,"ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - San Juan,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","coal extraction and processing - West/Northwest, SUB, Underground",0.038847506534371176,0.19519257139437537,0.048483685824257196,0.03476409233404301,0.9326102603702646,0.5985646922204075,0.047488908923207146,0.5012376568436594,0.010404990847810602,0.48606595480887155,0.11976696818321929,9.650974711105837,1.2662022502664483,0.009808848967517842,0.04361517430990927,0.1479071584003541,0.07533720262719147,0.08079124035682242,0.10046199971086302,1.15666014139424,0.4183241368845628,0.11352628235646652,1.660627085623074,0.8289,0.0,0.0,0.001295314831269629,8.404748901395649e-05,4.8597706947138194e-09,0.039084065101237055,nan,nan,nan,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Central Appalachia, BIT, Underground",0.03165986718358486,0.21799295158478246,0.053377845368165644,0.04493916324520257,1.0179652704229067,0.6962434734185048,0.035653002077231884,0.5921661155919603,0.009525267415837797,0.4827529878962364,0.12013740887614975,9.923633758409865,1.3623938342275423,0.010379492354123707,0.023254969580101738,0.20101981219049758,0.11570045108382411,0.07763145352089876,0.049246006325777095,1.1510925518051502,0.2887172126103518,0.10535365935332072,2.1010340703536268,1.32,0.0,0.0,0.0014769319938473687,8.319551820286932e-05,8.431768500066502e-09,0.03388755700606177,nan,nan,nan,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Central Appalachia, BIT, Underground",0.04724865743433528,0.17917175622213505,0.042001660503418296,0.03672161848364289,0.8113826166684471,0.5874823180674064,0.03492542814983934,0.4736724724001372,0.009739535882649801,0.49290742402757093,0.1190395725411613,10.11910571596054,1.3640578724855108,0.009641176805502557,0.02693840625545285,0.23044392388031548,0.05068172479268897,0.055967819518530346,0.09600069108805717,1.13555179974315,0.3143039445281862,0.09969203601265099,2.358702402013124,1.4481,0.0,0.0,0.0013443238968355526,7.478136905948694e-05,7.441709953175298e-09,0.030076706370922576,nan,nan,nan,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Central Appalachia, BIT, Underground",0.06043285197281445,0.19992570081681468,0.043391551714460345,0.03928895841502304,0.9238977639021015,0.6335812402823094,0.049836603863072815,0.41069450060164947,0.010080480945807579,0.5102124058540116,0.12508113400714924,10.158409902495219,1.3488478403007298,0.009730515226320123,0.03080455035648347,0.28056155625616064,0.12232074927200305,0.05692731130230276,0.07322812754144235,1.0360302207777683,0.29118768574088855,0.11882389432867396,1.6953504513003161,1.3101,0.0,0.0,0.0013002310619063494,7.195738672147262e-05,7.2057878158500175e-09,0.029161625316697377,nan,nan,nan,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Central Appalachia, BIT, Underground",0.0735330146401864,0.18100721802143074,0.04401685782706443,0.035440125567059916,0.8304181016499024,0.6859449462831135,0.023275672573786488,0.5024724866716097,0.010051092181923012,0.5015156973349552,0.11581160277020024,10.393868539536184,1.3264145207153066,0.00990330574146988,0.027024615466936883,0.1908406344619727,0.0805790394517628,0.10672144810543345,0.07847683437508901,1.4132439194547528,0.25900085358913083,0.10433860835511448,2.3944624622869513,1.3506,0.0,0.0,0.0013221590252762126,7.434198180662688e-05,7.452959328038772e-09,0.030113800520374837,nan,nan,nan,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,natural gas extraction and processing - Anadarko,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Central Appalachia, BIT, Underground",0.0679760596621459,0.1867764670660324,0.04145779272978392,0.035118698543464326,0.8438334851406297,0.8098315770445018,0.030004049017277004,0.4741584438989084,0.010469276669941864,0.5262775222616297,0.1185838976038201,9.90804386563529,1.29096753027278,0.01049812936303094,0.032423641057018435,0.09550282996910953,0.12797510133402215,0.03500318203340153,0.07573260608664312,0.7898909689570325,0.41070648109774255,0.12495660130832884,1.657316532262933,0.9409,0.0,0.0,0.001205386382814023,6.80289095051259e-05,6.979970605190456e-09,0.02781446603449677,nan,nan,nan,mca
