source,manufacturer,plant,name,geography,ec3id,gwp.a1a2a3_mean,ap,ep,odp,pocp,label
Industry EPDs,,,CRSI 2017,Northern America,,0.979,,,,,CRSI 2017
Product EPDs,,,"Addison Construction Supply, Inc",US,,0.57,,,,,"Addison Construction Supply, Inc"
Product EPDs,,,"Addison Construction Supply, Inc",US,,0.57,,,,,"Addison Construction Supply, Inc"
Product EPDs,,,"Cascade Steel Rolling Mills, Inc.",US,,0.99,,,,,"Cascade Steel Rolling Mills, Inc."
Product EPDs,,,"Cascade Steel Rolling Mills, Inc.",US,,0.58,,,,,"Cascade Steel Rolling Mills, Inc."
Product EPDs,,,Nucor,US,,0.612,,,,,Nucor
Product EPDs,,,Nucor,US,,0.694,,,,,Nucor
Product EPDs,,,Nucor,US,,0.738,,,,,Nucor
Product EPDs,,,Nucor,US,,0.825,,,,,Nucor
Product EPDs,,,Nucor,US,,0.962,,,,,Nucor
Product EPDs,,,Nucor,US,,1.06,,,,,Nucor
Product EPDs,,,Nucor,US,,0.854,,,,,Nucor
Product EPDs,,,Nucor,US,,0.945,,,,,Nucor
Product EPDs,,,Nucor,US,,0.808,,,,,Nucor
Product EPDs,,,Nucor,US,,0.898,,,,,Nucor
Product EPDs,,,Nucor,US,,0.963,,,,,Nucor
Product EPDs,,,Nucor,US,,1.06,,,,,Nucor
Product EPDs,,,Nucor,US,,0.961,,,,,Nucor
Product EPDs,,,Nucor,US,,1.06,,,,,Nucor
Product EPDs,,,Nucor,US,,0.799,,,,,Nucor
Product EPDs,,,Nucor,US,,0.888,,,,,Nucor
Product EPDs,,,Nucor,US,,0.684,,,,,Nucor
Product EPDs,,,Nucor,US,,0.769,,,,,Nucor
Product EPDs,,,Commercial Metals Company,US,,0.734,,,,,Commercial Metals Company
Product EPDs,,,Commercial Metals Company,US,,0.686,,,,,Commercial Metals Company
Product EPDs,,,Commercial Metals Company,US,,0.614,,,,,Commercial Metals Company
Product EPDs,,,Commercial Metals Company,US,,0.725,,,,,Commercial Metals Company
Product EPDs,,,Commercial Metals Company,US,,0.783,,,,,Commercial Metals Company
Product EPDs,,,Commercial Metals Company,US,,0.789,,,,,Commercial Metals Company
Product EPDs,,,Commercial Metals Company,US,,0.641,,,,,Commercial Metals Company
Product EPDs,,,Commercial Metals Company,US,,0.726,,,,,Commercial Metals Company
Product EPDs,,,Pacific Steel Group,US,,0.947987727,,,,,Pacific Steel Group
Product EPDs,,,Evraz North America,US,,0.716502352,,,,,Evraz North America
Product EPDs,,,Gerdau Long Steel,US,,0.665,,,,,Gerdau Long Steel
Product EPDs,,,Gerdau Long Steel,US,,1,,,,,Gerdau Long Steel
Product EPDs,,,Gerdau Long Steel,US,,0.927,,,,,Gerdau Long Steel
Product EPDs,,,Gerdau Long Steel,US,,1.088,,,,,Gerdau Long Steel
Product EPDs,,,Commercial Metals Company,US,,0.934,,,,,Commercial Metals Company
Product EPDs,,,Gerdau Long Steel,US,,1,,,,,Gerdau Long Steel
Product EPDs,,,Gerdau Long Steel,US,,0.7831,,,,,Gerdau Long Steel
Product EPDs,,,Steel Dynamics Inc.,US,,1.05,,,,,Steel Dynamics Inc.
Product EPDs,,,Gerdau Long Steel,US,,0.652,,,,,Gerdau Long Steel
Product EPDs,,,Commercial Metals Company,US,,1,,,,,Commercial Metals Company
