elec_steel_fab,elec_steel_rolling,steel_billet,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, rebar.wf","fabrication, rebar.elec","fabrication, rebar.trans_co2","rolling, billet.elec","rolling, billet.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",sintering.co2_kg,coking.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Central Appalachia, BIT, Underground",0.03,0.193,0.049,0.149,0.874,0.97,0.03,0.5,0.01,0.507,0.12,9.9,1.3,0.01,0.027,0.15,0.1,0.071,0.074,1.093,0.26,0.124,0.6069,0.0,0.0,0.0010917844989278478,5.6413067362199156e-05,6.141537194929626e-09,0.020843994290225484,nan,nan,nan,base
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Uinta,Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Rocky Mountain, WC, Surface",0.017333612299013243,0.19536222839073208,0.044436077501793486,0.1646600627666291,0.8635432860555887,0.9705105633174407,0.018112398041602258,0.5655141978736689,0.009676444815128313,0.4873723662889709,0.11613287465801884,10.142420086684783,1.2980240178928273,0.009778117144256556,0.02406000933191924,0.15900180833006092,0.14883679773783143,0.08340085289623637,0.08231078630531244,0.9665330224388168,0.3501856656779494,0.12368405360015516,0.4571,0.0,0.0,0.000791976394855732,4.520702676887874e-05,5.335828119121071e-09,0.01709485873514759,nan,nan,nan,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Uinta,Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Rocky Mountain, WC, Surface",0.028777890079532083,0.18116066056578045,0.04444676593985057,0.14303624022483474,0.9480368412718955,0.9708779635683564,0.013238474284519738,0.4839374939913377,0.009859067962308964,0.519838234516948,0.1155048349572011,9.770503829170433,1.2676098785115795,0.009829482846097548,0.026881274901523644,0.20129303578358992,0.14222779387686718,0.07202793496367704,0.06911626367565868,1.0955009290618434,0.35651267845839635,0.12182718823848357,0.4368,0.0,0.0,0.0007297697365688681,4.185148910650937e-05,4.741477052974954e-09,0.016011051031994017,nan,nan,nan,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Uinta,Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Rocky Mountain, WC, Surface",0.03049780655822357,0.1853607725325062,0.050106198399856555,0.14860669961449408,0.9666833933790933,0.9802581291051858,0.012764921796850008,0.4044611266667498,0.009771263533367798,0.5108143673927198,0.12305135132598158,10.200608858204097,1.333488132280007,0.009973161034047285,0.0385206467076667,0.17222660496120626,0.14595500865442917,0.04365896187931295,0.11534324072660936,1.1100537478529726,0.3611525652131792,0.11486520403320437,0.4243,0.0,0.0,0.0007230510637069808,4.0800707837010016e-05,4.655670227409189e-09,0.01577210037231829,nan,nan,nan,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Uinta,Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Rocky Mountain, WC, Surface",0.030009718842578574,0.17457248720409477,0.05662459456042085,0.1454662164933283,0.8666226423114516,0.9674332008162125,0.022877486957475095,0.3869763775754663,0.010157720674848356,0.4989443258184224,0.12038445177676332,10.019793216997835,1.2756243539745322,0.010462122746365347,0.03949650311414992,0.20699931006354094,0.11293531460295239,0.09689470074882911,0.07419887431381961,0.9923190833641836,0.4093447389597989,0.15310349206898943,0.4363,0.0,0.0,0.0006926368958858305,3.8966361059704744e-05,4.503798418137705e-09,0.015015648335172624,nan,nan,nan,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",natural gas extraction and processing - Uinta,Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Rocky Mountain, WC, Surface",0.02299268725737829,0.21182303291260246,0.04181898377818563,0.15237530939151217,0.7170207292128332,0.9755262523372357,0.044760829366351555,0.45527347606004304,0.009660394383723655,0.4882714462619644,0.12194297272019697,9.736153315018456,1.3078326345650126,0.00997445290029499,0.029385810180458063,0.27477335072629033,0.0786480602545199,0.04482222823663075,0.03537208027453786,1.0713573051332375,0.39117287275864643,0.12415847999409817,0.4283,0.0,0.0,0.0007399583681973178,4.135513915749446e-05,5.0012423502219035e-09,0.015626252053849817,nan,nan,nan,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Seattle City Light - BA,"coal extraction and processing - Import, BIT, Underground",0.032106301927724595,0.17137902132583036,0.04091327296755963,0.15806575038303078,0.8637629082232163,0.9749608838207031,0.047113652403288964,0.5678481710157884,0.009653596144317848,0.5295945370569889,0.11801237563096027,9.84148043168438,1.248067953268044,0.010300661536887981,0.03962044780876,0.08806901135229045,0.07828705493517563,0.0916656321844189,0.0738374922312671,1.180877836140348,0.2517572384777836,0.1445569795582009,0.6261,0.0,0.0,0.0011883500033822974,6.212053930251018e-05,7.517492659838714e-09,0.023451554039050748,nan,nan,nan,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Seattle City Light - BA,"coal extraction and processing - Import, BIT, Underground",0.04009970776147401,0.20122459503358622,0.04706993424915718,0.14813432982283314,0.9147597101641847,0.9802024336166208,0.031440202132437284,0.5454853917134473,0.010281666495619096,0.5226380141199498,0.1242838150032557,9.728501351250747,1.3142627859613067,0.009698421748439679,0.02669422859197766,0.16796611003715395,0.1191710216535773,0.07777521153640982,0.07921191806156452,1.230022438374629,0.33306527256371615,0.11763094603845436,0.6408,0.0,0.0,0.001218295123521295,6.329184971808822e-05,7.788847427736189e-09,0.02406368781330029,nan,nan,nan,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Seattle City Light - BA,"coal extraction and processing - Import, BIT, Underground",0.03011440498380232,0.17390117660979953,0.04559234473456816,0.14525569009800143,0.7584495655407224,0.9714776015229082,0.029197722554611096,0.5306616600467682,0.010204899346879095,0.48835802852086374,0.12048256622247086,10.374012448895481,1.3428541660299733,0.010458396202885143,0.03340817577701041,0.13646179288395746,0.0869223925045847,0.04502276878432851,0.04091369678651468,1.1603297095883325,0.37891538492989996,0.12090633372424266,0.601,0.0,0.0,0.0011328312178726888,5.9089536890824573e-05,7.211922295355812e-09,0.022326302385761828,nan,nan,nan,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Seattle City Light - BA,"coal extraction and processing - Import, BIT, Underground",0.02027470659023964,0.2032268160799649,0.05972681457212023,0.15044902810663113,0.7949782346955833,0.976164698966335,0.031981954716603034,0.4713265679202072,0.010069447781508398,0.4978610922333273,0.11526053557885463,9.873821276110537,1.2751936715554923,0.009693929904271833,0.04994392015179393,0.08826793762277399,0.07265217894221829,0.06124751776647019,0.0579844500929428,1.091436859651674,0.3314757328621087,0.124663042610451,0.6003,0.0,0.0,0.0011130518755153797,5.790940650858838e-05,7.203364730470666e-09,0.022056031508251243,nan,nan,nan,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Seattle City Light - BA,"coal extraction and processing - Import, BIT, Underground",0.020128151589667083,0.2041277888445689,0.05240662334498315,0.15565241470870353,0.9685782313499683,0.9698789399101598,0.012079165084732151,0.5689298867551745,0.010355407958635206,0.5188733008953718,0.12473859270738206,9.585985332666617,1.257632515079716,0.010365312563734342,0.03493753061152069,0.07049069811571089,0.11319905668436338,0.0669994898986509,0.05853258518755875,1.1535748443256575,0.4956393870010674,0.11200350210934813,0.6664,0.0,0.0,0.0012542388081962735,6.547637997781494e-05,7.949933062947047e-09,0.024921805795103853,nan,nan,nan,mca
