elec_rolling_sheet,elec_galv_co,elec_rolling_slab,steel_toCoil,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, sheet.wf","fabrication, sheet.elec","fabrication, sheet.trans_co2","galvanizing, continuous.elec","galvanizing, continuous.w_zinc","galvanizing, continuous.w_steel","galvanizing, continuous.trans_co2","rolling, coil.elec","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
Electricity; at grid; consumption mix - Southwest Power Pool - BA,Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Gulf,Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - West/Northwest, WC, Surface",0.03268922346110796,0.040888861039262855,0.08377884162881459,0.3372716613418229,0.183,7.15,0.009607200706953726,0.13346776022459012,0.044821865122753456,0.7706708522719332,0.5738801490996952,0.012615782804392182,0.47751003330215197,0.010300347499988694,0.5117949264476854,0.1195604079220652,10.194601441189977,1.3614599339846258,0.009864149349873001,0.02481394766655719,0.14520787391053533,0.07231875122695632,0.05728654568282983,0.06639099154393134,1.2034842013211893,0.11805424669136648,0.36412462810284985,1.3182,0.0,0.0,0.003004322658871756,0.00019557508379155206,2.2062228602572028e-08,0.07482926020372992,1.3342,1.3498,1.3304,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Gulf,Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - West/Northwest, WC, Surface",0.023889385118614305,0.050166218257794555,0.13666000038452897,0.37396035612452017,0.472,4.76,0.010486531594254929,0.138284560188023,0.032014478688646514,0.8093432021263007,0.6384268720194407,0.015814355857388277,0.4875603947664349,0.0099692365749146,0.49690522306014323,0.12002974226139965,10.00494437996663,1.3418663256150276,0.009908333852186238,0.0370690998924229,0.13848377758379005,0.14271571472331152,0.04261556311186647,0.07386668653285199,1.0390406731278112,0.14277879744236321,0.3128960132834374,1.3233,0.0,0.0,0.002693781204545346,0.00017340467811831535,2.079778858886225e-08,0.06536771860580227,1.3374,1.3511,1.334,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Gulf,Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - West/Northwest, WC, Surface",0.01937769497872004,0.041729711296273175,0.1409776800531371,0.4039050157871069,0.275,7.15,0.010152396893606704,0.13526500977804273,0.03490337512024886,0.8167795282790512,0.5747543767584347,0.025926385407336994,0.5395343170335364,0.010137072796203008,0.49500578935237366,0.12473753068436597,9.690545207763181,1.2847859263673862,0.009616694764193766,0.030415083998139816,0.1088702093610471,0.0783892556295269,0.0975697276931598,0.05553176240502583,1.0846678735531428,0.1271377322691566,0.38030990846439805,1.3801,0.0,0.0,0.0030666956615413702,0.0001967861767644294,2.2831131899346175e-08,0.07512270371980274,1.3962,1.4118,1.3923,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Gulf,Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - West/Northwest, WC, Surface",0.029675985706730253,0.049015836414872595,0.11565351620732243,0.39871384321088177,0.275,2.97,0.009590145045258165,0.12829162571842553,0.03466272357621887,0.9196710773724314,0.5216151082286491,0.024934511138688914,0.5281663276472404,0.010154544134137243,0.4987986460604958,0.11783895576825934,9.75956261484925,1.2839916478705309,0.010056471382846923,0.02159894807670032,0.14113764909192086,0.09852780618593737,0.06609477669759081,0.10267821401949688,0.9743632710288586,0.11543292146964898,0.2647902268554241,1.4651,0.0,0.0,0.0030834626693292387,0.0001989085115906181,2.2083455013020798e-08,0.07670916216221878,1.4816,1.4977,1.4777,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Gulf,Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - West/Northwest, WC, Surface",0.03569506650864268,0.04394043322205174,0.18569127904636076,0.3199184066269449,0.275,3.57,0.00961801822066357,0.1324276055836557,0.0392164597929153,0.9483217831273185,0.6540742406727931,0.010278172398097297,0.4580595271939973,0.010132395537447991,0.5177592537298357,0.1160790353963767,9.495123783821398,1.3474851341258285,0.01043351824966983,0.03301253689233123,0.24199993006510442,0.1075978198911606,0.08533468037661038,0.06643079172724267,0.9475205562670501,0.14012560838675064,0.41653415875009586,1.2687,0.0,0.0,0.002597603541529585,0.00016866185443936888,2.0473135699649083e-08,0.06301507994859848,1.2824,1.2957,1.279,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Gulf,Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - West/Northwest, WC, Surface",0.03437455320464314,0.046070562315913166,0.14824090208736115,0.3218575306809836,0.472,7.15,0.010337366975686473,0.138053041841014,0.039685330923459085,0.835984984475588,0.5629213620546818,0.043434310477333024,0.6814541931521485,0.010150578260878878,0.5212620887604414,0.11666801190356578,9.81735612348988,1.292120454930855,0.010366659645326709,0.033180061313590435,0.09256875383151122,0.05289079466921155,0.06357328875908017,0.06023842416612005,1.3451153819155142,0.13654775322094428,0.3977197026029369,1.5052,0.0,0.0,0.0032908095952298728,0.0002072617040810712,2.4338719232592382e-08,0.07987617968055645,1.5221,1.5385,1.518,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Gulf,Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - West/Northwest, WC, Surface",0.03216465839423728,0.040364035595453825,0.18797139791937972,0.34706188403671256,0.183,7.15,0.010354625928399466,0.13964540047204485,0.033535280635784495,0.9714609916191664,0.7269354871457808,0.0322875620326801,0.5011513450351863,0.009604414456250822,0.49112726648538557,0.11496316321199646,9.834751068541987,1.3111853264989095,0.009742734902042444,0.028612346206047516,0.10292098463531046,0.07553310152726954,0.0399864401958825,0.05646304185859338,1.1673416470501237,0.1154049282337244,0.34768538398727855,1.21,0.0,0.0,0.002655245405403254,0.00016977129982785133,2.1792949324447794e-08,0.06290627224910807,1.2237,1.2369,1.2203,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Gulf,Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - West/Northwest, WC, Surface",0.01639116499080505,0.04745463441468744,0.03386426475626221,0.32680366688012147,0.183,2.97,0.009728047366994402,0.14177336378225036,0.03737950831200683,0.8885096917572375,0.5596018110584364,0.04921045911698994,0.5562136496103056,0.010082774370961774,0.5295293072543429,0.12110663448573908,10.041653153607465,1.266318023678881,0.009821674822653819,0.040995419505617144,0.1605398376280481,0.0636521183484299,0.07407803350020384,0.10018145214007795,1.0074481083220888,0.10724623592518667,0.3498171967559946,1.4124,0.0,0.0,0.0030791104467528647,0.00019753381929375958,2.2307252025311145e-08,0.07628841294497575,1.4287,1.4446,1.4248,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Gulf,Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - West/Northwest, WC, Surface",0.016651067219177078,0.04896458545292073,0.06917013085146165,0.3451781741038465,0.183,2.97,0.009898532043799715,0.14563514023440408,0.04362440425403774,0.8505723867201063,0.6004647987872411,0.022332088055070063,0.6108595482748693,0.01034003458403213,0.4912875692290101,0.1193795265945055,9.45478971144197,1.3644634624417598,0.009801636934003882,0.029110990476832195,0.1421689352029393,0.08122839918390483,0.08241590151134642,0.09314084020032855,1.1987747414045304,0.1188269347327767,0.30925966242711916,1.3983,0.0,0.0,0.003024974931784022,0.00019189319203839365,2.3147932372644014e-08,0.07277354970371269,1.4137,1.4288,1.41,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Gulf,Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - West/Northwest, WC, Surface",0.049852356705267095,0.04249258658636564,0.06517091570409583,0.41182295685665166,0.472,7.15,0.010199144367885674,0.1433376200239892,0.042213758908671344,0.9507571191292544,0.6408287744917537,0.04849681559088317,0.5398723577597756,0.009792939965279128,0.5071132057657658,0.11509194530262375,9.479330858029012,1.278062613870813,0.010247773030599708,0.01998115494851087,0.13382629150871148,0.10264548793178016,0.07026547766394588,0.08593541078642186,1.0366516569757906,0.13001508738566703,0.2622105071675199,1.411,0.0,0.0,0.0029572896408970794,0.0001888555707127277,2.284993321435776e-08,0.07125619018694629,1.4263,1.4413,1.4226,mca
"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - San Juan,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Central Appalachia, BIT, Surface",0.036328324177572535,0.044759963850619,0.047595905821710804,0.3407966964235181,0.183,2.97,0.009993880265611321,0.13740312669869384,0.033776727949666484,0.8202078204296879,0.748801330523013,0.027504159829730125,0.5229146720400407,0.009587829284781182,0.4942182443729492,0.12511177845462845,10.012000272943514,1.2626835915809451,0.009833888940194883,0.023997420722142684,0.18072526522393922,0.12408503173980324,0.0679815587945426,0.05326176011100914,1.1095975736705133,0.11517019481463162,0.26477021748846596,1.1651,0.0,0.0,0.0023128308263127436,0.0001528391946021719,1.6810409088746406e-08,0.05600578359560548,1.1813,1.1973,1.1777,mca
