elec_rolling_sheet,elec_galv_co,elec_rolling_slab,steel_toCoil,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, sheet.wf","fabrication, sheet.elec","fabrication, sheet.trans_co2","galvanizing, continuous.elec","galvanizing, continuous.w_zinc","galvanizing, continuous.w_steel","galvanizing, continuous.trans_co2","rolling, coil.elec","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - PacifiCorp East - BA,"coal extraction and processing - Illinois Basin, BIT, Surface",0.04773850631537082,0.05042035361078232,0.05171453182010276,0.3241170095757394,0.472,2.97,0.010335930084919577,0.13672830644499942,0.03451827645392319,0.8785283114803044,0.6168222119203584,0.03709450388100417,0.4740352416974002,0.01027752635500312,0.4863908755540555,0.12429763678063496,9.464191862004355,1.3463197205966608,0.010447706200824277,0.033674572557163426,0.14056935614902544,0.1363050177472125,0.051915939956389365,0.0655819172189319,0.8976295848206971,0.15167695206757828,0.3014009571002577,2.3067,0.0,0.0,0.0007161892323882535,3.843596720472193e-05,3.3404621430636304e-09,0.01629291441383826,2.31,2.3131,2.3081,mca
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - PacifiCorp East - BA,"coal extraction and processing - Illinois Basin, BIT, Surface",0.02937190856761593,0.05004047879833108,0.09774526226724309,0.31897321490729924,0.183,3.57,0.009940873748181516,0.13304733150513529,0.032488837908175944,0.9715164479297702,0.508854245443175,0.03773587762587988,0.4854135859442127,0.010441150428847124,0.5201545953427794,0.12317701843004825,9.555185412449477,1.3278837577008982,0.010246539783519366,0.044543812131789456,0.11418202581864292,0.09324402909294496,0.05010018494677006,0.06369715964218374,1.3029300933248007,0.0902857645961658,0.37182968486015977,2.2902,0.0,0.0,0.0007019949526602864,3.7727874982508295e-05,3.29731316933194e-09,0.01595734273576561,2.2934,2.2965,2.2916,mca
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - PacifiCorp East - BA,"coal extraction and processing - Illinois Basin, BIT, Surface",0.024827550353024194,0.04845786588016105,0.03117334710990842,0.32389586210790045,0.275,4.76,0.009995703006430734,0.134002954621141,0.04484370399160481,0.8730738885267798,0.5726469361605151,0.01193771161002986,0.5123342665310117,0.010179867434827015,0.5116265625091875,0.12340745592286191,10.102463464875564,1.247936176004173,0.009782663531829347,0.043452634173328085,0.1441922824338224,0.14526273843809406,0.07634760249339903,0.07736445932866828,0.9274211938564054,0.10333524028204527,0.4526986999849547,2.2816,0.0,0.0,0.0007075143648284413,3.8001165167861536e-05,3.3170900904642853e-09,0.016083885866052926,2.2849,2.288,2.2831,mca
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - PacifiCorp East - BA,"coal extraction and processing - Illinois Basin, BIT, Surface",0.02920428217072068,0.05069032266737662,0.15438371989794322,0.3727468258529096,0.275,5.96,0.0099760604135914,0.14881944675366104,0.03260868844279309,0.8977170512186503,0.608722049187493,0.01569693916227755,0.5597040699650396,0.010368315524905504,0.5109611756704874,0.11787640725694473,9.748593935115197,1.285940187555053,0.010362230442312284,0.04548294868839645,0.1888398445691526,0.11505299163241337,0.09143788030401076,0.0671377606830147,1.1202247947895432,0.11761904475963332,0.301141819384599,2.3338,0.0,0.0,0.0008131797562281413,4.3622342428659176e-05,3.799162824172171e-09,0.0184873952051876,2.3375,2.3411,2.3354,mca
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - PacifiCorp East - BA,"coal extraction and processing - Illinois Basin, BIT, Surface",0.021685634541724903,0.041787587393967436,0.14408022064383377,0.29069245374310715,0.275,7.15,0.009907991326559482,0.1351890777672043,0.03882095276807918,0.7322895300531946,0.5959822685018992,0.01600230715265708,0.4644080832105545,0.010287546145499196,0.5283966936467737,0.11543668416547638,9.608430432333652,1.2613325115519065,0.010486548355122447,0.049715670851673374,0.20549558225467376,0.14143978363023474,0.10376030048056539,0.050267903867400265,0.958964069260135,0.12759402733993885,0.27202813391872216,2.2592,0.0,0.0,0.0006469941390808293,3.4807321071231444e-05,3.0649510476103387e-09,0.014686451421451596,2.2622,2.2651,2.2606,mca
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - PacifiCorp East - BA,"coal extraction and processing - Illinois Basin, BIT, Surface",0.02374529758834413,0.047930849535827526,0.11193906173717816,0.29772697742365895,0.275,5.96,0.009998870420774974,0.13155409206830432,0.03381928505655316,0.7989582292120533,0.5813244222206579,0.03950387579335054,0.645729029124014,0.009901901359735652,0.5068591581596678,0.1195481980911418,9.95539536603901,1.2700489778893826,0.010424146037807207,0.02392181689903714,0.15848118625577948,0.06069375143153688,0.059005041943548386,0.0712317176176012,1.2285066628705799,0.11896354752522,0.3763504570236519,2.2648,0.0,0.0,0.0006587081256180229,3.5443897081639014e-05,3.11110782420812e-09,0.01496462863703688,2.2678,2.2707,2.2661,mca
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - PacifiCorp East - BA,"coal extraction and processing - Illinois Basin, BIT, Surface",0.01335517494290213,0.04796945393223039,0.05969605279795061,0.3319619680306002,0.472,5.96,0.010198216124799016,0.14260624443413694,0.034570941471650164,1.0193307407550654,0.6658297658598544,0.04540861201373867,0.590380448883555,0.009923265051697048,0.5100995532629804,0.12255400278855004,9.460521944103926,1.3158230328876237,0.010059415999672751,0.04018555818315679,0.14657529466147218,0.05392414606570317,0.07030904682238945,0.10918731369690624,0.8792306353270695,0.09248162740564722,0.4127708236093399,2.2593,0.0,0.0,0.000718704093649789,3.860319777685372e-05,3.372870042621592e-09,0.016334734850787985,2.2626,2.2658,2.2608,mca
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - PacifiCorp East - BA,"coal extraction and processing - Illinois Basin, BIT, Surface",0.03650569029917986,0.048881818819652326,0.04153821753802017,0.39114449693401016,0.275,5.96,0.009659336468326446,0.12751574532298823,0.04172391521004611,0.9261287942614077,0.49699912982033845,0.04464597318985755,0.5410967444382131,0.010179472583184858,0.516060807438025,0.11813073492226292,10.14753422398371,1.340285493826108,0.010055504084837807,0.03404111656581617,0.18251147715327495,0.07292664564636174,0.06773374402815363,0.06614929483446869,1.0633004817475797,0.12298939126737923,0.25357101991553493,2.3508,0.0,0.0,0.0008338952633763655,4.458187852134502e-05,3.83383764275938e-09,0.01899064239134754,2.3547,2.3583,2.3525,mca
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - PacifiCorp East - BA,"coal extraction and processing - Illinois Basin, BIT, Surface",0.038556032110097276,0.0454839870130891,0.029729517895675434,0.3517215188476082,0.472,5.96,0.009966078761175898,0.14816989283004062,0.032645565780217246,0.9833610172785552,0.46228352784756427,0.02573239698750692,0.4278289553934499,0.010331395369974638,0.5031791363350323,0.11889129349589878,10.066897680478826,1.3642138917272044,0.009654584112160969,0.022406127677207458,0.17138041343365837,0.14610338346669977,0.10088403538776035,0.06614734046049076,1.188960340143241,0.11881758197730788,0.23440965602983407,2.3306,0.0,0.0,0.00077625888418128,4.1634176421708895e-05,3.6298180538375704e-09,0.017642489929864415,2.3341,2.3376,2.3321,mca
Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"steel, crude","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Municipal Power Pool - BA,natural gas extraction and processing - Arkla,Electricity; at grid; consumption mix - Southwest Power Pool - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - PacifiCorp East - BA,"coal extraction and processing - Illinois Basin, BIT, Surface",0.04369590440059153,0.05199119707897121,0.11256652921528579,0.4096647659887123,0.275,5.96,0.009752734191556187,0.13541241737514226,0.03768552117431352,0.8135480540372223,0.5612144719823177,0.04832941168726396,0.5474650530037551,0.010354362208325578,0.5015391669367041,0.11880013926859442,10.079380576877389,1.2878456215061214,0.00967646785446834,0.033914802675659154,0.22147819963197304,0.1397868156726873,0.11037710165394503,0.039414593381917384,1.0535449119223679,0.1334879759274531,0.23965368493139674,2.3835,0.0,0.0,0.0008811378797379456,4.711878804128496e-05,4.055374323486055e-09,0.020064419398469927,2.3876,2.3914,2.3853,mca
"Electricity; at grid; consumption mix - Duke Energy Florida, Inc. - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - East Texas,Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"coal extraction and processing - Rocky Mountain, BIT, Processing",0.03846057018429717,0.05172711990312293,0.10010354606730675,0.30997020298997635,0.183,4.76,0.010037598484106767,0.1473323232229294,0.03600815138809287,1.0331765582489505,0.73897111357551,0.03865777607304982,0.4837767514081851,0.010250129588931657,0.49159734433207986,0.12030666345958059,9.65687784078018,1.288103867819909,0.009914184546231346,0.023658219135644348,0.2577763776971759,0.051297154610024764,0.04549992000471988,0.0806520004840535,1.2840705244787167,0.12571786503459523,0.23352332643275206,2.0977,0.0,0.0,0.001750792279815435,0.00013619510597404804,1.5036351328434937e-08,0.039060413187233106,2.1144,2.1322,2.1058,mca
