elec_rolling_sheet,elec_galv_co,elec_rolling_slab,steel_toCoil,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, sheet.wf","fabrication, sheet.elec","fabrication, sheet.trans_co2","galvanizing, continuous.elec","galvanizing, continuous.w_zinc","galvanizing, continuous.w_steel","galvanizing, continuous.trans_co2","rolling, coil.elec","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.01434132385250567,0.04018531418334573,0.05880232348575645,0.32577966838010275,0.183,4.76,0.010084369829848326,0.12909123340964704,0.03663719420995083,0.8916050858455662,0.8936494458141845,0.030623971213969765,0.4930730635279232,0.00960007173725361,0.49460304266796973,0.12122716755877706,9.971449879036182,1.3335920153009824,0.010183538413141771,0.03509841676455919,0.12341663047581693,0.05506760610965769,0.0927146649088488,0.07738474836341094,1.0534190228996279,0.1250289932442205,0.29977222889862803,0.8677,0.0,0.0,0.0015083832165345727,0.00010621450822156277,8.47521210308214e-09,0.04276913096345123,0.8731,0.8878,0.8724,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.048317078633522595,0.04550673036883393,0.07233088734610849,0.3097472524895118,0.275,7.15,0.01007353558552023,0.14782561712834202,0.038051772437675054,0.8795560832881473,0.6500744192161931,0.04558799434937331,0.5824711709549873,0.009952775810636978,0.5235219046814719,0.11424710251037688,9.671049697898608,1.270532945916363,0.009898732745627883,0.04194966075161185,0.07249806310674518,0.08550383853647407,0.067644950598419,0.08688435275898232,0.8326445815411037,0.11948182542710889,0.2671867714573425,1.2615,0.0,0.0,0.0018767635593502775,0.00013767338641068247,1.0116734256323309e-08,0.05261256647722131,1.268,1.2857,1.2671,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.046624726875478605,0.05086895376413801,0.1571500643868921,0.40422644660544954,0.183,3.57,0.009765768796150605,0.1349548990840208,0.039437684985227046,0.8949603373919651,0.8759594085600082,0.04195505555652272,0.5712396531385275,0.010118595690215917,0.49398890407985674,0.11940295870853325,9.658630541545948,1.3032292427833683,0.009603017247965882,0.03018490496521144,0.09554709563806292,0.0824467819629868,0.10098760219742971,0.051372953394765185,1.0745767181790769,0.12806966966072325,0.2601704602712782,1.0263,0.0,0.0,0.0017828076910375902,0.0001231117970631544,9.597332546610908e-09,0.050208582455102735,1.0326,1.0496,1.0317,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.02315017300117867,0.041211593475022824,0.03462092481035579,0.37730742841830334,0.183,4.76,0.010340782717370831,0.13193631726707708,0.0437115178765767,0.9902627586820618,0.6842086526862978,0.04846502219263452,0.5401159855157458,0.009798018049921715,0.5112317428293655,0.11984898171819502,9.77225175760004,1.3328131593029542,0.009645186715263447,0.03034472536604205,0.13658169815154653,0.09046163317162884,0.05627979660185928,0.07342449507412681,1.1630307143698695,0.1574103822378643,0.3448788448609401,1.3513,0.0,0.0,0.001883437716437638,0.00013530521290797202,1.0034168910647924e-08,0.05219925397612459,1.3578,1.3752,1.3569,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.04194236515603327,0.04434273403761611,0.14615848865175696,0.32997647950806036,0.472,4.76,0.009977353359303323,0.13191415690220631,0.03451551431896101,0.8021128301550156,0.6891246903988151,0.04849072317398969,0.4135298809648489,0.00978603500985098,0.4835718327932805,0.11519871849443579,9.464404125940638,1.2515708913030223,0.009806012166016578,0.039689400192318154,0.19194240993104494,0.14338507074551038,0.08847446461836467,0.0581619630391271,1.006862091513661,0.11151891749417728,0.4293065055763714,1.2849,0.0,0.0,0.0016382781174147784,0.00011851238533800542,9.1546482080907e-09,0.04440536990977867,1.2903,1.305,1.2896,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.03894277467914611,0.04553289703034835,0.1947997417522713,0.36875464497636773,0.275,3.57,0.010005815640804014,0.13452348484218893,0.044219155843311944,1.022760256520075,0.4892305837092302,0.034811239028749386,0.5224686122636422,0.009786870329479518,0.5026618826249567,0.12493763915372857,9.678957308517022,1.330236681426748,0.010179157192620103,0.04632885861394404,0.10707765070440808,0.06937641399529615,0.09100456730126784,0.06710758636468032,0.9348088626936476,0.11191244114468098,0.48076161688693403,1.6807,0.0,0.0,0.002034944176557695,0.00014943610150505926,1.069407769540591e-08,0.055303221172150197,1.6874,1.7056,1.6865,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.014228807673019848,0.041022944399792184,0.10602473583697644,0.3361301862241237,0.275,2.97,0.010419492973484844,0.1293068047177875,0.03332944674401175,0.8268334113310457,0.5825842120947153,0.024683383539002984,0.406930926564261,0.010376232556440905,0.5251687729899727,0.11545131324332686,9.845360920471023,1.3254259805604751,0.009751305784026734,0.03636316946830794,0.21721437683151668,0.1357217462874335,0.08561902800736429,0.061163680442692686,1.0147314573587467,0.12394099834116669,0.41564549913140647,1.4096,0.0,0.0,0.0016963180849289693,0.0001243696480304918,9.357162387585524e-09,0.04557650934389862,1.4151,1.4301,1.4143,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.023587706616371343,0.04289161584252902,0.18340170991386626,0.36385389056176365,0.472,3.57,0.009772255058111528,0.13560613362076815,0.042534876351356304,0.9283905376786988,0.565339793415242,0.03203133588720374,0.42070073940284614,0.010245019717982662,0.5229183747750346,0.12586391839186759,9.952789232739406,1.3563465972275461,0.009724683436752075,0.031978250698864376,0.17974257634368349,0.13849803142883543,0.08634076503755467,0.04981089162043206,0.9309409908874182,0.12565205053006478,0.3485035661637058,1.4459,0.0,0.0,0.0017719737575872517,0.00012858569054248958,9.584503828767545e-09,0.0474261217816428,1.4517,1.4672,1.4508,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.02734019657631212,0.04533146128684099,0.16343245259245492,0.40143918782233706,0.275,2.97,0.009543564743555931,0.13570586115927644,0.04438014614606878,0.8389025107773622,0.7773438712620243,0.04314610114663792,0.48471692029218216,0.010484246947596618,0.5104582177493246,0.1233904131891492,10.168747242239741,1.35373076820799,0.009537275184634313,0.023673781324999515,0.22170740531765537,0.11120432397015864,0.04091463740232355,0.09021807596479656,1.0032367589477518,0.1113394927686943,0.33354277766015583,1.1721,0.0,0.0,0.0017412917131492702,0.00012149843932658387,9.487282694381991e-09,0.04756256523884056,1.178,1.1939,1.1772,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",Electricity; at grid; consumption mix - South Carolina Electric & Gas Company - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,natural gas extraction and processing - South Oklahoma,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Florida Power & Light Co. - BA,"coal extraction and processing - Gulf Lignite, LIG, Surface",0.035469275690963246,0.05000177437367795,0.11585363007135258,0.3277928340016183,0.275,7.15,0.009773119942847233,0.14407715104295063,0.04466822376747933,0.8918697874814878,0.4988264191524886,0.032288415533261214,0.4512016591483646,0.010180470924160356,0.5084052520473368,0.11410325485623839,9.99972574986023,1.3519444369304732,0.009550816184033516,0.034350100468346315,0.06456854165298483,0.07608012606715482,0.06644728506325001,0.08478679524786553,1.3488933136969006,0.11855594419556723,0.34443486225554015,1.7329,0.0,0.0,0.0019450186339847022,0.00014432737566961166,1.0605044186728144e-08,0.05230906928319647,1.7392,1.7565,1.7383,mca
Electricity; at grid; consumption mix - Southwest Power Pool - BA,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,natural gas extraction and processing - Arkla,"Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Northern Appalachia, WC, Surface",0.04417262600475233,0.04757373468459557,0.1507078639205114,0.3699793514138241,0.472,4.76,0.009956418651719501,0.13207887562281395,0.040393708474535606,0.8354533143149183,0.6248079747166636,0.03159936877757561,0.48330077761991574,0.010179220431085372,0.5173919765696252,0.11484078320251355,9.479359229214632,1.2457241379206216,0.009788131420699894,0.02897970280319756,0.17794490030813556,0.1491616512692264,0.0470565401548478,0.08306765221805947,1.3972832446916008,0.14318812775915105,0.41791480024991234,2.915,0.0,0.0,0.002062344498657879,0.00014110897484848897,1.4620096275392165e-08,0.040915617506547056,2.9456,3.0434,2.947,mca
