elec_rolling_sheet,elec_galv_co,elec_rolling_slab,steel_toCoil,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, sheet.wf","fabrication, sheet.elec","fabrication, sheet.trans_co2","galvanizing, continuous.elec","galvanizing, continuous.w_zinc","galvanizing, continuous.w_steel","galvanizing, continuous.trans_co2","rolling, coil.elec","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",coking.co2_kg,sintering.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Public Service Company of New Mexico - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Portland General Electric Company - BA,"coal extraction and processing - Central Interior, BIT, Surface",0.0441897425657322,0.049877472078197024,0.10669583887963802,0.40182071381900464,0.183,4.76,0.01043140159097213,0.14083439616940985,0.037051831091756804,0.8464814569841469,0.718809289799614,0.03982536447000764,0.4393723378053557,0.00962238794291565,0.531740674676696,0.11812651895425015,9.82618029972059,1.2770927298722388,0.009888912955158537,0.02961525438241483,0.12151324060555632,0.07780023034772215,0.055989882789549084,0.09204883093548469,1.1690762453772188,0.11858861159838222,0.4454342943541828,2.3763,0.0,0.0,0.0017483628070612339,0.00013476854275619042,1.055228949459215e-08,0.037880642065688704,2.3851,2.4116,2.3847,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Public Service Company of New Mexico - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Portland General Electric Company - BA,"coal extraction and processing - Central Interior, BIT, Surface",0.04603691608671742,0.0438254957044973,0.16157614971734446,0.34751879780276757,0.183,4.76,0.009920207075928913,0.13486595830009535,0.03868965689828911,0.9883056052952037,0.5634560419234336,0.02274035721625971,0.4089884911584578,0.009584278468761425,0.5185635548013825,0.11579525778038184,10.273836747161514,1.2730243377323625,0.010162775067501023,0.029931071879872047,0.16333401392586644,0.14694123739016007,0.07506450096222295,0.06297035191748239,1.0117941412695537,0.1283310832230273,0.36176439125961746,2.1404,0.0,0.0,0.0016979812391066797,0.00013305988976599568,1.0080420400575468e-08,0.037354636331315146,2.1491,2.1753,2.1487,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Public Service Company of New Mexico - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Portland General Electric Company - BA,"coal extraction and processing - Central Interior, BIT, Surface",0.038948466624107565,0.0507425169991674,0.06067930128210637,0.3449000550347659,0.183,7.15,0.009712336188993826,0.12823674041484978,0.03727680054315875,0.7110858509058967,0.5619500102769612,0.048092691791596295,0.4428598814322571,0.010076463563653505,0.48769991000857155,0.11648369442756769,9.84647070975377,1.2511669314756915,0.010473192128119311,0.03551429841674775,0.11540495199001514,0.05859748257793468,0.08654823071935902,0.0921253157834126,1.1131788547573591,0.09343550375951623,0.25414580630801326,2.0383,0.0,0.0,0.0016512630837697655,0.00012962395633104275,1.0044937019287698e-08,0.03595109188369421,2.0467,2.0719,2.0463,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Public Service Company of New Mexico - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Portland General Electric Company - BA,"coal extraction and processing - Central Interior, BIT, Surface",0.02109221903229304,0.04672426138367011,0.07265957972922968,0.3087997992424062,0.472,5.96,0.010179381347085854,0.1279037939444127,0.03821426154668929,0.8575395535117631,0.6616489965768495,0.048432997156006775,0.4079536356969484,0.009834248082293663,0.48450968953728385,0.12270047797438588,9.491654679392354,1.3151621563415798,0.009788233359203691,0.030466546109362037,0.11154082780559078,0.11716510182519828,0.03242548569481739,0.09537848407490625,1.0814026648843105,0.1173167952482646,0.42045014436289546,2.2276,0.0,0.0,0.0015848411946182829,0.00012570131423000105,9.473147191672786e-09,0.0348949063406519,2.2358,2.2603,2.2355,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Public Service Company of New Mexico - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Portland General Electric Company - BA,"coal extraction and processing - Central Interior, BIT, Surface",0.016581459496783323,0.05142994504960619,0.039513306348525165,0.3294888349839975,0.183,2.97,0.009592384099738956,0.13498000503049973,0.03478347543506169,0.9603171813069092,0.5847443382590765,0.03363729680513894,0.43356919261506305,0.00992993275570513,0.5217104431171137,0.11593253835285147,10.09335655747671,1.260152587641805,0.01021398597388661,0.02804650575226373,0.0422235017613984,0.09413986744199351,0.03811535969381951,0.10647346752644778,1.2033891904783558,0.11859150526436793,0.4883013079874692,2.5371,0.0,0.0,0.0016913187747364857,0.0001339942298169456,1.0002443227685502e-08,0.03732394456001369,2.5458,2.5721,2.5455,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Public Service Company of New Mexico - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Portland General Electric Company - BA,"coal extraction and processing - Central Interior, BIT, Surface",0.03802863011628966,0.044653177620419565,0.022341680272016266,0.35758649886355165,0.275,5.96,0.009815464831933378,0.14193566674785413,0.04142174326666748,0.9602017997028873,0.6727397950078157,0.01243161143223689,0.530386845115312,0.009946214176358655,0.5059750594720422,0.12226524474808431,10.043957733559516,1.343926344836281,0.010093939938407247,0.04879051952013177,0.11494038033929639,0.13182355964557765,0.07829539545164685,0.0930467248056869,1.1536016899253494,0.13440160546184615,0.42672822981279046,2.4186,0.0,0.0,0.0017405058604056747,0.0001362615285751681,1.0345056837000288e-08,0.038183448506027326,2.4275,2.4543,2.4272,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Public Service Company of New Mexico - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Portland General Electric Company - BA,"coal extraction and processing - Central Interior, BIT, Surface",0.037985277242537877,0.04903747838502459,0.164412615602353,0.4021518406082933,0.183,3.57,0.00986707957492591,0.14340707116705573,0.03548061294985792,0.8744694980780531,0.4786587826683182,0.02744810136455867,0.5639860166733206,0.01010562374805942,0.5202314389990821,0.12168652481228799,9.405813245648751,1.2697718674013652,0.009996268285281934,0.022169161627779415,0.05559561109414474,0.10901785188077814,0.07794195461278913,0.07202369127784478,1.1588586113620218,0.11619310808943613,0.24107661536020833,2.3029,0.0,0.0,0.0018089849879899243,0.00014076962093440722,1.0771962118221518e-08,0.03933003615753622,2.3121,2.3399,2.3117,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Public Service Company of New Mexico - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Portland General Electric Company - BA,"coal extraction and processing - Central Interior, BIT, Surface",0.023767648382681618,0.040062963005094585,0.17509652321360508,0.343871974407622,0.275,5.96,0.010368100770647988,0.13424754656964621,0.03930651994087466,0.8379560376597118,0.5843942669649389,0.023776855072955634,0.4288555317819812,0.010204440576068091,0.5236147893282864,0.11467751255890186,9.958471006841158,1.2663111651692,0.009652368631114605,0.028766295585337474,0.24482205320226705,0.05938432652984213,0.03351641777224259,0.10139861010910703,0.9007769672664241,0.12921924939328736,0.33352172887586995,1.7179,0.0,0.0,0.0014999361753969577,0.00011551928403323456,9.198877531612251e-09,0.03264241077089111,1.7254,1.748,1.7251,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Public Service Company of New Mexico - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Portland General Electric Company - BA,"coal extraction and processing - Central Interior, BIT, Surface",0.017221581494793376,0.041291608103048515,0.19532257732630365,0.3258922606551423,0.275,3.57,0.01027286457740532,0.14447410719190004,0.041660069812367896,0.8385879288072768,0.7954683088154314,0.04173283844816644,0.6076442973135032,0.00968111201385653,0.5045123513778027,0.1257706238087447,9.741944264508168,1.3066410647429767,0.010235002269413625,0.04456863727849568,0.1722349289766872,0.053547074497566606,0.06665137758696574,0.07773170966214507,0.8337432215096481,0.14188755647011453,0.2908158440496472,1.723,0.0,0.0,0.0015093849290787715,0.00011711372926641607,9.160829909802872e-09,0.032893734372771266,1.7306,1.7536,1.7303,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - Public Service Company of New Mexico - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",natural gas extraction and processing - Appalachian,Electricity; at grid; consumption mix - Bonneville Power Administration - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - Portland General Electric Company - BA,"coal extraction and processing - Central Interior, BIT, Surface",0.029984084043910772,0.04536253736600668,0.0708717956371068,0.2854851197483869,0.183,5.96,0.01000113065061335,0.14497858745411624,0.03805216859377283,1.0001247846537689,0.8958459572185432,0.02143884532668173,0.6267590010423585,0.009733021500328554,0.5275270929658151,0.12487028278952718,10.208326570751522,1.326252661212665,0.009831097531911087,0.027828857666465267,0.12278257624264675,0.05758719845035503,0.03568067170739008,0.06733913462770307,1.0815118546867768,0.113820942196745,0.3912836114211548,2.1172,0.0,0.0,0.0015981769904730926,0.00012657524298443192,9.487847191175119e-09,0.0354523911311271,2.1254,2.1503,2.1251,mca
Electricity; at grid; consumption mix - New York Independent System Operator - BA,Electricity; at grid; consumption mix - Duke Energy Carolinas - BA,"Electricity; at grid; consumption mix - Puget Sound Energy, Inc. - BA","rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - New York Independent System Operator - BA,"ironmaking, blast furnace",Electricity; at grid; consumption mix - LG&E and KU Services Company as agent for Louisville Gas and Electric Company and Kentucky Utilities Company - BA,natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - JEA - BA,"coal extraction and processing - Northern Appalachia, WC, Underground",0.0337919970330274,0.04940255970055297,0.20329023659482395,0.36219579112573846,0.472,4.76,0.009935367090694511,0.1372913897714585,0.04252216740577595,0.9652568363213865,0.5484250064141846,0.012631489705679982,0.5631021111124801,0.009556068034916826,0.5001188879844538,0.1182361879672429,10.111238256137327,1.2369056525002884,0.009814778103200533,0.026207553343462815,0.1793946674542985,0.11622693843192257,0.07793281239292074,0.07793434055219921,1.0680256534204466,0.12372413544484645,0.3727662717353491,2.3866,0.0,0.0,0.00164852123356011,0.000131904518832968,1.0184242267808713e-08,0.03798995582463692,2.4146,2.5044,2.416,mca
