providers_electricity,providers_heat,providers_slab_steel,providers_iron_forEAF,providers_iron_forBOF,providers_naturalgas,providers_coal,"galvanizing, continuous e_elec","galvanizing, continuous w_zinc","galvanizing, continuous w_steel","hot rolling, slab elec","steel production, EAF scrap_pct","steel production, EAF wf","steel production, EAF kWh_EAF","steel production, BOF scrap_pct","steel production, BOF wf","iron production, blast furnace co2_kg",gwp,ap,ep,odp,pocp
Electricity; at grid; generation mix - California Independent System Operator,"heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Gulf,"coal extraction and processing - Import, BIT, Underground",0.27886670812641445,0.275,5.96,0.03324806136619994,0.8587367394398483,0.023423900088536783,0.5738242581677349,0.159729765695319,0.11743167417910709,0.8883745619817212,1.4129,0.005923227098265648,0.003005439166168076,3.5738659647804724e-08,0.1341806167816699
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Anadarko,"coal extraction and processing - Central Appalachia, BIT, Surface",0.4127139022470555,0.183,4.76,0.032937443090921094,0.5589033791531706,0.030509981775700724,0.5888529307459003,0.14845020998367914,0.13770208897253994,0.7453394287670969,2.1917,0.008216531830216667,0.0030855827852732816,6.729520850448343e-08,0.14117156959621255
Electricity; at grid; generation mix - Los Angeles Department of Water and Power,"heat generation, natural gas","steel production, BOF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - East Texas,"coal extraction and processing - Import, SUB, Surface",0.3116371288203045,0.472,7.15,0.04032545608648607,0.7001461326922692,0.017622574872833786,0.5141680904136108,0.14859884230681222,0.05825539818413627,1.0169722802678567,2.4393,0.009120859246108661,0.005738515734811649,7.850254692381767e-08,0.1392037026169303
Electricity; at grid; generation mix - Public Service Company of New Mexico,"heat generation, natural gas","steel production, BOF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Anadarko,"coal extraction and processing - Southern Appalachia, BIT, Surface",0.3518017772568694,0.472,4.76,0.03679401202815488,0.674935898864025,0.04719930252401668,0.45199172942435195,0.1558206618471711,0.10124931445196841,0.88871181651878,2.5793,0.010562007077656659,0.006820793616750959,8.938853316615686e-08,0.15611310358727887
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, BOF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Gulf,"coal extraction and processing - Rocky Mountain, WC, Surface",0.3109958070937386,0.472,7.15,0.03679067802810554,0.6963452397835406,0.0205075936572001,0.5252110982370449,0.15095763745663138,0.0996815577092953,1.003744801250048,2.4237,0.009631421490880252,0.005785748258626396,7.868989157375121e-08,0.1453449126776313
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, ENERGIRON","iron production, blast furnace",natural gas extraction and processing - San Juan,"coal extraction and processing - West/Northwest, BIT, Underground",0.42549429748348333,0.183,3.57,0.035196174157571626,0.5798514264782295,0.039366271760637214,0.49124904890745574,0.1376534924811673,0.07706352770192025,0.8803594718047649,1.6566,0.0065389515626745436,0.00322630939026054,5.155444090316631e-08,0.1163259756916596
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, blast furnace","iron production, blast furnace",natural gas extraction and processing - Appalachian,"coal extraction and processing - Rocky Mountain, WC, Surface",0.40729998284167646,0.183,5.96,0.03380058614100781,0.6136325072556323,0.03322768486259905,0.5012194683904564,0.14139284811225253,0.0606565638013166,0.8540160026669277,2.0779,0.0073718018988491035,0.0027199118124079913,6.221726912221357e-08,0.1286069389716562
"Electricity; at grid; generation mix - Midcontinent Independent System Operator, Inc.","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Permian,"coal extraction and processing - West/Northwest, SUB, Underground",0.30054753445355153,0.275,4.76,0.03790819384654774,0.6838069194795744,0.013789284130734157,0.5197909400438124,0.1436688833235271,0.09093379932672833,0.886872753817532,1.6489,0.006628526569250482,0.0033994046412941198,5.173024972102679e-08,0.11325046387710296
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Gulf,"coal extraction and processing - West/Northwest, BIT, Underground",0.3485493905152428,0.275,7.15,0.044830257145704086,0.7486155025344402,0.012522008120176271,0.5572754555863799,0.1505609285737113,0.10587345792700137,0.7856709176056017,1.4178,0.0055146103041805615,0.002684290412914658,3.76756141690674e-08,0.10669048514429488
"Electricity; at grid; generation mix - PJM Interconnection, LLC","heat generation, natural gas","steel production, EAF","iron production, direct reduction, other","iron production, blast furnace",natural gas extraction and processing - Arkla,"coal extraction and processing - West/Northwest, SUB, Underground",0.3589723018717026,0.472,3.57,0.038510095081895776,0.8059256060806959,0.022525303914209184,0.5372474303973287,0.14609695741370635,0.08294482006484355,0.9601277040006357,1.6436,0.008277715387710993,0.005739355409957912,5.190765172098843e-08,0.11930414891754997
