elec_rolling_sheet,elec_galv_co,elec_rolling_slab,steel_toCoil,steel_slab,elec_EAF,iron_forEAF,elec_DRI,natgas_DRI,elec_BOF,iron_forBOF,elec,coal,"fabrication, sheet.wf","fabrication, sheet.elec","fabrication, sheet.trans_co2","galvanizing, continuous.elec","galvanizing, continuous.w_zinc","galvanizing, continuous.w_steel","galvanizing, continuous.trans_co2","rolling, coil.elec","rolling, slab.elec","rolling, slab.heat","steelmaking, electric arc furnace.scrap_pct","steelmaking, electric arc furnace.wf","steelmaking, electric arc furnace.kWh_EAF","steelmaking, electric arc furnace.trans_co2","ironmaking, direct reduction, MIDREX.co2_kg","ironmaking, direct reduction, MIDREX.elec","ironmaking, direct reduction, MIDREX.ng_mj","ironmaking, direct reduction, MIDREX.ore_kg","ironmaking, direct reduction, MIDREX.trans_co2","steelmaking, basic oxygen converter.elec","steelmaking, basic oxygen converter.scrap_pct","steelmaking, basic oxygen converter.wf","steelmaking, basic oxygen converter.co2_kg","ironmaking, blast furnace.elec","ironmaking, blast furnace.co2_kg",sintering.co2_kg,coking.co2_kg,zinc production.co2_kg,gwp,gwp_be,gep_bu,ap,ep,odp,pocp,gwp_AR5,gwp_EF2,gwp_CML,sim_type
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","rolling, slab","steelmaking, electric arc furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, direct reduction, MIDREX","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","coal extraction and processing - Central Appalachia, BIT, Underground",0.03,0.046,0.115,0.343,0.275,4.76,0.01,0.138,0.04,0.874,0.56,0.03,0.5,0.01,0.507,0.12,9.9,1.3,0.01,0.027,0.15,0.1,0.071,0.074,1.093,0.26,0.124,1.72,1.0579,0.0,0.0,0.0017138340465400427,9.849352314645813e-05,7.94161459915406e-09,0.03728228874341101,nan,nan,nan,base
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Public Service Company of New Mexico - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"coal extraction and processing - Illinois Basin, BIT, Surface",0.04462545766373575,0.04379408215993961,0.050907010033013,0.40875776921802215,0.183,7.15,0.009866470273783614,0.14393007630188298,0.041598477099052025,0.8642285020831092,0.617811980928369,0.020750126930237818,0.4857327596168465,0.01029264385870843,0.48378034122238806,0.11570055311968619,10.121377294810742,1.2734391434195278,0.01013556367400682,0.03339662838322456,0.27586166176633536,0.13574386415378203,0.07382709331418214,0.08034537451569654,1.2372150391352457,0.4667767443758527,0.14881295055118474,1.4595613063397508,2.5564,0.0,0.0,0.0022792400485783376,0.00011135021966470099,1.3025012022537996e-08,0.04715200972137407,nan,nan,nan,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Public Service Company of New Mexico - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"coal extraction and processing - Illinois Basin, BIT, Surface",0.03248289561336581,0.04222042599949271,0.18602154349136743,0.33966083668117736,0.183,7.15,0.009744633169128068,0.1291158576406413,0.03703844534669393,0.8223337006148642,0.7710315024730728,0.0484067860645853,0.5089244480534816,0.009572963322206274,0.5135219326314938,0.12093540012971725,9.96587835464466,1.3647428218926396,0.0096219516226351,0.043408186612866245,0.0983213966798711,0.1033627737186255,0.08374279317421054,0.06803461745129195,1.3517567403254893,0.31402145507551504,0.1326777810402782,1.5599479346180436,2.7672,0.0,0.0,0.002228650732650319,0.00010938451421996679,1.1786718203622197e-08,0.04617932914696897,nan,nan,nan,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Public Service Company of New Mexico - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"coal extraction and processing - Illinois Basin, BIT, Surface",0.031243803010426188,0.04618073712805617,0.0764279206668604,0.3724354052587596,0.472,2.97,0.010128533985358795,0.14725433053488418,0.0392362731062086,0.9772537764899146,0.7109892300621719,0.03484402400335582,0.5293096514326177,0.009753551719197062,0.49148641793154724,0.11751113723648317,10.186622854695539,1.3185835637549388,0.010464768026026092,0.021882167076616575,0.050949888750540115,0.13751081528425735,0.03683988099163457,0.06572762228995119,1.0256405914879156,0.2934120292897872,0.15301660438174602,1.9780401302436788,2.545,0.0,0.0,0.002175324809317449,0.00010704053304446499,1.189158771180518e-08,0.045101594571505525,nan,nan,nan,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Public Service Company of New Mexico - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"coal extraction and processing - Illinois Basin, BIT, Surface",0.045296263915009786,0.04350744658521244,0.1352419866517985,0.2995180827907216,0.472,5.96,0.009859563446269745,0.13389195579635774,0.0406296086498646,0.9971192832487487,0.5716568321901856,0.011845547722102827,0.36549869483372893,0.009631044435944033,0.484829566100723,0.1251604068450671,10.309258615918553,1.250546224344819,0.01019232506473112,0.021544436833486846,0.12861175675920675,0.09642723983453122,0.0625519944281262,0.04380853454218154,1.0182007136849507,0.33279055338684804,0.14149826812973465,1.4713407526618725,2.3301,0.0,0.0,0.002026558912842246,9.981017079663158e-05,1.074423544255727e-08,0.042233028262077595,nan,nan,nan,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - Midcontinent Independent System Operator, Inc. - BA",Electricity; at grid; consumption mix - Public Service Company of New Mexico - BA,"rolling, slab","steelmaking, basic oxygen converter",Electricity; at grid; consumption mix - California Independent System Operator - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA",natural gas extraction and processing - Appalachian,"Electricity; at grid; consumption mix - Electric Reliability Council of Texas, Inc. - BA","ironmaking, blast furnace",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"coal extraction and processing - Illinois Basin, BIT, Surface",0.0405839881141344,0.04304877213252816,0.12407462543010311,0.38909007176773613,0.183,2.97,0.009783780491406009,0.13212285348571187,0.044839204001777724,0.9430482640013069,0.7341768800369319,0.04613681527510079,0.4125584953344654,0.009912015904481734,0.5055281309601382,0.1167919532656356,9.947502901591594,1.3562358237234857,0.009894854945740038,0.04454231095308799,0.20357351197037643,0.09554136199441135,0.0840699274119544,0.08822366373883239,0.8679513188897087,0.3077202124917599,0.12358496225353358,1.553671314434479,2.1595,0.0,0.0,0.002253014871408822,0.00011043382261448878,1.2532493226751591e-08,0.046769959009963794,nan,nan,nan,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Northern Appalachia, BIT, Underground",0.046197739890602114,0.05160256390118505,0.19465183900123798,0.326497847164099,0.275,4.76,0.009867711160258703,0.143245408036851,0.0333592372897871,0.9306121940177619,0.7764625105539613,0.014204229202026575,0.6728486194344812,0.009772355365868164,0.5174997824224459,0.12302051831998116,10.24794006732459,1.3430307227290963,0.010306096984347101,0.04118799789081552,0.11622028251564934,0.09135533312299578,0.06927752360160941,0.09286661196702195,0.9713501033619388,0.32855311407321186,0.10754724519673942,2.404817688117923,1.3013,0.0,0.0,0.0016747232925119569,8.023351591163919e-05,1.0941657350420693e-08,0.029856475766475474,nan,nan,nan,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Northern Appalachia, BIT, Underground",0.02911013783508498,0.04375106078024026,0.07315222478114075,0.34076870968691786,0.275,3.57,0.01005798881197086,0.13924063691395186,0.04044948437768049,0.7488473671609839,0.6892596195347432,0.033778205743173445,0.3859402272489383,0.009607058610083322,0.5309691657890812,0.11518550434783775,9.949112879984392,1.239077565438865,0.010320276678179072,0.03643354126895117,0.26266025373241264,0.12083054802690026,0.035795733506621075,0.05714058252491677,1.0428188772082108,0.4718901996239217,0.12342925280664713,1.7088675582860298,1.351,0.0,0.0,0.0013763990487662592,6.666012458189734e-05,8.773991840906854e-09,0.024635901897856874,nan,nan,nan,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Northern Appalachia, BIT, Underground",0.026050092058798165,0.04994326035007674,0.037471131934453325,0.3412877630445014,0.472,4.76,0.010400778833828415,0.1486733069034383,0.04144407121610118,0.9592175428694949,0.5287114511442801,0.011322250468805604,0.5019027337197214,0.009926378883044984,0.4880041649421307,0.12506562031854937,10.069812878568499,1.2560326573500225,0.01024993380977525,0.025911644005452487,0.11027428602951792,0.09762242353899135,0.07585821399238636,0.07166148137818089,1.0778021599617462,0.4507453987877641,0.143929641366039,1.620812481608573,1.7531,0.0,0.0,0.0016144596716341471,7.836368457645036e-05,1.0018055623989198e-08,0.029050266282589436,nan,nan,nan,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Northern Appalachia, BIT, Underground",0.03343758723027026,0.04941342852482264,0.11545191759577765,0.33951561892254434,0.472,5.96,0.010394236681352592,0.14845896306592443,0.04358165108827577,0.9158296568944047,0.6310358501388632,0.024117665057535882,0.4467746333727286,0.009732147506273275,0.5090515666092369,0.12577666621450292,10.20693471275097,1.3067763083542023,0.00982688347177608,0.026732468258798894,0.10096050236476228,0.059397820439386406,0.07285713018764745,0.03963931257129589,0.8796131584287266,0.2687915919315676,0.1394899840856235,1.56986795674824,1.3745,0.0,0.0,0.0015119549094056695,7.340442981874179e-05,9.521511540792224e-09,0.0272535526401175,nan,nan,nan,mca
"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",Electricity; at grid; consumption mix - Southwest Power Pool - BA,"rolling, slab","steelmaking, electric arc furnace",Electricity; at grid; consumption mix - Tennessee Valley Authority - BA,"ironmaking, blast furnace","Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA",natural gas extraction and processing - Uinta,"Electricity; at grid; consumption mix - PJM Interconnection, LLC - BA","ironmaking, blast furnace","Electricity; at grid; consumption mix - Southern Company Services, Inc. - Trans - BA","coal extraction and processing - Northern Appalachia, BIT, Underground",0.01869106772918791,0.04490652930984931,0.13733435692741325,0.3462231812105574,0.183,4.76,0.01015185130656916,0.14508429763334713,0.03511925068474456,0.9382607184686947,0.5968295645365785,0.020712910357181032,0.5950796503679938,0.010144336569822623,0.5067070542944209,0.11792260525522473,9.61105922440382,1.290176873908053,0.010235962332613117,0.03368658390700258,0.18951722633641646,0.14599091781242352,0.07555334373617115,0.08346206313002094,1.01398891835611,0.4498299492640212,0.13555757272926972,2.2691208730712082,1.6319,0.0,0.0,0.0017139958045386148,8.269681663077976e-05,1.0805571322183262e-08,0.030682504512929545,nan,nan,nan,mca
